chr_x	start_x	end_x	chr_y	start_y	end_y	loopID	Benign	Malignant
chr14	37220000	37260000	chr14	37560000	37590000	13289_13292	3	3
chr14	37220000	37260000	chr14	37860000	37890000	13289_13294	4	8
chr14	37420000	37440000	chr14	37560000	37590000	13291_13292	2	6
chr1	208640000	208660000	chr1	209230000	209250000	1329_1331	4	1
chr1	15570000	15600000	chr1	15730000	15750000	132_134	3	2
chr14	44910000	44950000	chr14	45240000	45270000	13311_13314	4	8
chr14	49850000	49890000	chr14	50090000	50110000	13317_13319	5	7
chr14	50310000	50340000	chr14	50520000	50550000	13320_13321	4	8
chr14	52290000	52310000	chr14	52470000	52480000	13333_13334	2	4
chr14	52810000	52840000	chr14	52950000	52970000	13339_13340	3	6
chr14	52810000	52840000	chr14	53040000	53070000	13339_13341	4	5
chr14	52810000	52840000	chr14	53290000	53320000	13339_13342	1	3
chr14	53520000	53550000	chr14	54160000	54190000	13344_13346	2	3
chr14	53520000	53550000	chr14	54330000	54360000	13344_13348	3	8
chr14	54550000	54580000	chr14	54680000	54700000	13349_13350	2	5
chr14	54550000	54580000	chr14	54760000	54790000	13349_13351	5	8
chr14	55080000	55090000	chr14	55160000	55170000	13352_13353	1	3
chr14	55230000	55240000	chr14	55400000	55470000	13354_13356	1	4
chr14	55400000	55470000	chr14	56460000	56520000	13356_13362	3	2
chr14	55690000	55740000	chr14	56110000	56140000	13357_13359	2	3
chr14	55690000	55740000	chr14	56330000	56360000	13357_13361	4	5
chr14	55690000	55740000	chr14	56460000	56520000	13357_13362	2	3
chr1	209550000	209590000	chr1	209690000	209740000	1335_1336	4	8
chr14	56460000	56520000	chr14	57170000	57210000	13362_13368	1	4
chr14	56460000	56520000	chr14	57300000	57330000	13362_13369	4	6
chr14	57480000	57500000	chr14	58070000	58080000	13370_13374	4	7
chr14	58480000	58520000	chr14	59010000	59080000	13375_13378	5	8
chr14	58620000	58670000	chr14	59010000	59080000	13376_13378	5	8
chr14	59100000	59140000	chr14	59410000	59450000	13379_13382	5	12
chr14	59950000	59970000	chr14	60160000	60190000	13387_13389	3	4
chr14	60060000	60090000	chr14	60160000	60190000	13388_13389	4	3
chr14	60340000	60370000	chr14	61230000	61280000	13392_13404	4	5
chr14	60610000	60660000	chr14	61000000	61040000	13397_13400	5	6
chr14	60610000	60660000	chr14	61230000	61280000	13397_13404	5	12
chr14	60720000	60750000	chr14	61230000	61280000	13398_13404	1	3
chr1	210130000	210160000	chr1	210300000	210320000	1339_1340	2	5
chr14	61290000	61320000	chr14	61440000	61500000	13405_13406	5	10
chr14	61290000	61320000	chr14	61820000	61850000	13405_13413	2	4
chr14	61440000	61500000	chr14	61700000	61750000	13406_13410	5	11
chr14	61440000	61500000	chr14	61820000	61850000	13406_13413	5	10
chr14	62140000	62190000	chr14	63030000	63060000	13416_13421	4	8
chr14	62140000	62190000	chr14	63150000	63190000	13416_13425	2	3
chr14	62140000	62190000	chr14	63260000	63290000	13416_13426	5	11
chr14	63380000	63410000	chr14	63530000	63560000	13428_13429	2	3
chr14	63380000	63410000	chr14	63610000	63650000	13428_13431	3	1
chr14	63380000	63410000	chr14	63740000	63840000	13428_13432	5	5
chr1	210400000	210460000	chr1	211120000	211150000	1342_1346	5	8
chr14	63740000	63840000	chr14	63980000	64040000	13432_13433	2	4
chr14	63740000	63840000	chr14	64290000	64320000	13432_13437	5	9
chr14	63980000	64040000	chr14	64290000	64320000	13433_13437	3	10
chr1	210560000	210600000	chr1	210940000	210970000	1343_1344	1	6
chr1	210560000	210600000	chr1	211120000	211150000	1343_1346	2	5
chr14	64660000	64680000	chr14	64760000	64780000	13443_13444	4	8
chr14	65150000	65190000	chr14	65370000	65450000	13448_13453	5	9
chr14	65150000	65190000	chr14	65810000	65840000	13448_13456	4	11
chr14	65150000	65190000	chr14	65940000	65980000	13448_13457	4	6
chr14	65370000	65450000	chr14	65810000	65840000	13453_13456	5	11
chr14	65370000	65450000	chr14	65940000	65980000	13453_13457	3	7
chr14	67150000	67180000	chr14	67280000	67320000	13470_13471	3	8
chr14	67410000	67440000	chr14	67560000	67580000	13473_13475	5	8
chr14	67830000	67850000	chr14	68780000	68850000	13479_13495	3	7
chr14	67880000	67950000	chr14	68230000	68270000	13481_13485	1	6
chr14	67880000	67950000	chr14	68780000	68850000	13481_13495	6	13
chr14	68130000	68160000	chr14	68780000	68850000	13484_13495	5	2
chr14	68230000	68270000	chr14	68780000	68850000	13485_13495	5	12
chr14	68300000	68320000	chr14	68780000	68850000	13487_13495	1	3
chr14	68870000	68910000	chr14	69070000	69120000	13496_13497	5	11
chr14	69240000	69270000	chr14	69450000	69480000	13498_13499	3	8
chr1	211490000	211540000	chr1	211650000	211710000	1349_1351	4	6
chr14	69580000	69600000	chr14	69710000	69730000	13500_13501	5	12
chr14	69790000	69840000	chr14	70020000	70060000	13502_13505	5	10
chr14	70600000	70630000	chr14	70710000	70730000	13509_13511	4	5
chr14	70800000	70830000	chr14	70960000	70990000	13512_13513	3	4
chr14	71120000	71160000	chr14	71290000	71340000	13514_13515	2	6
chr14	71120000	71160000	chr14	71720000	71760000	13514_13520	5	12
chr14	71290000	71340000	chr14	71720000	71760000	13515_13520	5	9
chr1	211650000	211710000	chr1	211820000	211850000	1351_1353	4	3
chr1	211650000	211710000	chr1	211940000	211970000	1351_1354	4	4
chr1	211650000	211710000	chr1	212010000	212080000	1351_1355	5	7
chr1	211650000	211710000	chr1	212360000	212400000	1351_1358	1	3
chr1	211650000	211710000	chr1	212440000	212490000	1351_1359	4	5
chr14	72500000	72530000	chr14	72880000	72920000	13521_13522	5	12
chr14	73160000	73200000	chr14	73460000	73490000	13524_13526	3	5
chr14	73280000	73310000	chr14	73460000	73490000	13525_13526	5	11
chr14	73500000	73520000	chr14	73620000	73640000	13527_13528	2	3
chr14	73720000	73740000	chr14	73810000	73850000	13529_13530	4	7
chr14	74100000	74120000	chr14	74250000	74270000	13534_13535	1	4
chr14	74900000	74940000	chr14	75080000	75100000	13540_13541	5	6
chr14	75110000	75150000	chr14	75280000	75330000	13542_13543	5	12
chr14	75110000	75150000	chr14	75470000	75510000	13542_13545	4	7
chr14	75280000	75330000	chr14	75470000	75510000	13543_13545	5	11
chr14	75280000	75330000	chr14	75550000	75580000	13543_13546	2	4
chr14	75680000	75720000	chr14	75960000	75990000	13548_13549	4	8
chr14	76040000	76080000	chr14	76350000	76380000	13550_13551	5	7
chr14	76040000	76080000	chr14	76630000	76660000	13550_13552	5	7
chr14	76860000	76910000	chr14	77050000	77080000	13553_13555	5	12
chr1	212010000	212080000	chr1	212280000	212320000	1355_1356	4	5
chr1	212010000	212080000	chr1	212360000	212400000	1355_1358	4	10
chr1	212010000	212080000	chr1	212440000	212490000	1355_1359	5	9
chr14	77840000	77870000	chr14	78550000	78600000	13561_13568	3	4
chr14	78430000	78460000	chr14	78550000	78600000	13566_13568	1	3
chr14	78930000	78990000	chr14	80830000	80870000	13574_13586	4	5
chr14	80050000	80080000	chr14	80830000	80870000	13580_13586	4	4
chr14	80960000	81010000	chr14	81150000	81190000	13587_13588	4	6
chr14	81250000	81280000	chr14	81440000	81470000	13589_13590	5	12
chr1	15780000	15820000	chr1	15970000	16060000	135_136	6	12
chr14	88660000	88680000	chr14	88850000	88880000	13606_13607	2	3
chr14	89020000	89060000	chr14	89210000	89240000	13608_13610	1	5
chr14	89020000	89060000	chr14	89410000	89440000	13608_13614	4	6
chr14	89020000	89060000	chr14	89900000	89930000	13608_13619	5	12
chr14	89410000	89440000	chr14	89900000	89930000	13614_13619	3	1
chr14	89960000	89980000	chr14	90220000	90250000	13620_13621	2	7
chr14	90280000	90310000	chr14	90760000	90790000	13622_13627	3	1
chr14	90390000	90410000	chr14	90680000	90710000	13623_13624	5	1
chr14	90890000	90910000	chr14	91160000	91190000	13628_13630	4	8
chr14	91160000	91190000	chr14	91280000	91300000	13630_13631	3	5
chr14	92110000	92160000	chr14	92450000	92480000	13636_13638	2	5
chr14	92110000	92160000	chr14	92670000	92710000	13636_13640	1	3
chr14	92670000	92710000	chr14	92780000	92790000	13640_13641	2	4
chr14	92940000	92970000	chr14	93120000	93160000	13646_13647	5	12
chr14	93220000	93240000	chr14	93530000	93560000	13648_13650	1	3
chr1	212770000	212820000	chr1	212980000	213010000	1364_1365	4	7
chr14	93640000	93670000	chr14	93890000	93920000	13652_13653	5	11
chr14	94020000	94040000	chr14	94130000	94170000	13654_13655	3	7
chr14	94680000	94710000	chr14	95060000	95110000	13660_13663	2	9
chr14	94680000	94710000	chr14	95400000	95450000	13660_13667	4	10
chr14	95060000	95110000	chr14	95400000	95450000	13663_13667	2	3
chr14	95180000	95210000	chr14	95400000	95450000	13665_13667	1	3
chr14	95400000	95450000	chr14	95510000	95530000	13667_13668	1	4
chr14	95550000	95590000	chr14	95970000	96010000	13669_13672	5	10
chr14	95550000	95590000	chr14	96250000	96280000	13669_13676	1	5
chr14	95970000	96010000	chr14	96250000	96280000	13672_13676	2	5
chr14	96090000	96120000	chr14	96250000	96280000	13674_13676	5	12
chr14	96090000	96120000	chr14	96420000	96430000	13674_13678	1	3
chr14	96290000	96310000	chr14	96420000	96430000	13677_13678	4	8
chr1	213230000	213260000	chr1	214110000	214140000	1367_1374	3	1
chr14	96570000	96600000	chr14	96730000	96750000	13680_13681	2	7
chr14	98120000	98160000	chr14	99210000	99290000	13686_13694	4	12
chr14	99500000	99530000	chr14	99610000	99640000	13696_13697	5	12
chr14	99710000	99740000	chr14	99880000	99900000	13699_13700	4	11
chr1	213360000	213390000	chr1	214110000	214140000	1369_1374	2	8
chr14	99970000	100000000	chr14	100170000	100200000	13702_13704	3	9
chr14	100260000	100280000	chr14	100370000	100450000	13705_13706	1	3
chr14	100370000	100450000	chr14	100620000	100690000	13706_13708	5	13
chr14	100370000	100450000	chr14	101610000	101660000	13706_13717	2	7
chr14	100620000	100690000	chr14	101610000	101660000	13708_13717	4	9
chr1	213550000	213580000	chr1	214110000	214140000	1370_1374	1	6
chr14	100820000	100880000	chr14	101610000	101660000	13712_13717	3	8
chr14	101770000	101800000	chr14	101930000	101970000	13719_13721	2	6
chr14	103070000	103110000	chr14	103280000	103320000	13732_13733	4	12
chr14	103790000	103810000	chr14	103900000	103920000	13737_13738	3	4
chr14	104110000	104160000	chr14	104540000	104590000	13740_13743	4	6
chr14	104110000	104160000	chr14	104620000	104660000	13740_13744	1	5
chr15	23630000	23660000	chr15	23850000	23880000	13750_13751	2	9
chr15	25490000	25530000	chr15	25920000	25960000	13752_13754	2	7
chr15	25700000	25730000	chr15	25920000	25960000	13753_13754	2	4
chr1	214210000	214230000	chr1	214580000	214620000	1375_1380	1	4
chr15	29740000	29770000	chr15	29910000	29950000	13772_13773	2	3
chr15	30880000	30920000	chr15	31120000	31140000	13775_13777	2	6
chr15	31190000	31210000	chr15	31470000	31500000	13778_13780	5	9
chr15	32650000	32680000	chr15	32970000	33010000	13781_13784	4	7
chr15	33220000	33240000	chr15	33680000	33720000	13787_13789	1	4
chr15	33250000	33310000	chr15	33680000	33720000	13788_13789	4	11
chr1	214320000	214370000	chr1	214580000	214620000	1378_1380	5	6
chr15	33730000	33760000	chr15	33950000	34000000	13790_13791	2	8
chr15	34050000	34080000	chr15	34200000	34220000	13792_13794	5	10
chr15	34700000	34720000	chr15	34910000	34930000	13797_13798	1	6
chr1	16070000	16090000	chr1	16180000	16200000	137_138	3	6
chr15	35280000	35300000	chr15	35430000	35470000	13801_13802	1	6
chr15	36490000	36510000	chr15	37090000	37140000	13806_13810	2	4
chr15	36870000	36900000	chr15	37090000	37140000	13809_13810	5	10
chr15	37980000	38020000	chr15	38350000	38420000	13813_13814	5	10
chr15	38430000	38470000	chr15	38670000	38690000	13815_13818	3	9
chr15	38700000	38740000	chr15	39740000	39760000	13819_13824	4	2
chr1	214630000	214660000	chr1	215510000	215530000	1381_1385	4	8
chr15	39150000	39190000	chr15	39570000	39600000	13821_13822	4	5
chr15	40900000	40930000	chr15	41020000	41040000	13831_13832	4	6
chr15	40900000	40930000	chr15	41170000	41200000	13831_13833	2	5
chr15	42700000	42730000	chr15	42920000	42950000	13839_13840	5	7
chr15	43880000	43920000	chr15	44200000	44230000	13841_13843	2	3
chr15	45290000	45310000	chr15	45390000	45410000	13850_13851	3	5
chr15	45430000	45470000	chr15	45600000	45620000	13852_13853	4	8
chr15	45790000	45810000	chr15	46270000	46310000	13855_13857	1	3
chr15	47190000	47210000	chr15	47970000	48000000	13858_13861	3	4
chr15	48350000	48380000	chr15	48780000	48820000	13864_13868	3	9
chr15	48860000	48880000	chr15	49130000	49150000	13869_13871	3	5
chr15	50660000	50700000	chr15	50870000	50900000	13880_13881	4	11
chr15	51640000	51660000	chr15	51770000	51790000	13886_13887	5	8
chr15	52250000	52280000	chr15	52720000	52740000	13890_13893	4	5
chr15	55200000	55220000	chr15	55290000	55300000	13901_13902	1	5
chr15	55640000	55660000	chr15	55820000	55860000	13903_13905	3	3
chr15	56240000	56270000	chr15	56420000	56440000	13906_13907	1	6
chr15	56480000	56510000	chr15	57280000	57310000	13908_13917	2	7
chr15	56900000	56930000	chr15	57120000	57160000	13911_13913	2	3
chr15	57340000	57370000	chr15	57510000	57540000	13919_13920	5	12
chr15	57730000	57760000	chr15	58050000	58080000	13922_13924	4	2
chr15	57860000	57880000	chr15	58050000	58080000	13923_13924	3	8
chr15	58200000	58270000	chr15	58750000	58770000	13926_13931	3	6
chr15	58200000	58270000	chr15	58840000	58870000	13926_13934	2	4
chr15	58200000	58270000	chr15	58900000	58930000	13926_13935	3	4
chr15	58200000	58270000	chr15	58940000	58990000	13926_13936	1	3
chr15	58200000	58270000	chr15	59480000	59540000	13926_13941	1	4
chr15	58940000	58990000	chr15	59480000	59540000	13936_13941	5	11
chr15	59120000	59180000	chr15	59480000	59540000	13938_13941	5	5
chr15	59480000	59540000	chr15	59620000	59640000	13941_13942	1	3
chr15	59690000	59750000	chr15	60160000	60190000	13943_13945	3	8
chr15	59690000	59750000	chr15	60310000	60330000	13943_13946	5	10
chr1	218300000	218360000	chr1	219040000	219080000	1394_1399	3	4
chr1	218300000	218360000	chr1	219380000	219420000	1394_1404	2	8
chr1	218300000	218360000	chr1	219650000	219670000	1394_1407	4	7
chr1	218300000	218360000	chr1	219790000	219810000	1394_1408	1	6
chr15	60580000	60610000	chr15	60900000	60930000	13952_13953	3	9
chr15	60580000	60610000	chr15	61030000	61070000	13952_13954	3	8
chr15	61150000	61200000	chr15	61820000	61880000	13956_13961	3	8
chr15	62360000	62400000	chr15	62720000	62750000	13965_13968	2	3
chr15	62770000	62790000	chr15	63080000	63100000	13969_13971	5	6
chr15	63280000	63300000	chr15	63390000	63410000	13972_13973	3	4
chr15	63470000	63500000	chr15	63580000	63610000	13974_13976	2	3
chr15	63740000	63760000	chr15	63880000	63910000	13980_13981	2	3
chr15	63740000	63760000	chr15	64040000	64070000	13980_13983	4	8
chr15	64170000	64230000	chr15	64350000	64380000	13985_13987	3	4
chr15	64170000	64230000	chr15	64650000	64690000	13985_13989	2	5
chr15	64410000	64450000	chr15	64650000	64690000	13988_13989	5	10
chr15	65620000	65640000	chr15	65820000	65850000	13996_13999	3	2
chr1	2810000	2840000	chr1	3400000	3430000	13_21	4	7
chr15	65880000	65920000	chr15	66270000	66320000	14000_14002	3	4
chr15	66590000	66620000	chr15	66760000	66790000	14006_14008	5	4
chr15	66590000	66620000	chr15	66840000	66860000	14006_14009	5	10
chr15	66920000	66970000	chr15	67300000	67320000	14011_14014	5	10
chr15	66920000	66970000	chr15	67420000	67490000	14011_14015	5	7
chr15	67420000	67490000	chr15	67810000	67840000	14015_14019	5	9
chr15	67850000	67880000	chr15	68040000	68060000	14020_14021	1	4
chr15	67850000	67880000	chr15	68140000	68180000	14020_14023	5	12
chr15	68540000	68570000	chr15	68670000	68680000	14028_14029	5	7
chr15	68540000	68570000	chr15	68850000	68900000	14028_14032	4	8
chr15	68720000	68750000	chr15	68850000	68900000	14031_14032	4	7
chr15	69050000	69070000	chr15	69250000	69280000	14034_14035	4	6
chr15	69050000	69070000	chr15	69390000	69410000	14034_14036	5	9
chr15	69460000	69500000	chr15	70060000	70120000	14037_14043	3	7
chr15	69460000	69500000	chr15	70320000	70370000	14037_14045	1	3
chr15	69460000	69500000	chr15	70440000	70500000	14037_14046	4	11
chr15	69560000	69600000	chr15	70060000	70120000	14039_14043	3	7
chr15	69560000	69600000	chr15	70440000	70500000	14039_14046	3	7
chr15	69720000	69750000	chr15	70440000	70500000	14042_14046	1	3
chr15	70060000	70120000	chr15	70440000	70500000	14043_14046	5	7
chr15	70670000	70690000	chr15	70800000	70820000	14047_14048	2	4
chr15	70980000	71020000	chr15	71400000	71470000	14050_14053	3	3
chr15	71090000	71130000	chr15	71400000	71470000	14051_14053	2	3
chr15	71400000	71470000	chr15	71720000	71740000	14053_14056	2	3
chr15	71750000	71780000	chr15	72150000	72170000	14057_14060	3	3
chr15	72700000	72730000	chr15	73240000	73280000	14064_14067	2	4
chr15	72750000	72810000	chr15	73060000	73100000	14065_14066	5	11
chr15	72750000	72810000	chr15	73240000	73280000	14065_14067	1	4
chr15	73550000	73570000	chr15	73690000	73720000	14070_14071	4	9
chr15	73960000	73980000	chr15	74300000	74330000	14073_14075	3	5
chr15	74610000	74650000	chr15	74750000	74790000	14077_14079	5	10
chr15	74610000	74650000	chr15	74930000	74960000	14077_14081	3	6
chr15	75010000	75050000	chr15	75200000	75220000	14083_14085	5	12
chr15	75360000	75390000	chr15	75630000	75680000	14087_14088	3	5
chr15	76170000	76210000	chr15	76320000	76340000	14090_14093	4	1
chr15	76170000	76210000	chr15	76830000	76880000	14090_14094	4	5
chr15	77010000	77040000	chr15	77530000	77560000	14096_14100	2	4
chr15	77110000	77140000	chr15	77530000	77560000	14097_14100	5	8
chr15	77180000	77200000	chr15	77530000	77560000	14098_14100	2	3
chr15	77630000	77660000	chr15	77810000	77830000	14101_14102	4	8
chr15	78300000	78330000	chr15	78410000	78430000	14107_14108	3	2
chr15	78300000	78330000	chr15	78470000	78500000	14107_14109	3	2
chr15	79020000	79040000	chr15	79170000	79200000	14112_14113	5	11
chr15	79360000	79390000	chr15	79580000	79600000	14115_14118	2	7
chr15	79360000	79390000	chr15	79830000	79870000	14115_14119	5	6
chr15	79360000	79390000	chr15	79980000	80010000	14115_14120	4	3
chr15	80440000	80480000	chr15	80770000	80800000	14125_14128	4	5
chr15	80440000	80480000	chr15	80940000	80990000	14125_14129	5	9
chr15	80540000	80590000	chr15	80770000	80800000	14126_14128	5	8
chr15	80540000	80590000	chr15	80940000	80990000	14126_14129	5	7
chr15	80770000	80800000	chr15	80940000	80990000	14128_14129	5	7
chr15	81100000	81160000	chr15	81250000	81290000	14130_14131	4	9
chr15	81250000	81290000	chr15	81390000	81420000	14131_14132	5	8
chr15	81460000	81500000	chr15	81930000	81950000	14133_14135	2	7
chr1	220280000	220300000	chr1	220750000	220780000	1413_1416	2	4
chr15	82830000	82850000	chr15	82980000	83020000	14141_14142	3	11
chr15	83560000	83590000	chr15	84020000	84050000	14146_14148	5	8
chr15	85700000	85740000	chr15	85820000	85840000	14158_14159	4	6
chr15	85850000	85890000	chr15	86730000	86770000	14160_14165	2	6
chr15	86220000	86250000	chr15	86730000	86770000	14162_14165	2	6
chr15	86900000	86930000	chr15	88240000	88290000	14166_14170	4	3
chr15	87660000	87680000	chr15	88240000	88290000	14169_14170	4	3
chr15	88880000	88910000	chr15	89030000	89070000	14177_14180	3	2
chr15	88880000	88910000	chr15	89160000	89210000	14177_14181	5	5
chr15	89030000	89070000	chr15	89160000	89210000	14180_14181	5	9
chr15	89740000	89760000	chr15	89870000	89910000	14186_14187	5	9
chr15	89740000	89760000	chr15	90070000	90090000	14186_14188	1	3
chr15	89870000	89910000	chr15	90070000	90090000	14187_14188	5	9
chr1	220860000	220910000	chr1	221400000	221450000	1418_1421	4	7
chr15	90260000	90300000	chr15	90880000	90920000	14191_14198	3	5
chr15	90310000	90340000	chr15	90470000	90490000	14192_14194	5	7
chr15	90610000	90670000	chr15	90880000	90920000	14196_14198	5	12
chr15	91050000	91070000	chr15	91250000	91280000	14200_14202	5	10
chr15	91290000	91330000	chr15	91820000	91860000	14203_14205	4	4
chr15	91290000	91330000	chr15	92060000	92110000	14203_14207	5	12
chr15	91700000	91730000	chr15	92060000	92110000	14204_14207	3	1
chr15	91820000	91860000	chr15	92060000	92110000	14205_14207	5	3
chr15	92060000	92110000	chr15	92200000	92230000	14207_14209	1	5
chr15	92510000	92530000	chr15	92680000	92720000	14210_14211	4	12
chr15	92790000	92820000	chr15	92890000	92950000	14212_14213	5	11
chr15	93020000	93100000	chr15	93960000	94000000	14216_14222	6	11
chr15	93020000	93100000	chr15	94110000	94130000	14216_14224	6	14
chr15	93960000	94000000	chr15	94110000	94130000	14222_14224	3	6
chr15	94150000	94180000	chr15	94310000	94330000	14225_14227	5	12
chr15	95220000	95280000	chr15	96320000	96390000	14230_14240	6	11
chr15	95220000	95280000	chr15	96870000	96910000	14230_14241	1	3
chr15	96320000	96390000	chr15	96870000	96910000	14240_14241	2	7
chr15	97890000	97920000	chr15	98070000	98100000	14244_14245	4	8
chr15	97890000	97920000	chr15	98170000	98190000	14244_14246	5	3
chr15	98300000	98320000	chr15	98410000	98470000	14248_14249	4	7
chr15	98410000	98470000	chr15	99060000	99110000	14249_14254	5	8
chr15	98510000	98540000	chr15	99060000	99110000	14250_14254	5	12
chr15	98630000	98660000	chr15	98850000	98890000	14251_14253	4	7
chr15	99060000	99110000	chr15	99200000	99230000	14254_14255	2	10
chr15	99270000	99290000	chr15	99690000	99740000	14256_14258	5	11
chr15	99400000	99430000	chr15	99690000	99740000	14257_14258	3	5
chr15	99920000	99950000	chr15	100320000	100340000	14259_14260	5	5
chr15	100620000	100650000	chr15	100860000	100910000	14264_14265	5	7
chr15	100620000	100650000	chr15	101000000	101030000	14264_14267	5	8
chr15	101000000	101030000	chr15	101250000	101280000	14267_14269	3	9
chr15	101080000	101100000	chr15	101250000	101280000	14268_14269	5	8
chr15	101290000	101310000	chr15	101610000	101650000	14270_14273	5	12
chr16	800000	840000	chr16	1040000	1090000	14279_14280	3	10
chr16	3680000	3720000	chr16	3870000	3890000	14290_14292	3	6
chr16	3960000	4000000	chr16	4250000	4270000	14293_14296	4	3
chr16	3960000	4000000	chr16	4310000	4350000	14293_14298	1	4
chr16	6000000	6040000	chr16	6640000	6670000	14311_14315	2	5
chr16	8640000	8680000	chr16	8780000	8800000	14324_14325	4	8
chr16	8640000	8680000	chr16	8860000	8900000	14324_14327	3	11
chr16	9140000	9190000	chr16	10170000	10200000	14331_14340	3	7
chr16	10240000	10270000	chr16	10490000	10540000	14342_14343	3	4
chr16	10490000	10540000	chr16	10900000	10930000	14343_14345	2	5
chr16	10750000	10770000	chr16	10900000	10930000	14344_14345	5	9
chr16	10950000	10990000	chr16	11250000	11270000	14346_14350	5	12
chr16	10950000	10990000	chr16	11350000	11410000	14346_14352	5	10
chr16	10950000	10990000	chr16	11630000	11680000	14346_14355	3	4
chr16	10950000	10990000	chr16	11690000	11740000	14346_14356	1	7
chr16	10950000	10990000	chr16	11800000	11840000	14346_14357	3	4
chr1	222780000	222810000	chr1	223070000	223100000	1434_1437	5	11
chr16	11350000	11410000	chr16	11630000	11680000	14352_14355	3	12
chr16	11350000	11410000	chr16	11690000	11740000	14352_14356	5	7
chr16	11350000	11410000	chr16	11800000	11840000	14352_14357	4	8
chr16	13910000	13960000	chr16	14190000	14220000	14367_14369	1	3
chr16	13910000	13960000	chr16	14230000	14310000	14367_14370	6	11
chr16	13910000	13960000	chr16	14510000	14560000	14367_14371	3	4
chr16	14230000	14310000	chr16	14510000	14560000	14370_14371	3	9
chr16	15740000	15770000	chr16	16140000	16180000	14379_14383	4	4
chr16	15860000	15880000	chr16	16100000	16130000	14380_14382	2	10
chr16	17270000	17310000	chr16	17460000	17480000	14386_14387	1	6
chr16	19080000	19100000	chr16	19350000	19400000	14389_14392	1	6
chr1	223130000	223180000	chr1	223640000	223700000	1438_1442	4	9
chr16	19160000	19210000	chr16	19350000	19400000	14390_14392	4	6
chr16	19580000	19610000	chr16	19860000	19890000	14395_14401	5	12
chr16	19580000	19610000	chr16	20360000	20400000	14395_14406	1	3
chr16	19700000	19710000	chr16	19860000	19890000	14399_14401	2	3
chr16	19900000	19930000	chr16	20280000	20310000	14402_14404	4	10
chr16	19900000	19930000	chr16	20360000	20400000	14402_14406	5	12
chr16	20830000	20860000	chr16	21070000	21090000	14407_14408	4	11
chr16	21140000	21180000	chr16	21290000	21320000	14410_14411	4	11
chr16	21140000	21180000	chr16	21540000	21580000	14410_14412	2	3
chr16	21140000	21180000	chr16	22280000	22350000	14410_14419	3	2
chr16	21540000	21580000	chr16	22650000	22690000	14412_14420	4	7
chr16	21970000	22020000	chr16	22080000	22100000	14415_14416	1	5
chr16	21970000	22020000	chr16	22150000	22210000	14415_14418	4	9
chr16	21970000	22020000	chr16	22280000	22350000	14415_14419	2	5
chr16	22150000	22210000	chr16	22280000	22350000	14418_14419	5	8
chr16	23170000	23200000	chr16	23330000	23380000	14428_14430	2	7
chr16	23170000	23200000	chr16	23420000	23440000	14428_14431	5	12
chr16	23700000	23750000	chr16	24010000	24060000	14434_14437	3	3
chr16	23700000	23750000	chr16	24470000	24580000	14434_14444	2	3
chr16	23780000	23820000	chr16	24010000	24060000	14436_14437	5	5
chr16	23780000	23820000	chr16	24470000	24580000	14436_14444	1	3
chr16	24010000	24060000	chr16	24470000	24580000	14437_14444	4	8
chr16	24470000	24580000	chr16	24770000	24840000	14444_14445	5	10
chr16	25040000	25070000	chr16	25220000	25250000	14449_14452	3	4
chr1	224110000	224140000	chr1	224310000	224350000	1444_1445	4	10
chr16	25830000	25880000	chr16	27020000	27130000	14463_14478	5	12
chr16	27150000	27210000	chr16	27350000	27380000	14479_14482	5	10
chr16	27150000	27210000	chr16	27440000	27460000	14479_14483	2	5
chr1	224500000	224530000	chr1	224850000	224900000	1447_1451	3	6
chr1	224500000	224530000	chr1	224910000	224930000	1447_1452	2	4
chr16	27220000	27240000	chr16	27350000	27380000	14480_14482	2	6
chr16	27590000	27650000	chr16	28050000	28100000	14486_14492	3	7
chr16	27680000	27710000	chr16	28050000	28100000	14488_14492	1	3
chr16	29680000	29710000	chr16	30000000	30040000	14499_14503	4	11
chr1	17100000	17140000	chr1	17230000	17250000	144_145	4	9
chr1	17100000	17140000	chr1	17330000	17370000	144_146	1	4
chr16	29800000	29870000	chr16	30000000	30040000	14501_14503	4	11
chr16	30070000	30110000	chr16	30380000	30440000	14504_14505	3	6
chr16	30070000	30110000	chr16	30610000	30650000	14504_14507	1	3
chr16	30380000	30440000	chr16	30610000	30650000	14505_14507	3	9
chr16	30970000	31010000	chr16	31130000	31220000	14512_14514	3	8
chr16	30970000	31010000	chr16	31420000	31510000	14512_14519	5	12
chr16	30970000	31010000	chr16	31850000	31880000	14512_14524	1	4
chr16	31130000	31220000	chr16	31420000	31510000	14514_14519	3	10
chr16	31420000	31510000	chr16	31690000	31720000	14519_14522	3	4
chr16	46940000	46950000	chr16	48130000	48180000	14529_14536	2	5
chr16	47020000	47050000	chr16	48130000	48180000	14530_14536	4	9
chr16	47110000	47150000	chr16	48130000	48180000	14532_14536	4	3
chr16	48210000	48260000	chr16	48610000	48640000	14537_14541	3	2
chr16	48340000	48380000	chr16	48520000	48550000	14539_14540	2	6
chr16	48340000	48380000	chr16	48610000	48640000	14539_14541	5	8
chr1	225310000	225330000	chr1	225940000	225990000	1453_1463	2	4
chr16	48680000	48700000	chr16	49330000	49360000	14543_14544	5	8
chr16	49400000	49410000	chr16	49900000	49930000	14545_14554	4	5
chr16	50200000	50240000	chr16	50640000	50670000	14556_14559	3	2
