loop_chr_x	loop_start_x	loop_end_x	loop_chr_y	loop_start_y	loop_end_y	loop_anchor_ID_x	loop_anchor_ID_y	loop_loopID	loop_Loop_Type	peak_chr	peak_start	peak_end	peak_Conc_T2E	peak_Conc_NonT2E	peak_Fold	peak_p.value	peak_FDR
chr11	20380000	20400000	chr11	20600000	20620000	11038	11039	11038_11039	shared	chr11	20387212	20387713	7.45	6.97	0.48	0.018	0.0898
chr20	51580000	51660000	chr20	51960000	51980000	16667	16670	16667_16670	shared	chr20	51630673	51631174	6.41	5.73	0.68	0.018	0.0898
chr20	51580000	51660000	chr20	52050000	52090000	16667	16672	16667_16672	shared	chr20	51630673	51631174	6.41	5.73	0.68	0.018	0.0898
chr2	19330000	19390000	chr2	19840000	19880000	1744	1746	1744_1746	shared	chr2	19358017	19358518	7.52	7.01	0.51	0.0181	0.09
chr2	171140000	171180000	chr2	171400000	171440000	2568	2569	2568_2569	shared	chr2	171158164	171158665	4.11	5.03	-0.93	0.0181	0.0901
chr3	53350000	53390000	chr3	53700000	53720000	3444	3447	3444_3447	shared	chr3	53376672	53377173	5.04	4.07	0.98	0.0181	0.0902
chr14	92670000	92710000	chr14	92780000	92790000	13640	13641	13640_13641	shared	chr14	92680858	92681359	6.1	5.47	0.63	0.0181	0.0902
chr8	48510000	48560000	chr8	48900000	48950000	8633	8637	8633_8637	shared	chr8	48556046	48556547	6.59	5.9	0.69	0.0181	0.0902
chr6	7710000	7730000	chr6	7990000	8030000	6235	6238	6235_6238	shared	chr6	7726516	7727017	6.25	5.48	0.77	0.0181	0.0902
chr16	31130000	31220000	chr16	31420000	31510000	14514	14519	14514_14519	shared	chr16	31215379	31215880	6.37	5.7	0.66	0.0182	0.0905
chr3	58630000	58660000	chr3	59040000	59060000	3486	3488	3486_3488	nonT2E-specific	chr3	58631337	58631838	4.84	3.91	0.93	0.0182	0.0905
chr10	28640000	28680000	chr10	28980000	29010000	10129	10131	10129_10131	shared	chr10	28668758	28669259	4.77	5.58	-0.81	0.0182	0.0906
chr10	28640000	28680000	chr10	29120000	29140000	10129	10132	10129_10132	shared	chr10	28668758	28669259	4.77	5.58	-0.81	0.0182	0.0906
chr10	28640000	28680000	chr10	29290000	29320000	10129	10134	10129_10134	shared	chr10	28668758	28669259	4.77	5.58	-0.81	0.0182	0.0906
chr7	27190000	27250000	chr7	27570000	27600000	7488	7489	7488_7489	shared	chr7	27239517	27240018	5.92	5.18	0.74	0.0183	0.0906
chr7	27190000	27250000	chr7	27740000	27800000	7488	7492	7488_7492	shared	chr7	27239517	27240018	5.92	5.18	0.74	0.0183	0.0906
chr7	27190000	27250000	chr7	27910000	27930000	7488	7493	7488_7493	shared	chr7	27239517	27240018	5.92	5.18	0.74	0.0183	0.0906
chr7	27190000	27250000	chr7	28000000	28040000	7488	7494	7488_7494	shared	chr7	27239517	27240018	5.92	5.18	0.74	0.0183	0.0906
chr7	27190000	27250000	chr7	28090000	28100000	7488	7496	7488_7496	shared	chr7	27239517	27240018	5.92	5.18	0.74	0.0183	0.0906
chr6	110660000	110690000	chr6	110910000	110990000	6880	6882	6880_6882	shared	chr6	110664094	110664595	6.09	6.91	-0.82	0.0183	0.0906
chr20	59940000	59960000	chr20	60040000	60090000	16740	16741	16740_16741	T2E-specific	chr20	59959992	59960493	3.89	4.83	-0.94	0.0183	0.0906
chr12	106960000	106990000	chr12	107090000	107110000	12532	12533	12532_12533	shared	chr12	106989280	106989781	4.32	5.04	-0.72	0.0183	0.0906
chr2	18730000	18770000	chr2	19330000	19390000	1738	1744	1738_1744	shared	chr2	18752088	18752589	5.15	4.48	0.67	0.0183	0.0906
chr2	18730000	18770000	chr2	19840000	19880000	1738	1746	1738_1746	shared	chr2	18752088	18752589	5.15	4.48	0.67	0.0183	0.0906
chr20	11260000	11300000	chr20	11520000	11560000	16329	16331	16329_16331	shared	chr20	11261440	11261941	5.89	5.14	0.75	0.0183	0.0906
chr22	49900000	49950000	chr22	50020000	50040000	17286	17287	17286_17287	shared	chr22	49929647	49930148	6.91	6.34	0.57	0.0183	0.0907
chr15	99400000	99430000	chr15	99690000	99740000	14257	14258	14257_14258	shared	chr15	99424829	99425330	5.63	4.89	0.74	0.0183	0.0907
chr17	78850000	78870000	chr17	78960000	78980000	15437	15438	15437_15438	shared	chr17	78861959	78862460	5.78	5.1	0.69	0.0184	0.0909
chr3	126240000	126270000	chr3	126370000	126400000	3825	3826	3825_3826	shared	chr3	126266386	126266887	5.15	4.46	0.69	0.0184	0.091
chr7	74200000	74220000	chr7	74380000	74410000	7816	7817	7816_7817	shared	chr7	74199719	74200220	6.16	6.72	-0.56	0.0184	0.091
chr10	88370000	88410000	chr10	88540000	88560000	10542	10544	10542_10544	shared	chr10	88388243	88388744	4.87	5.66	-0.79	0.0184	0.091
chr8	22680000	22720000	chr8	22890000	22930000	8477	8478	8477_8478	T2E-specific	chr8	22715561	22716062	5.36	4.56	0.81	0.0184	0.091
chr17	17660000	17700000	chr17	18020000	18050000	14956	14961	14956_14961	shared	chr17	17682399	17682900	8.21	7.76	0.45	0.0184	0.091
chr3	15610000	15650000	chr3	15800000	15840000	3173	3175	3173_3175	shared	chr3	15645337	15645838	4.84	3.87	0.96	0.0184	0.0912
chr2	236540000	236580000	chr2	237020000	237070000	3028	3033	3028_3033	T2E-specific	chr2	236567757	236568258	6.25	5.48	0.76	0.0185	0.0912
chr2	241710000	241740000	chr2	241860000	241880000	3078	3079	3078_3079	T2E-specific	chr2	241734581	241735082	7.39	6.77	0.62	0.0185	0.0912
chr21	45960000	45990000	chr21	46110000	46150000	16980	16981	16980_16981	shared	chr21	45978012	45978513	5.29	4.46	0.83	0.0185	0.0912
chr1	59050000	59090000	chr1	59680000	59780000	536	542	536_542	shared	chr1	59057859	59058360	5.48	6.74	-1.26	0.0185	0.0914
chr1	161190000	161230000	chr1	161360000	161390000	1014	1015	1014_1015	shared	chr1	161193637	161194138	5.67	4.97	0.7	0.0185	0.0914
chr2	171140000	171180000	chr2	171400000	171440000	2568	2569	2568_2569	shared	chr2	171160094	171160595	8.01	7.48	0.53	0.0185	0.0914
chr8	81260000	81290000	chr8	81620000	81650000	8812	8815	8812_8815	shared	chr8	81287785	81288286	4.22	5.22	-1	0.0185	0.0915
chr12	110080000	110120000	chr12	110410000	110440000	12565	12566	12565_12566	shared	chr12	110108139	110108640	6	5.29	0.71	0.0185	0.0915
chr22	40510000	40530000	chr22	40630000	40660000	17197	17198	17197_17198	shared	chr22	40519204	40519705	4.49	3.43	1.06	0.0185	0.0915
chr7	130880000	130910000	chr7	131000000	131040000	8183	8184	8183_8184	shared	chr7	130897409	130897910	6.11	5.45	0.66	0.0186	0.0916
chr6	167470000	167510000	chr6	167880000	167920000	7287	7289	7287_7289	shared	chr6	167500782	167501283	4.37	5.16	-0.79	0.0186	0.0916
chr4	17800000	17850000	chr4	18350000	18370000	4426	4430	4426_4430	shared	chr4	17810308	17810809	7.81	7.38	0.42	0.0186	0.0917
chr4	17800000	17850000	chr4	18570000	18620000	4426	4431	4426_4431	shared	chr4	17810308	17810809	7.81	7.38	0.42	0.0186	0.0917
chr1	208020000	208040000	chr1	208230000	208260000	1325	1328	1325_1328	shared	chr1	208037063	208037564	5.45	4.82	0.64	0.0186	0.0917
chr1	24820000	24870000	chr1	25200000	25230000	223	227	223_227	shared	chr1	24829112	24829613	4.14	5.14	-1	0.0186	0.0918
chr1	42110000	42180000	chr1	42730000	42780000	391	399	391_399	shared	chr1	42167550	42168051	4.92	3.96	0.96	0.0187	0.0918
chr10	17280000	17300000	chr10	17410000	17440000	10048	10050	10048_10050	shared	chr10	17290890	17291391	3.79	4.89	-1.1	0.0187	0.0919
chr1	211490000	211540000	chr1	211650000	211710000	1349	1351	1349_1351	shared	chr1	211512698	211513199	4.98	3.88	1.11	0.0187	0.0919
chr2	121060000	121120000	chr2	121330000	121370000	2353	2354	2353_2354	shared	chr2	121100579	121101080	4.24	2.91	1.33	0.0187	0.0919
chr2	121060000	121120000	chr2	121700000	121730000	2353	2357	2353_2357	shared	chr2	121100579	121101080	4.24	2.91	1.33	0.0187	0.0919
chr17	4160000	4220000	chr17	4400000	4420000	14827	14829	14827_14829	shared	chr17	4161610	4162111	5.46	4.84	0.62	0.0187	0.0919
chr4	112080000	112110000	chr4	112230000	112260000	4826	4827	4826_4827	shared	chr4	112109793	112110294	5.37	5.98	-0.61	0.0187	0.092
chr13	26480000	26520000	chr13	26680000	26720000	12774	12775	12774_12775	shared	chr13	26498686	26499187	5.27	6.05	-0.78	0.0187	0.092
chr8	100810000	100870000	chr8	101280000	101350000	8909	8915	8909_8915	shared	chr8	100809702	100810203	5.4	4.45	0.96	0.0188	0.0921
chr6	138800000	138830000	chr6	138970000	139010000	7089	7090	7089_7090	shared	chr6	138811035	138811536	2.43	4.09	-1.66	0.0188	0.0922
chr6	13780000	13810000	chr6	14050000	14070000	6294	6296	6294_6296	shared	chr6	13798825	13799326	4.16	4.92	-0.77	0.0188	0.0922
chr12	101910000	101950000	chr12	102470000	102500000	12485	12492	12485_12492	shared	chr12	101945639	101946140	5.79	6.3	-0.51	0.0188	0.0923
chr12	101910000	101950000	chr12	102730000	102780000	12485	12493	12485_12493	shared	chr12	101945639	101946140	5.79	6.3	-0.51	0.0188	0.0923
chr20	47610000	47710000	chr20	48590000	48630000	16625	16634	16625_16634	shared	chr20	47642831	47643332	4.77	5.41	-0.64	0.0189	0.0925
chr20	47610000	47710000	chr20	48880000	48920000	16625	16639	16625_16639	shared	chr20	47642831	47643332	4.77	5.41	-0.64	0.0189	0.0925
chr10	12650000	12770000	chr10	13050000	13100000	10006	10011	10006_10011	shared	chr10	12708169	12708670	5.87	5.06	0.81	0.0189	0.0926
chr10	7660000	7700000	chr10	9290000	9320000	9959	9977	9959_9977	shared	chr10	7666490	7666991	6.45	5.71	0.74	0.0189	0.0926
chr22	19440000	19500000	chr22	19610000	19640000	17001	17002	17001_17002	shared	chr22	19447236	19447737	7.72	7.25	0.47	0.0189	0.0926
chr16	79580000	79640000	chr16	80070000	80090000	14720	14725	14720_14725	shared	chr16	79586027	79586528	3.37	4.53	-1.16	0.0189	0.0926
chr11	129320000	129380000	chr11	129680000	129700000	11766	11767	11766_11767	shared	chr11	129369160	129369661	5.23	4.32	0.91	0.0189	0.0926
chr11	129320000	129380000	chr11	129720000	129770000	11766	11768	11766_11768	shared	chr11	129369160	129369661	5.23	4.32	0.91	0.0189	0.0926
chr1	206710000	206740000	chr1	206900000	206920000	1313	1314	1313_1314	shared	chr1	206737303	206737804	5.33	4.57	0.76	0.0189	0.0926
chr1	36140000	36170000	chr1	36280000	36300000	331	333	331_333	shared	chr1	36155426	36155927	8.37	7.98	0.39	0.0189	0.0927
chr2	43220000	43290000	chr2	43460000	43530000	1889	1892	1889_1892	shared	chr2	43280190	43280691	5.52	4.69	0.83	0.019	0.0927
chr11	9740000	9790000	chr11	9960000	9990000	10932	10934	10932_10934	shared	chr11	9765989	9766490	4.94	4.2	0.74	0.019	0.0928
chr11	9740000	9790000	chr11	10300000	10350000	10932	10936	10932_10936	shared	chr11	9765989	9766490	4.94	4.2	0.74	0.019	0.0928
chr19	55110000	55150000	chr19	55410000	55450000	16231	16232	16231_16232	shared	chr19	55113092	55113593	6.52	5.87	0.65	0.019	0.0928
chr19	55110000	55150000	chr19	55490000	55520000	16231	16234	16231_16234	shared	chr19	55113092	55113593	6.52	5.87	0.65	0.019	0.0928
chr19	18560000	18610000	chr19	18840000	18910000	16040	16042	16040_16042	shared	chr19	18607192	18607693	5.83	5.04	0.78	0.019	0.0929
chr1	113970000	114000000	chr1	114260000	114300000	825	826	825_826	shared	chr1	113983212	113983713	5.43	4.65	0.78	0.019	0.0929
chr3	138410000	138440000	chr3	138900000	138960000	3928	3933	3928_3933	shared	chr3	138434662	138435163	6.22	5.43	0.79	0.019	0.0929
chr1	94480000	94540000	chr1	94790000	94830000	731	732	731_732	shared	chr1	94534902	94535403	5.9	5.23	0.67	0.019	0.093
chr20	19180000	19230000	chr20	19570000	19600000	16371	16372	16371_16372	shared	chr20	19210000	19210501	4.35	3.11	1.23	0.0191	0.0931
chr20	19180000	19230000	chr20	19630000	19670000	16371	16373	16371_16373	shared	chr20	19210000	19210501	4.35	3.11	1.23	0.0191	0.0931
chr2	20660000	20690000	chr2	20930000	20970000	1753	1756	1753_1756	shared	chr2	20677708	20678209	5.24	4.57	0.67	0.0191	0.0931
chr13	110210000	110240000	chr13	110400000	110430000	13137	13138	13137_13138	shared	chr13	110218695	110219196	4.91	4	0.91	0.0191	0.0932
chr6	110660000	110690000	chr6	110910000	110990000	6880	6882	6880_6882	shared	chr6	110674137	110674638	5.04	5.98	-0.94	0.0192	0.0933
chr22	49900000	49950000	chr22	50020000	50040000	17286	17287	17286_17287	shared	chr22	49917884	49918385	7.91	7.44	0.47	0.0192	0.0933
chr1	8350000	8370000	chr1	8830000	8860000	67	76	67_76	shared	chr1	8352956	8353457	5.79	5.2	0.59	0.0193	0.0937
chr1	245120000	245170000	chr1	245980000	246040000	1616	1621	1616_1621	shared	chr1	245156150	245156651	6.61	5.92	0.69	0.0193	0.0937
chr1	245120000	245170000	chr1	246250000	246300000	1616	1624	1616_1624	shared	chr1	245156150	245156651	6.61	5.92	0.69	0.0193	0.0937
chr1	245120000	245170000	chr1	246430000	246520000	1616	1625	1616_1625	shared	chr1	245156150	245156651	6.61	5.92	0.69	0.0193	0.0937
chr1	40110000	40160000	chr1	40310000	40340000	375	377	375_377	shared	chr1	40143759	40144260	4.62	5.49	-0.87	0.0193	0.0937
chr1	40110000	40160000	chr1	40400000	40430000	375	379	375_379	shared	chr1	40143759	40144260	4.62	5.49	-0.87	0.0193	0.0937
chr1	5490000	5520000	chr1	5620000	5650000	37	38	37_38	shared	chr1	5494050	5494551	5.1	4.23	0.88	0.0193	0.0938
chr1	5490000	5520000	chr1	5730000	5770000	37	39	37_39	shared	chr1	5494050	5494551	5.1	4.23	0.88	0.0193	0.0938
chr1	39070000	39120000	chr1	39250000	39280000	361	362	361_362	shared	chr1	39081451	39081952	6.66	5.82	0.83	0.0193	0.0938
chr21	29150000	29180000	chr21	29340000	29380000	16845	16846	16845_16846	shared	chr21	29175632	29176133	5.21	6.02	-0.81	0.0193	0.0938
chr16	84710000	84770000	chr16	84940000	84970000	14754	14755	14754_14755	shared	chr16	84754963	84755464	6.52	5.93	0.59	0.0194	0.0939
chr10	110740000	110760000	chr10	110890000	110900000	10676	10679	10676_10679	shared	chr10	110745995	110746496	3.95	4.75	-0.8	0.0194	0.0939
chr12	108620000	108670000	chr12	108790000	108820000	12548	12549	12548_12549	shared	chr12	108633405	108633906	4.99	4.12	0.87	0.0194	0.0939
chr19	30670000	30710000	chr19	32020000	32060000	16070	16082	16070_16082	shared	chr19	30671337	30671838	4.89	3.99	0.9	0.0194	0.0941
chr19	30670000	30710000	chr19	32210000	32240000	16070	16083	16070_16083	shared	chr19	30671337	30671838	4.89	3.99	0.9	0.0194	0.0941
chr19	30670000	30710000	chr19	32280000	32340000	16070	16084	16070_16084	shared	chr19	30671337	30671838	4.89	3.99	0.9	0.0194	0.0941
chr9	38050000	38100000	chr9	38340000	38420000	9342	9346	9342_9346	shared	chr9	38058747	38059248	4.63	3.59	1.03	0.0194	0.0941
chr1	228670000	228740000	chr1	229130000	229160000	1480	1484	1480_1484	shared	chr1	228735502	228736003	7.98	7.44	0.54	0.0194	0.0941
chr1	228670000	228740000	chr1	229220000	229280000	1480	1486	1480_1486	shared	chr1	228735502	228736003	7.98	7.44	0.54	0.0194	0.0941
chr20	24980000	25020000	chr20	25180000	25200000	16431	16434	16431_16434	shared	chr20	25009428	25009929	3.67	4.87	-1.2	0.0194	0.0941
chr20	24980000	25020000	chr20	25390000	25410000	16431	16438	16431_16438	nonT2E-specific	chr20	25009428	25009929	3.67	4.87	-1.2	0.0194	0.0941
chr19	49080000	49100000	chr19	49200000	49220000	16204	16205	16204_16205	shared	chr19	49087359	49087860	4.07	4.97	-0.9	0.0195	0.0941
chr8	96320000	96350000	chr8	97150000	97200000	8869	8873	8869_8873	shared	chr8	96338416	96338917	5.12	4.39	0.73	0.0195	0.0941
chr8	96320000	96350000	chr8	97540000	97570000	8869	8876	8869_8876	shared	chr8	96338416	96338917	5.12	4.39	0.73	0.0195	0.0941
chr18	76390000	76410000	chr18	76680000	76710000	15873	15875	15873_15875	shared	chr18	76392254	76392755	4.57	3.41	1.16	0.0195	0.0942
chr6	149910000	149940000	chr6	150010000	150020000	7177	7178	7177_7178	shared	chr6	149938539	149939040	6.74	6.16	0.58	0.0195	0.0942
chr20	47610000	47710000	chr20	48590000	48630000	16625	16634	16625_16634	shared	chr20	47610151	47610652	4.9	4.12	0.78	0.0195	0.0943
chr20	47610000	47710000	chr20	48880000	48920000	16625	16639	16625_16639	shared	chr20	47610151	47610652	4.9	4.12	0.78	0.0195	0.0943
chr5	131250000	131280000	chr5	131390000	131420000	5784	5786	5784_5786	T2E-specific	chr5	131260415	131260916	5.09	4.34	0.75	0.0196	0.0944
chr5	149340000	149380000	chr5	149550000	149580000	5955	5957	5955_5957	shared	chr5	149379242	149379743	6.27	5.61	0.66	0.0196	0.0944
chr1	232610000	232660000	chr1	233000000	233030000	1513	1518	1513_1518	shared	chr1	232629920	232630421	7.05	6.36	0.69	0.0196	0.0945
chr20	49300000	49350000	chr20	49490000	49550000	16645	16646	16645_16646	shared	chr20	49318429	49318930	6.47	5.82	0.64	0.0196	0.0945
chr20	49300000	49350000	chr20	49830000	49860000	16645	16649	16645_16649	shared	chr20	49318429	49318930	6.47	5.82	0.64	0.0196	0.0945
chr15	95220000	95280000	chr15	96320000	96390000	14230	14240	14230_14240	shared	chr15	95268680	95269181	4.64	3.73	0.9	0.0196	0.0946
chr15	95220000	95280000	chr15	96870000	96910000	14230	14241	14230_14241	shared	chr15	95268680	95269181	4.64	3.73	0.9	0.0196	0.0946
chr5	149810000	149850000	chr5	149970000	150000000	5960	5961	5960_5961	shared	chr5	149829001	149829502	5.47	4.84	0.63	0.0196	0.0946
chr22	26740000	26790000	chr22	27380000	27420000	17055	17058	17055_17058	shared	chr22	26756739	26757240	5.85	5.14	0.71	0.0196	0.0947
chr22	26740000	26790000	chr22	27780000	27840000	17055	17067	17055_17067	shared	chr22	26756739	26757240	5.85	5.14	0.71	0.0196	0.0947
chr22	26740000	26790000	chr22	27980000	28080000	17055	17070	17055_17070	shared	chr22	26756739	26757240	5.85	5.14	0.71	0.0196	0.0947
chr2	171140000	171180000	chr2	171400000	171440000	2568	2569	2568_2569	shared	chr2	171155545	171156046	3.36	4.65	-1.29	0.0197	0.0947
chr10	122280000	122320000	chr10	122430000	122450000	10778	10780	10778_10780	shared	chr10	122308384	122308885	6.29	5.62	0.68	0.0197	0.0948
chr10	122280000	122320000	chr10	122550000	122570000	10778	10781	10778_10781	shared	chr10	122308384	122308885	6.29	5.62	0.68	0.0197	0.0948
chr11	65340000	65400000	chr11	65500000	65530000	11328	11330	11328_11330	shared	chr11	65386360	65386861	8.04	7.61	0.43	0.0197	0.0948
chr20	11260000	11300000	chr20	11520000	11560000	16329	16331	16329_16331	shared	chr20	11270417	11270918	5.58	4.62	0.97	0.0197	0.095
chr5	53460000	53490000	chr5	54190000	54230000	5350	5353	5350_5353	shared	chr5	53479590	53480091	6.86	6.23	0.63	0.0197	0.095
chr12	110080000	110120000	chr12	110410000	110440000	12565	12566	12565_12566	shared	chr12	110109508	110110009	6.07	5.39	0.68	0.0198	0.095
chr18	32260000	32300000	chr18	32460000	32490000	15662	15664	15662_15664	shared	chr18	32280610	32281111	5.2	4.4	0.8	0.0198	0.0951
chr18	32260000	32300000	chr18	32520000	32560000	15662	15665	15662_15665	shared	chr18	32280610	32281111	5.2	4.4	0.8	0.0198	0.0951
chr22	38040000	38110000	chr22	38300000	38340000	17174	17176	17174_17176	shared	chr22	38088837	38089687	5.49	4.54	0.95	0.0198	0.0951
chr22	38040000	38110000	chr22	38560000	38620000	17174	17178	17174_17178	shared	chr22	38088837	38089687	5.49	4.54	0.95	0.0198	0.0951
chr11	14870000	14930000	chr11	15070000	15080000	10988	10989	10988_10989	shared	chr11	14904944	14905445	6.07	5.32	0.74	0.0198	0.0951
chr16	19160000	19210000	chr16	19350000	19400000	14390	14392	14390_14392	shared	chr16	19179444	19179945	4.96	5.63	-0.67	0.0198	0.0952
chr15	58200000	58270000	chr15	58750000	58770000	13926	13931	13926_13931	shared	chr15	58254231	58254732	4.97	3.88	1.09	0.0198	0.0953
chr15	58200000	58270000	chr15	58840000	58870000	13926	13934	13926_13934	shared	chr15	58254231	58254732	4.97	3.88	1.09	0.0198	0.0953
chr15	58200000	58270000	chr15	58900000	58930000	13926	13935	13926_13935	shared	chr15	58254231	58254732	4.97	3.88	1.09	0.0198	0.0953
chr15	58200000	58270000	chr15	58940000	58990000	13926	13936	13926_13936	shared	chr15	58254231	58254732	4.97	3.88	1.09	0.0198	0.0953
chr15	58200000	58270000	chr15	59480000	59540000	13926	13941	13926_13941	shared	chr15	58254231	58254732	4.97	3.88	1.09	0.0198	0.0953
chr1	159770000	159800000	chr1	159880000	159910000	994	996	994_996	shared	chr1	159780908	159781409	7.14	6.62	0.52	0.0199	0.0955
chr1	159770000	159800000	chr1	160000000	160020000	994	998	994_998	shared	chr1	159780908	159781409	7.14	6.62	0.52	0.0199	0.0955
chr2	66420000	66470000	chr2	66560000	66600000	2045	2046	2045_2046	shared	chr2	66433738	66434239	7.04	6.48	0.57	0.0199	0.0955
chr2	66420000	66470000	chr2	67790000	67860000	2045	2057	2045_2057	shared	chr2	66433738	66434239	7.04	6.48	0.57	0.0199	0.0955
chr18	32260000	32300000	chr18	32460000	32490000	15662	15664	15662_15664	shared	chr18	32284749	32285250	5.1	4.32	0.77	0.02	0.0956
chr18	32260000	32300000	chr18	32520000	32560000	15662	15665	15662_15665	shared	chr18	32284749	32285250	5.1	4.32	0.77	0.02	0.0956
chr7	150440000	150460000	chr7	150730000	150760000	8282	8283	8282_8283	shared	chr7	150451771	150452272	5.5	4.67	0.83	0.02	0.0957
chr10	3750000	3810000	chr10	4640000	4670000	9918	9928	9918_9928	shared	chr10	3755641	3756142	5.38	4.6	0.79	0.02	0.0957
chr8	48510000	48560000	chr8	48900000	48950000	8633	8637	8633_8637	shared	chr8	48525664	48526165	4.95	3.97	0.97	0.02	0.0957
chr10	3750000	3810000	chr10	4640000	4670000	9918	9928	9918_9928	shared	chr10	3804005	3804506	5.63	4.94	0.68	0.02	0.0957
chr8	134460000	134490000	chr8	134660000	134710000	9117	9118	9117_9118	shared	chr8	134478710	134479211	5.39	4.53	0.86	0.02	0.0957
chr14	61440000	61500000	chr14	61700000	61750000	13406	13410	13406_13410	shared	chr14	61484918	61485419	5.45	4.67	0.78	0.02	0.0958
chr14	61440000	61500000	chr14	61820000	61850000	13406	13413	13406_13413	shared	chr14	61484918	61485419	5.45	4.67	0.78	0.02	0.0958
chr1	16070000	16090000	chr1	16180000	16200000	137	138	137_138	shared	chr1	16088474	16088975	6.15	5.37	0.78	0.0201	0.0959
chr15	56900000	56930000	chr15	57120000	57160000	13911	13913	13911_13913	shared	chr15	56918620	56919121	8.15	7.7	0.45	0.0201	0.096
chr12	49860000	49880000	chr12	50050000	50070000	12144	12146	12144_12146	shared	chr12	49868123	49868624	6.06	5.44	0.62	0.0201	0.096
chr17	37210000	37280000	chr17	37360000	37400000	15097	15099	15097_15099	shared	chr17	37276838	37277339	4.11	4.95	-0.84	0.0201	0.0961
chr15	30880000	30920000	chr15	31120000	31140000	13775	13777	13775_13777	shared	chr15	30906451	30906952	5.12	5.82	-0.71	0.0202	0.0963
chr15	30880000	30920000	chr15	31470000	31500000	13775	13780	13775_13780	shared	chr15	30906451	30906952	5.12	5.82	-0.71	0.0202	0.0963
chr8	97850000	97890000	chr8	98020000	98070000	8881	8883	8881_8883	shared	chr8	97869246	97869747	6.85	6.27	0.58	0.0202	0.0963
chr5	81730000	81760000	chr5	81850000	81860000	5592	5593	5592_5593	shared	chr5	81751459	81751960	8.05	7.62	0.43	0.0202	0.0965
chr1	52700000	52730000	chr1	53170000	53200000	481	486	481_486	shared	chr1	52726492	52726993	7.65	7.16	0.49	0.0202	0.0965
chr1	9260000	9290000	chr1	9460000	9490000	81	82	81_82	shared	chr1	9280418	9280919	5.26	4.58	0.68	0.0203	0.0965
chr5	127830000	127890000	chr5	128170000	128230000	5762	5764	5762_5764	shared	chr5	127849671	127850172	4.18	5.19	-1.01	0.0203	0.0965
chr22	42630000	42660000	chr22	43020000	43090000	17218	17223	17218_17223	shared	chr22	42655484	42655985	5.56	4.91	0.65	0.0203	0.0966
chr7	26640000	26700000	chr7	26840000	26870000	7483	7485	7483_7485	shared	chr7	26662055	26662556	5.24	4.29	0.94	0.0203	0.0966
chr7	26640000	26700000	chr7	27120000	27180000	7483	7487	7483_7487	shared	chr7	26662055	26662556	5.24	4.29	0.94	0.0203	0.0966
chr3	129470000	129510000	chr3	129810000	129840000	3856	3858	3856_3858	shared	chr3	129485973	129486474	4.91	4.12	0.79	0.0203	0.0966
chr3	129470000	129510000	chr3	129920000	129970000	3856	3859	3856_3859	shared	chr3	129485973	129486474	4.91	4.12	0.79	0.0203	0.0966
chr16	55450000	55480000	chr16	55680000	55730000	14600	14602	14600_14602	shared	chr16	55470956	55471457	4.68	3.44	1.24	0.0203	0.0967
chr16	55450000	55480000	chr16	55830000	55860000	14600	14603	14600_14603	shared	chr16	55470956	55471457	4.68	3.44	1.24	0.0203	0.0967
chr5	54480000	54530000	chr5	54840000	54870000	5356	5357	5356_5357	shared	chr5	54517721	54518222	7.68	7.04	0.63	0.0203	0.0967
chr4	105140000	105150000	chr4	105460000	105480000	4796	4797	4796_4797	shared	chr4	105146597	105147098	7.96	7.54	0.42	0.0204	0.0968
chr1	203500000	203520000	chr1	203690000	203720000	1286	1288	1286_1288	shared	chr1	203507066	203507567	5.24	4.51	0.73	0.0204	0.0969
chr17	68390000	68490000	chr17	68750000	68790000	15335	15337	15335_15337	T2E-specific	chr17	68449261	68449762	5.33	6.13	-0.8	0.0204	0.0969
chr12	93730000	93770000	chr12	94070000	94110000	12412	12418	12412_12418	shared	chr12	93768559	93769549	5.53	6.33	-0.8	0.0204	0.097
chr2	233210000	233290000	chr2	233430000	233480000	2996	2998	2996_2998	shared	chr2	233254904	233255405	5.22	4.45	0.77	0.0205	0.0971
chr4	76720000	76790000	chr4	77190000	77240000	4635	4642	4635_4642	shared	chr4	76750378	76750879	4.17	5.06	-0.89	0.0205	0.0972
chr22	45570000	45600000	chr22	45850000	45880000	17242	17245	17242_17245	shared	chr22	45578346	45578847	5.16	4.39	0.77	0.0205	0.0972
chr22	45570000	45600000	chr22	45960000	46020000	17242	17246	17242_17246	shared	chr22	45578346	45578847	5.16	4.39	0.77	0.0205	0.0972
chr1	112680000	112740000	chr1	113020000	113070000	811	816	811_816	shared	chr1	112706478	112706979	8.01	7.57	0.44	0.0206	0.0975
chr3	66480000	66530000	chr3	66800000	66830000	3555	3559	3555_3559	shared	chr3	66500012	66500513	7.98	7.5	0.48	0.0206	0.0975
chr5	87770000	87800000	chr5	88660000	88760000	5611	5617	5611_5617	shared	chr5	87774661	87775162	3.19	4.57	-1.37	0.0206	0.0975
chr2	134110000	134130000	chr2	134230000	134250000	2402	2403	2402_2403	shared	chr2	134120747	134121248	7.83	7.28	0.55	0.0207	0.0975
chr2	134110000	134130000	chr2	134400000	134440000	2402	2404	2402_2404	shared	chr2	134120747	134121248	7.83	7.28	0.55	0.0207	0.0975
chr12	93730000	93770000	chr12	94070000	94110000	12412	12418	12412_12418	shared	chr12	93757589	93758090	4.44	5.3	-0.87	0.0207	0.0976
