anchor_chr	anchor_start	anchor_end	anchor_anchor_ID	peak_chr	peak_start	peak_end	peak_Conc_T2E	peak_Conc_NonT2E	peak_Fold	peak_p.value	peak_FDR
chr14	54330000	54360000	13348	chr14	54344247	54344748	6.81	5.92	0.89	9.23e-05	0.00275
chr17	66210000	66280000	15320	chr17	66274820	66275321	4.91	3.16	1.75	9.31e-05	0.00277
chr8	8970000	9010000	8376	chr8	8973200	8973701	3.66	5.13	-1.47	9.46e-05	0.0028
chr7	140800000	140830000	8247	chr7	140810673	140811659	4.52	5.92	-1.4	9.49e-05	0.00281
chr10	49750000	49780000	10278	chr10	49761813	49762314	6.42	5.13	1.29	9.67e-05	0.00285
chr17	81460000	81510000	15460	chr17	81499344	81499845	5.48	4.06	1.42	9.79e-05	0.00286
chr18	8360000	8410000	15550	chr18	8368614	8369115	2.51	4.88	-2.37	9.82e-05	0.00287
chr19	14140000	14180000	16000	chr19	14149065	14149566	6.96	5.98	0.98	9.83e-05	0.00287
chr6	47030000	47070000	6592	chr6	47061265	47061766	4.82	2.6	2.22	9.83e-05	0.00287
chr16	47110000	47150000	14532	chr16	47143182	47143683	7.19	6.25	0.94	9.89e-05	0.00288
chr12	93100000	93170000	12406	chr12	93151811	93152312	3.2	4.99	-1.79	9.95e-05	0.0029
chr10	124360000	124400000	10791	chr10	124379487	124379988	5.31	3.43	1.88	9.98e-05	0.0029
chr5	115810000	115850000	5713	chr5	115839630	115840131	3.36	4.97	-1.6	0.000102	0.00295
chr11	126410000	126510000	11743	chr11	126466174	126466675	5.35	3.89	1.46	0.000102	0.00295
chr1	25780000	25810000	234	chr1	25784874	25785375	5.51	4.13	1.38	0.000102	0.00295
chr12	6270000	6300000	11860	chr12	6284555	6285056	4.61	5.84	-1.22	0.000103	0.00298
chr15	101000000	101030000	14267	chr15	101024526	101025027	5.76	4.73	1.03	0.000104	0.00301
chr15	58940000	58990000	13936	chr15	58962623	58963124	3.8	5.22	-1.42	0.000105	0.00302
chr4	81340000	81370000	4677	chr4	81351022	81351523	4.49	5.71	-1.22	0.000106	0.00304
chr20	59940000	59960000	16740	chr20	59945646	59946147	3.79	5.28	-1.49	0.000106	0.00304
chr1	199670000	199700000	1251	chr1	199691910	199692411	4.84	3.25	1.59	0.000106	0.00304
chr3	194060000	194090000	4289	chr3	194069191	194069692	4.99	3.71	1.28	0.000106	0.00304
chr10	114870000	114890000	10712	chr10	114874456	114874957	4.3	1.58	2.72	0.000107	0.00305
chr6	3120000	3160000	6185	chr6	3125373	3125874	4.3	5.75	-1.44	0.000107	0.00305
chr16	69280000	69300000	14662	chr16	69280080	69280581	2.05	4.3	-2.25	0.000107	0.00306
chr12	118170000	118210000	12640	chr12	118182890	118183391	3.09	4.92	-1.83	0.000107	0.00306
chr1	245120000	245170000	1616	chr1	245167905	245168406	5.18	3.69	1.49	0.000107	0.00306
chr7	26480000	26530000	7481	chr7	26505241	26505742	4.82	2.97	1.85	0.000108	0.00308
chr22	27980000	28080000	17070	chr22	28029427	28029928	5.53	4.39	1.14	0.00011	0.00311
chr11	111420000	111460000	11600	chr11	111438883	111439384	5.6	4.49	1.11	0.00011	0.00312
chr22	30230000	30280000	17096	chr22	30246147	30246648	7.54	6.72	0.81	0.00011	0.00312
chr15	79830000	79870000	14119	chr15	79853720	79854221	3.82	5.19	-1.36	0.00011	0.00312
chr2	229120000	229160000	2960	chr2	229149903	229150404	4.23	5.67	-1.45	0.00011	0.00312
chr14	96090000	96120000	13674	chr14	96105089	96105590	5.53	4.23	1.29	0.000111	0.00312
chr12	15570000	15610000	11944	chr12	15596624	15597125	4.84	3.13	1.72	0.000112	0.00315
chr15	79170000	79200000	14113	chr15	79169749	79170250	3.77	5.13	-1.36	0.000114	0.00321
chr2	134400000	134440000	2404	chr2	134411576	134412077	5.23	4.03	1.2	0.000116	0.00323
chr7	26480000	26530000	7481	chr7	26506894	26507395	5.79	4.56	1.23	0.000117	0.00326
chr3	101790000	101830000	3695	chr3	101792918	101793419	2.52	4.64	-2.12	0.000119	0.00331
chr12	57260000	57310000	12219	chr12	57305718	57306219	2.73	4.83	-2.1	0.00012	0.00332
chr15	89870000	89910000	14187	chr15	89873349	89873850	2.59	4.72	-2.13	0.00012	0.00333
chr7	96400000	96440000	7973	chr7	96407584	96408085	4.83	3.44	1.39	0.000122	0.00338
chr6	53440000	53520000	6637	chr6	53512208	53512709	3.16	4.74	-1.59	0.000123	0.00338
chr2	181450000	181480000	2643	chr2	181457356	181457857	6.94	5.83	1.11	0.000123	0.00338
chr22	46790000	46810000	17257	chr22	46792049	46792550	5.34	3.9	1.45	0.000124	0.00341
chr10	76020000	76080000	10467	chr10	76050842	76051343	6.83	5.94	0.9	0.000124	0.00341
chr2	164710000	164760000	2526	chr2	164754532	164755033	3.73	5.36	-1.62	0.000124	0.00342
chr16	19160000	19210000	14390	chr16	19183719	19184220	5.28	3.88	1.4	0.000125	0.00342
chr14	37560000	37590000	13292	chr14	37575271	37575772	5.66	6.55	-0.89	0.000125	0.00342
chr3	194290000	194360000	4291	chr3	194306206	194306707	5.23	3.62	1.62	0.000125	0.00343
chr14	99210000	99290000	13694	chr14	99231264	99231765	5.75	4.31	1.44	0.000126	0.00345
chr2	234270000	234300000	3005	chr2	234289691	234290192	6	4.86	1.14	0.000127	0.00347
chr15	58840000	58870000	13934	chr15	58854359	58854860	2.77	4.77	-2	0.000128	0.00348
chr6	111980000	112040000	6890	chr6	112038190	112038691	5.5	4.1	1.39	0.000128	0.00348
chr18	13520000	13550000	15600	chr18	13537331	13537832	5.54	3.95	1.59	0.00013	0.00351
chr22	27980000	28080000	17070	chr22	28028598	28029099	5.38	4.16	1.22	0.000131	0.00353
chr18	58940000	58960000	15795	chr18	58958774	58959275	4.58	5.74	-1.16	0.000131	0.00355
chr8	18670000	18690000	8434	chr8	18670907	18671408	2.18	4.56	-2.38	0.000132	0.00356
chr6	157940000	157990000	7236	chr6	157976361	157977340	5.72	4.71	1.01	0.000132	0.00357
chr11	10390000	10420000	10937	chr11	10401184	10401685	5.19	3.7	1.49	0.000133	0.00359
chr12	57260000	57310000	12219	chr12	57301689	57302190	4.17	5.41	-1.24	0.000134	0.00359
chr2	41850000	41870000	1878	chr2	41869908	41870409	5.9	4.75	1.14	0.000134	0.00359
chr11	9000000	9030000	10924	chr11	9003538	9004039	7.42	6.39	1.03	0.000134	0.0036
chr6	1570000	1630000	6164	chr6	1617091	1617592	5.42	4.12	1.29	0.000134	0.0036
chr3	13870000	13920000	3158	chr3	13880343	13880844	5	3.47	1.53	0.000134	0.0036
chr10	15420000	15450000	10033	chr10	15443755	15444256	4.31	5.78	-1.47	0.000134	0.0036
chr9	89530000	89630000	9485	chr9	89624009	89624510	7.3	6.54	0.76	0.000135	0.00361
chr10	51390000	51440000	10293	chr10	51405823	51406324	5.01	3.04	1.97	0.000135	0.00363
chr5	147800000	147830000	5942	chr5	147823634	147824135	2.49	4.69	-2.2	0.000136	0.00365
chr2	64640000	64670000	2029	chr2	64650661	64651162	3.81	5.14	-1.33	0.000137	0.00366
chr3	42230000	42260000	3338	chr3	42254451	42254952	5.1	6.31	-1.21	0.000139	0.0037
chr11	13940000	13980000	10979	chr11	13963364	13963865	5.8	4.33	1.47	0.000139	0.0037
chr8	70130000	70170000	8757	chr8	70133837	70134338	3.95	5.21	-1.26	0.00014	0.00371
chr1	12380000	12420000	112	chr1	12398347	12398848	4.68	3.19	1.5	0.000141	0.00375
chr22	45960000	46020000	17246	chr22	46019344	46019845	5.46	4.34	1.12	0.000142	0.00376
chr10	92060000	92100000	10571	chr10	92088113	92088614	4.69	5.89	-1.19	0.000144	0.00379
chr9	122790000	122820000	9759	chr9	122816299	122816800	5.47	4.11	1.36	0.000145	0.00382
chr1	28080000	28100000	254	chr1	28089598	28090099	3.41	4.88	-1.48	0.000145	0.00383
chr10	94300000	94350000	10585	chr10	94346896	94347397	3.9	5.32	-1.42	0.000146	0.00384
chr20	59380000	59500000	16737	chr20	59403547	59404048	6.21	5.15	1.06	0.000147	0.00387
chr8	28410000	28440000	8523	chr8	28419084	28419585	4.67	5.74	-1.07	0.000148	0.00387
chr17	77310000	77350000	15415	chr17	77328979	77329480	5.76	4.61	1.14	0.000149	0.0039
chr10	127890000	127910000	10815	chr10	127907136	127907637	7.3	6.21	1.09	0.000149	0.0039
chr4	163320000	163350000	5036	chr4	163343838	163344339	6.04	3.37	2.67	0.00015	0.00391
chr22	19440000	19500000	17001	chr22	19499610	19500111	4.67	2.68	1.99	0.000151	0.00393
chr5	181160000	181180000	6151	chr5	181160239	181160740	6	4.71	1.29	0.000151	0.00394
chr11	65690000	65730000	11332	chr11	65692369	65692870	6.7	5.55	1.14	0.000152	0.00394
chr5	55380000	55420000	5364	chr5	55389214	55389715	4.81	6.19	-1.38	0.000153	0.00396
chr2	233210000	233290000	2996	chr2	233280589	233281090	4.17	5.71	-1.54	0.000153	0.00396
chr21	40380000	40410000	16928	chr21	40404333	40404834	4.56	5.67	-1.12	0.000153	0.00396
chr20	59380000	59500000	16737	chr20	59422792	59423293	4.7	3.07	1.63	0.000154	0.00399
chr11	129320000	129380000	11766	chr11	129375936	129376437	7.28	6.52	0.76	0.000155	0.00401
chr4	158160000	158180000	5020	chr4	158178917	158179418	6.09	5.23	0.87	0.000155	0.00401
chr5	66970000	67000000	5471	chr5	66995427	66995928	3.5	5.18	-1.68	0.000156	0.00403
chr13	30090000	30160000	12802	chr13	30110269	30110770	5.15	3.54	1.6	0.000158	0.00406
chr21	38490000	38530000	16910	chr21	38499837	38500338	4.89	2.96	1.93	0.000159	0.00406
chr18	13610000	13650000	15601	chr18	13616066	13616567	5.66	4.31	1.35	0.00016	0.0041
chr1	26780000	26810000	242	chr1	26797552	26798053	5.61	4.53	1.08	0.000161	0.0041
chr13	48740000	48790000	12968	chr13	48783545	48784046	4.62	2.61	2.01	0.000161	0.0041
chr14	96090000	96120000	13674	chr14	96104299	96104800	5.09	3.78	1.31	0.000161	0.00411
chr7	38190000	38240000	7565	chr7	38211890	38212391	5.2	6.34	-1.14	0.000161	0.00411
chr4	82440000	82480000	4685	chr4	82451628	82452129	3.23	4.89	-1.65	0.000161	0.00411
chr8	18150000	18200000	8430	chr8	18170534	18171035	3.07	5.15	-2.08	0.000162	0.00411
chr2	20090000	20130000	1748	chr2	20104347	20104848	4.81	3.03	1.79	0.000165	0.00418
chr13	44410000	44510000	12930	chr13	44431149	44431650	5.38	3.8	1.58	0.000165	0.00418
chr3	27300000	27320000	3231	chr3	27316662	27317163	4.4	5.67	-1.27	0.000165	0.00418
chr8	52100000	52130000	8645	chr8	52110419	52110920	2.36	4.56	-2.2	0.000165	0.00418
chr7	26480000	26530000	7481	chr7	26492404	26492905	4.94	3.37	1.57	0.000166	0.0042
chr6	137260000	137340000	7075	chr6	137283343	137283844	4.56	2.84	1.72	0.000166	0.0042
chr20	12920000	12990000	16335	chr20	12925292	12925793	4.74	5.74	-1	0.000167	0.00421
chr1	153560000	153600000	925	chr1	153566374	153566875	6.77	5.76	1.01	0.000168	0.00422
chr12	93510000	93590000	12410	chr12	93564265	93564766	4.64	5.98	-1.34	0.000169	0.00424
chr11	82680000	82730000	11474	chr11	82682090	82682591	4.59	5.73	-1.15	0.00017	0.00427
chr10	132440000	132480000	10853	chr10	132447242	132447743	7.54	6.68	0.86	0.000172	0.0043
chr5	170610000	170640000	6076	chr5	170614857	170615358	5.11	3.5	1.61	0.000172	0.00432
chr16	80530000	80550000	14728	chr16	80542987	80543488	2.97	5.12	-2.15	0.000173	0.00434
chr10	128000000	128050000	10816	chr10	128011590	128012091	5.1	3.69	1.42	0.000174	0.00434
chr3	53350000	53390000	3444	chr3	53386966	53387467	4.55	2.03	2.51	0.000174	0.00435
chr9	123340000	123370000	9766	chr9	123346003	123346504	5.4	3.92	1.49	0.000178	0.00441
chr6	149410000	149480000	7173	chr6	149464153	149464654	5.54	4.4	1.14	0.00018	0.00445
chr1	12380000	12420000	112	chr1	12385786	12386287	4.82	3.14	1.68	0.00018	0.00446
chr2	98820000	98850000	2219	chr2	98831894	98832395	5.35	4.21	1.14	0.000181	0.00448
chr8	80470000	80500000	8807	chr8	80484024	80484525	3.9	5.32	-1.42	0.000182	0.00448
chr7	26640000	26700000	7483	chr7	26663543	26664044	5.14	3.45	1.68	0.000184	0.00452
chr6	47030000	47070000	6592	chr6	47044038	47044539	5	3.69	1.31	0.000184	0.00454
chr16	31130000	31220000	14514	chr16	31202264	31202765	6.74	5.74	1	0.000185	0.00455
chr15	63880000	63910000	13981	chr15	63895121	63895622	4.8	3.39	1.41	0.000186	0.00457
chr2	1570000	1610000	1635	chr2	1587881	1588382	5.2	3.94	1.26	0.000187	0.00458
chr15	33250000	33310000	13788	chr15	33304475	33304976	5.73	4.42	1.31	0.000187	0.00459
chr3	32010000	32030000	3249	chr3	32028882	32029383	5.13	3.45	1.68	0.000188	0.0046
chr2	209310000	209360000	2800	chr2	209348447	209348948	2.72	4.83	-2.11	0.000188	0.0046
chr6	7710000	7730000	6235	chr6	7729492	7729993	4.86	3.05	1.8	0.00019	0.00463
chr3	73820000	73860000	3625	chr3	73828094	73828595	3.72	5.23	-1.51	0.000192	0.00467
chr6	47030000	47070000	6592	chr6	47043461	47043962	4.86	3.09	1.77	0.000192	0.00467
chr1	3260000	3300000	20	chr1	3275212	3275713	4.69	2.66	2.04	0.000194	0.00469
chr8	81260000	81290000	8812	chr8	81282854	81283355	2.7	5.06	-2.36	0.000194	0.0047
chr1	239880000	239940000	1577	chr1	239891636	239892137	5.24	3.96	1.29	0.000194	0.0047
chr17	61540000	61600000	15281	chr17	61556313	61556814	3.56	4.92	-1.36	0.000195	0.0047
chr17	68390000	68490000	15335	chr17	68459039	68459540	3.67	4.99	-1.33	0.000195	0.00471
chr8	98160000	98180000	8885	chr8	98179994	98180495	4.86	3.23	1.63	0.000196	0.00473
chr11	126410000	126510000	11743	chr11	126456089	126456590	5.48	4.02	1.47	0.000196	0.00473
chr15	55200000	55220000	13901	chr15	55218002	55218503	3.59	5.11	-1.52	0.000197	0.00474
chr10	129010000	129050000	10823	chr10	129037128	129037629	5.34	3.98	1.36	0.000198	0.00476
chr18	13610000	13650000	15601	chr18	13618856	13619357	5.57	4.24	1.33	0.000198	0.00476
chr4	185620000	185660000	5128	chr4	185638787	185639288	5.67	4.54	1.14	0.000199	0.00478
chr15	89870000	89910000	14187	chr15	89884707	89885208	3.94	5.29	-1.36	0.000199	0.00479
chr5	131390000	131420000	5786	chr5	131394739	131395591	5.57	4.24	1.33	0.000199	0.00479
chr8	27420000	27480000	8515	chr8	27461054	27461555	3	4.93	-1.93	2e-04	0.00479
chr7	134940000	135000000	8207	chr7	134966737	134967238	5.32	6.18	-0.86	2e-04	0.0048
chr12	94070000	94110000	12418	chr12	94103890	94104391	3.72	5.32	-1.6	2e-04	0.0048
chr15	80770000	80800000	14128	chr15	80773059	80773560	3.39	5.07	-1.69	0.000203	0.00484
chr6	1570000	1630000	6164	chr6	1577304	1577805	4.73	2.78	1.95	0.000203	0.00484
chr14	24770000	24820000	13195	chr14	24814251	24814752	3.92	5.43	-1.51	0.000204	0.00485
chr10	71690000	71710000	10427	chr10	71695294	71695795	5.32	4.12	1.2	0.000208	0.00493
chr16	67150000	67180000	14642	chr16	67150596	67151097	7.4	6.45	0.95	0.000209	0.00495
chr16	86550000	86580000	14767	chr16	86578748	86579249	5.56	3.95	1.61	0.000211	0.00497
chr5	16470000	16500000	5219	chr5	16487224	16487725	3.88	5.21	-1.33	0.000211	0.00498
chr9	104840000	104890000	9611	chr9	104869433	104869934	5.72	4.42	1.3	0.000211	0.00498
chr11	121520000	121600000	11696	chr11	121586208	121586709	5	3.73	1.27	0.000213	0.00501
chr13	50510000	50550000	12979	chr13	50512647	50513148	5.99	4.94	1.05	0.000213	0.00501
chr13	23850000	23890000	12764	chr13	23868223	23868724	2.94	5.61	-2.66	0.000213	0.00501
chr1	228670000	228740000	1480	chr1	228690557	228691058	3.71	5.03	-1.31	0.000214	0.00502
chr18	32260000	32300000	15662	chr18	32283219	32284097	5.59	4.48	1.11	0.000214	0.00503
chr4	3340000	3360000	4337	chr4	3340862	3341363	5.93	4.87	1.06	0.000215	0.00504
chr13	110920000	110950000	13142	chr13	110919876	110920377	5.86	4.73	1.13	0.000216	0.00506
chr14	24770000	24820000	13195	chr14	24805667	24806168	4.91	6.03	-1.12	0.000217	0.00506
chr2	7020000	7050000	1656	chr2	7036825	7037326	5.46	4.29	1.17	0.000217	0.00506
chr5	131990000	132040000	5794	chr5	132020611	132021112	4.9	3.3	1.6	0.000218	0.00508
chr6	138410000	138440000	7085	chr6	138423185	138423686	4.88	3.22	1.66	0.000218	0.00508
chr2	43220000	43290000	1889	chr2	43226948	43227449	7.95	7.21	0.74	0.000219	0.00511
chr10	80500000	80520000	10499	chr10	80509217	80509718	5.33	4.05	1.28	0.00022	0.00512
chr8	27420000	27480000	8515	chr8	27475823	27476324	3.51	4.99	-1.48	0.000224	0.00518
chr8	27580000	27620000	8516	chr8	27595387	27595888	5.86	6.86	-1	0.000225	0.0052
chr15	99400000	99430000	14257	chr15	99425611	99426112	5.78	4.53	1.25	0.000226	0.00521
chr10	49150000	49200000	10273	chr10	49176886	49177387	5.27	3.73	1.54	0.000226	0.00521
chr6	47030000	47070000	6592	chr6	47035799	47036300	4.99	3.28	1.71	0.000226	0.00521
chr15	99400000	99430000	14257	chr15	99407952	99408453	5.33	4.23	1.1	0.000231	0.00529
chr2	105510000	105540000	2268	chr2	105515940	105516441	5.57	4.14	1.43	0.000232	0.0053
chr8	98450000	98490000	8887	chr8	98474846	98475347	4.18	5.38	-1.2	0.000232	0.0053
chr22	37280000	37330000	17165	chr22	37311312	37311813	4.91	3.52	1.39	0.000232	0.00531
chr15	69460000	69500000	14037	chr15	69468193	69468694	7.02	6.26	0.76	0.000234	0.00534
chr12	124420000	124460000	12695	chr12	124456168	124456669	5.04	3.73	1.31	0.000234	0.00534
chr8	59910000	59930000	8695	chr8	59919273	59919774	4.59	2.31	2.28	0.000235	0.00535
chr6	110910000	110990000	6882	chr6	110934384	110934885	3.55	4.91	-1.36	0.00024	0.00544
chr1	225460000	225500000	1455	chr1	225467300	225467801	6.31	5.27	1.04	0.000241	0.00545
chr20	44070000	44100000	16583	chr20	44083501	44084002	5.07	3.53	1.54	0.000241	0.00545
chr4	26990000	27030000	4471	chr4	27006551	27007052	3.57	5.02	-1.45	0.000241	0.00545
chr21	45270000	45310000	16974	chr21	45301453	45301954	6.51	5.31	1.21	0.000242	0.00546
chr2	46280000	46300000	1909	chr2	46297800	46298301	8.19	7.5	0.69	0.000243	0.00549
chr8	22680000	22720000	8477	chr8	22704215	22704716	5.49	4.35	1.15	0.000246	0.00553
chr12	93380000	93410000	12407	chr12	93398543	93399044	2.02	4.14	-2.12	0.000247	0.00554
chr18	74180000	74210000	15861	chr18	74182686	74183187	4.84	3.19	1.66	0.000247	0.00554
chr2	174680000	174700000	2599	chr2	174682213	174682714	7.8	6.76	1.04	0.000247	0.00554
chr3	51990000	52030000	3430	chr3	52022815	52023660	5.55	4.25	1.3	0.000247	0.00554
chr11	129680000	129700000	11767	chr11	129695787	129696288	5.65	4.54	1.11	0.000248	0.00555
chr6	46830000	46860000	6590	chr6	46833092	46833593	5.47	4.35	1.12	0.000249	0.00557
chr16	86550000	86580000	14767	chr16	86567080	86567581	5.33	3.69	1.64	0.00025	0.00559
chr20	39850000	39900000	16537	chr20	39849860	39850361	5.54	4.32	1.22	0.000252	0.00562
chr7	41680000	41740000	7600	chr7	41699602	41700103	6.2	5.19	1.01	0.000252	0.00562
chr14	92670000	92710000	13640	chr14	92692373	92692874	6.91	6.01	0.9	0.000254	0.00565
chr8	11720000	11770000	8397	chr8	11748894	11749395	3.8	5.42	-1.61	0.000255	0.00566
chr12	79720000	79750000	12343	chr12	79738945	79739446	3.18	4.75	-1.57	0.000255	0.00568
chr11	115480000	115520000	11631	chr11	115499366	115499867	3.89	5.22	-1.32	0.000255	0.00568
chr12	93100000	93170000	12406	chr12	93148244	93148745	4.92	5.97	-1.04	0.000256	0.00568
chr1	182580000	182610000	1189	chr1	182603965	182604466	6.39	5.56	0.83	0.000257	0.0057
chr14	50760000	50780000	13323	chr14	50766101	50766602	6.41	5.53	0.88	0.000258	0.00571
chr2	31320000	31350000	1824	chr2	31333931	31334432	5.5	4.05	1.45	0.000258	0.00572
chr14	25120000	25170000	13198	chr14	25134148	25134649	2.73	4.73	-2	0.000261	0.00576
chr7	30150000	30190000	7514	chr7	30186377	30186878	4.3	2.01	2.29	0.000263	0.00578
chr8	2010000	2040000	8345	chr8	2025146	2025647	4.08	5.19	-1.1	0.000266	0.00583
chr14	35200000	35240000	13273	chr14	35203438	35203939	4.95	3.36	1.59	0.000267	0.00585
chr1	12380000	12420000	112	chr1	12402695	12403196	5.1	3.81	1.29	0.000269	0.00588
chr12	64880000	64900000	12255	chr12	64889657	64890158	4.13	5.46	-1.33	0.000269	0.00589
chr11	120090000	120140000	11675	chr11	120132232	120132733	5.45	4.39	1.07	0.00027	0.0059
chr11	76140000	76170000	11427	chr11	76140749	76141250	5.14	6.09	-0.94	0.000271	0.00591
chr9	18240000	18270000	9260	chr9	18259464	18259965	3.38	4.89	-1.51	0.000273	0.00594
chr6	53700000	53730000	6639	chr6	53719094	53719595	3.93	5.28	-1.35	0.000273	0.00594
chr11	82680000	82730000	11474	chr11	82695053	82695554	3.75	5.13	-1.38	0.000274	0.00596
chr2	28750000	28770000	1802	chr2	28751945	28752446	8.48	7.84	0.64	0.000276	0.00599
chr21	38490000	38530000	16910	chr21	38491643	38492144	4.86	2.58	2.28	0.000276	0.00599
chr1	212440000	212490000	1359	chr1	212488779	212489280	6.14	5.19	0.95	0.000278	0.00602
chr1	33450000	33470000	310	chr1	33462976	33463477	4.79	3.17	1.62	0.000278	0.00602
chr12	92980000	93020000	12405	chr12	92987674	92988175	6.06	6.94	-0.88	0.000281	0.00606
chr17	41520000	41570000	15129	chr17	41527921	41528422	7.42	6.42	1	0.000282	0.00608
chr12	93380000	93410000	12407	chr12	93407142	93407643	4.37	5.56	-1.19	0.000284	0.0061
chr6	108660000	108690000	6863	chr6	108669802	108670303	5.07	3.61	1.45	0.000284	0.00611
chr10	49150000	49200000	10273	chr10	49190179	49190680	5.03	3.69	1.33	0.000284	0.00611
chr17	61540000	61600000	15281	chr17	61557338	61557839	3.63	5.03	-1.4	0.000287	0.00614
chr8	26070000	26100000	8506	chr8	26088975	26089476	4.71	5.79	-1.08	0.000288	0.00618
chr6	3710000	3760000	6195	chr6	3751026	3751527	8.02	7.16	0.86	0.000293	0.00625
chr12	93380000	93410000	12407	chr12	93387530	93388031	4.15	5.38	-1.23	0.000295	0.00628
chr10	129010000	129050000	10823	chr10	129036460	129036961	5.04	3.7	1.35	0.000297	0.00633
chr11	65690000	65730000	11332	chr11	65697789	65698290	5.1	3.71	1.39	0.000298	0.00633
chr1	36280000	36300000	333	chr1	36283547	36284048	4.58	5.96	-1.38	0.000299	0.00636
chr22	46790000	46810000	17257	chr22	46791211	46791712	5.29	4.03	1.26	0.000301	0.00638
chr13	36260000	36300000	12853	chr13	36261353	36261854	5.26	3.86	1.4	0.000302	0.00639
chr1	234960000	235010000	1539	chr1	234979042	234979543	7.32	6.51	0.8	0.000305	0.00645
chr19	6510000	6530000	15943	chr19	6513921	6514422	2.9	4.97	-2.07	0.000306	0.00646
chr12	93380000	93410000	12407	chr12	93394270	93394771	3.37	4.9	-1.52	0.000309	0.0065
chr10	77820000	77860000	10480	chr10	77835783	77836284	7.13	6.31	0.81	0.00031	0.00652
chr18	74540000	74560000	15864	chr18	74546391	74546892	6.39	5.18	1.21	0.000311	0.00654
chr10	63710000	63740000	10392	chr10	63723561	63724062	6.22	5.39	0.83	0.000311	0.00654
chr12	93100000	93170000	12406	chr12	93132935	93133436	4.72	5.75	-1.03	0.000313	0.00656
chr7	26640000	26700000	7483	chr7	26664814	26665315	5.4	4.08	1.32	0.000314	0.00656
chr6	37170000	37220000	6500	chr6	37170548	37171049	8.12	7.41	0.71	0.000314	0.00658
chr11	69870000	69930000	11370	chr11	69892645	69893146	5.34	4.17	1.17	0.000315	0.00659
chr9	127940000	127960000	9820	chr9	127952019	127952520	4.55	5.5	-0.96	0.000316	0.0066
chr9	72030000	72080000	9378	chr9	72039851	72040352	5.5	3.98	1.52	0.000317	0.00662
chr8	42160000	42190000	8607	chr8	42184864	42185365	5.51	4.13	1.38	0.00032	0.00665
chr8	97540000	97570000	8876	chr8	97542663	97543164	5.3	3.73	1.57	0.000322	0.00668
chr1	38550000	38590000	355	chr1	38578236	38578737	4.87	3.35	1.52	0.000322	0.00669
chr14	59950000	59970000	13387	chr14	59966895	59967396	3.1	4.77	-1.67	0.000324	0.00671
chr8	28410000	28440000	8523	chr8	28415591	28416092	4.84	5.79	-0.95	0.000325	0.00673
chr9	112060000	112120000	9673	chr9	112079305	112079806	4.63	3.11	1.52	0.000329	0.00678
chr8	80570000	80650000	8808	chr8	80601031	80601532	3.81	5.02	-1.22	0.000329	0.00678
chr7	91620000	91650000	7933	chr7	91636042	91636543	4.24	5.31	-1.07	0.000333	0.00684
chr7	28000000	28040000	7494	chr7	28026915	28027416	4.14	5.24	-1.1	0.000334	0.00685
chr20	47760000	47800000	16627	chr20	47792206	47792707	4.91	3.23	1.68	0.000335	0.00687
chr11	117790000	117850000	11651	chr11	117823558	117824059	5.96	4.97	0.99	0.000337	0.0069
chr14	24770000	24820000	13195	chr14	24817924	24818425	4.78	5.8	-1.02	0.000337	0.0069
chr12	30810000	30870000	12033	chr12	30822423	30822924	6.8	5.68	1.12	0.000341	0.00695
chr6	1570000	1630000	6164	chr6	1626878	1627379	4.92	3.23	1.68	0.000341	0.00695
chr2	160240000	160300000	2495	chr2	160241287	160241788	4.75	2.85	1.9	0.000342	0.00696
chr4	8240000	8270000	4363	chr4	8260880	8261381	6.27	5.2	1.07	0.000343	0.00697
chr11	7550000	7570000	10911	chr11	7559433	7559934	3.25	4.83	-1.58	0.000343	0.00698
chr2	113970000	114010000	2316	chr2	113978117	113978618	5	3.71	1.29	0.000343	0.00698
chr12	15570000	15610000	11944	chr12	15597383	15597884	4.91	3.69	1.22	0.000346	0.00701
chr17	10730000	10760000	14892	chr17	10733481	10733982	2.68	4.5	-1.82	0.000349	0.00706
chr8	26120000	26140000	8507	chr8	26133436	26133937	4.18	5.28	-1.1	0.00035	0.00708
chr18	13200000	13230000	15597	chr18	13218231	13218732	7.98	7.07	0.91	0.000352	0.0071
chr5	115620000	115650000	5712	chr5	115622728	115623229	3.85	5.13	-1.28	0.000353	0.00712
chr6	105380000	105430000	6841	chr6	105389430	105389931	4.8	3.32	1.48	0.000356	0.00717
chr22	46560000	46590000	17252	chr22	46582208	46582709	5.62	4.14	1.48	0.000362	0.00725
chr5	170610000	170640000	6076	chr5	170617047	170617548	4.66	2.93	1.73	0.000362	0.00726
chr16	16100000	16130000	14382	chr16	16101097	16101598	4.71	3.18	1.54	0.000362	0.00726
chr1	24590000	24640000	221	chr1	24591500	24592001	3.82	5.07	-1.25	0.000363	0.00727
chr13	28620000	28650000	12788	chr13	28641304	28641805	4.95	3.48	1.48	0.000367	0.00733
chr22	45960000	46020000	17246	chr22	45976540	45977041	6.9	5.73	1.17	0.000372	0.0074
chr7	2860000	2900000	7330	chr7	2863452	2863953	6.79	5.88	0.91	0.000373	0.00742
chr14	99210000	99290000	13694	chr14	99270380	99271332	6.27	5.04	1.23	0.000374	0.00742
chr10	118560000	118590000	10741	chr10	118581243	118581744	4.82	6.07	-1.25	0.000374	0.00742
chr10	17410000	17440000	10050	chr10	17419144	17419645	3.21	4.89	-1.69	0.000374	0.00743
