chr_x	start_x	end_x	chr_y	start_y	end_y	anchor_ID_x	anchor_ID_y	loopID	Benign	Malignant	Consistent_in_benign_or_tumour	loop_type
chr1	212010000	212080000	chr1	212280000	212320000	1355	1356	1355_1356	4	5	TRUE	shared
chr1	212010000	212080000	chr1	212440000	212490000	1355	1359	1355_1359	5	9	TRUE	shared
chr14	80960000	81010000	chr14	81150000	81190000	13587	13588	13587_13588	4	6	TRUE	shared
chr14	81250000	81280000	chr14	81440000	81470000	13589	13590	13589_13590	5	12	TRUE	shared
chr1	15780000	15820000	chr1	15970000	16060000	135	136	135_136	6	12	TRUE	shared
chr14	89020000	89060000	chr14	89410000	89440000	13608	13614	13608_13614	4	6	TRUE	shared
chr14	90280000	90310000	chr14	90680000	90710000	13622	13624	13622_13624	0	4	TRUE	shared
chr1	212660000	212680000	chr1	212770000	212820000	1362	1364	1362_1364	0	3	TRUE	shared
chr14	92110000	92160000	chr14	92670000	92710000	13636	13640	13636_13640	1	3	TRUE	shared
chr14	92670000	92710000	chr14	92780000	92790000	13640	13641	13640_13641	2	4	TRUE	shared
chr14	92940000	92970000	chr14	93120000	93160000	13646	13647	13646_13647	5	12	TRUE	shared
chr14	93220000	93240000	chr14	93530000	93560000	13648	13650	13648_13650	1	3	TRUE	shared
chr1	212770000	212820000	chr1	212980000	213010000	1364	1365	1364_1365	4	7	TRUE	shared
chr14	93640000	93670000	chr14	93890000	93920000	13652	13653	13652_13653	5	11	TRUE	shared
chr14	94020000	94040000	chr14	94130000	94170000	13654	13655	13654_13655	3	7	TRUE	shared
chr14	94680000	94710000	chr14	95060000	95110000	13660	13663	13660_13663	2	9	TRUE	shared
chr14	94680000	94710000	chr14	95400000	95450000	13660	13667	13660_13667	4	10	TRUE	shared
chr14	95060000	95110000	chr14	95400000	95450000	13663	13667	13663_13667	2	3	TRUE	shared
chr14	95180000	95210000	chr14	95400000	95450000	13665	13667	13665_13667	1	3	TRUE	shared
chr14	95400000	95450000	chr14	95510000	95530000	13667	13668	13667_13668	1	4	TRUE	shared
chr14	95550000	95590000	chr14	95970000	96010000	13669	13672	13669_13672	5	10	TRUE	shared
chr14	95550000	95590000	chr14	96250000	96280000	13669	13676	13669_13676	1	5	TRUE	shared
chr14	95970000	96010000	chr14	96250000	96280000	13672	13676	13672_13676	2	5	TRUE	shared
chr14	96090000	96120000	chr14	96250000	96280000	13674	13676	13674_13676	5	12	TRUE	shared
chr14	96290000	96310000	chr14	96420000	96430000	13677	13678	13677_13678	4	8	TRUE	shared
chr14	96570000	96600000	chr14	96730000	96750000	13680	13681	13680_13681	2	7	TRUE	shared
chr14	98120000	98160000	chr14	99210000	99290000	13686	13694	13686_13694	4	12	TRUE	shared
chr14	99500000	99530000	chr14	99610000	99640000	13696	13697	13696_13697	5	12	TRUE	shared
chr14	99710000	99740000	chr14	99880000	99900000	13699	13700	13699_13700	4	11	TRUE	shared
chr14	99970000	100000000	chr14	100170000	100200000	13702	13704	13702_13704	3	9	TRUE	shared
chr14	100260000	100280000	chr14	100370000	100450000	13705	13706	13705_13706	1	3	TRUE	shared
chr14	100370000	100450000	chr14	100620000	100690000	13706	13708	13706_13708	5	13	TRUE	shared
chr14	100370000	100450000	chr14	101610000	101660000	13706	13717	13706_13717	2	7	TRUE	shared
chr14	100620000	100690000	chr14	101610000	101660000	13708	13717	13708_13717	4	9	TRUE	shared
chr14	100820000	100880000	chr14	101230000	101250000	13712	13714	13712_13714	0	3	TRUE	shared
chr14	100820000	100880000	chr14	101610000	101660000	13712	13717	13712_13717	3	8	TRUE	shared
chr14	101770000	101800000	chr14	101930000	101970000	13719	13721	13719_13721	2	6	TRUE	shared
chr14	102050000	102070000	chr14	102300000	102320000	13722	13725	13722_13725	0	3	TRUE	shared
chr14	103070000	103110000	chr14	103280000	103320000	13732	13733	13732_13733	4	12	TRUE	shared
chr14	103790000	103810000	chr14	103900000	103920000	13737	13738	13737_13738	3	4	TRUE	shared
chr14	104110000	104160000	chr14	104540000	104590000	13740	13743	13740_13743	4	6	TRUE	shared
chr14	104110000	104160000	chr14	104620000	104660000	13740	13744	13740_13744	1	5	TRUE	shared
chr15	23630000	23660000	chr15	23850000	23880000	13750	13751	13750_13751	2	9	TRUE	shared
chr15	25490000	25530000	chr15	25920000	25960000	13752	13754	13752_13754	2	7	TRUE	shared
chr15	25700000	25730000	chr15	25920000	25960000	13753	13754	13753_13754	2	4	TRUE	shared
chr15	25920000	25960000	chr15	26820000	26870000	13754	13760	13754_13760	0	5	TRUE	shared
chr1	214210000	214230000	chr1	214320000	214370000	1375	1378	1375_1378	0	3	TRUE	shared
chr1	214210000	214230000	chr1	214580000	214620000	1375	1380	1375_1380	1	4	TRUE	shared
chr15	30880000	30920000	chr15	31120000	31140000	13775	13777	13775_13777	2	6	TRUE	shared
chr15	30880000	30920000	chr15	31470000	31500000	13775	13780	13775_13780	0	5	TRUE	shared
chr15	31190000	31210000	chr15	31470000	31500000	13778	13780	13778_13780	5	9	TRUE	shared
chr15	32650000	32680000	chr15	32930000	32960000	13781	13783	13781_13783	0	4	TRUE	shared
chr15	32650000	32680000	chr15	32970000	33010000	13781	13784	13781_13784	4	7	TRUE	shared
chr15	33220000	33240000	chr15	33680000	33720000	13787	13789	13787_13789	1	4	TRUE	shared
chr15	33250000	33310000	chr15	33680000	33720000	13788	13789	13788_13789	4	11	TRUE	shared
chr1	214320000	214370000	chr1	214580000	214620000	1378	1380	1378_1380	5	6	TRUE	shared
chr15	33730000	33760000	chr15	33950000	34000000	13790	13791	13790_13791	2	8	TRUE	shared
chr1	16070000	16090000	chr1	16180000	16200000	137	138	137_138	3	6	TRUE	shared
chr15	36490000	36510000	chr15	37090000	37140000	13806	13810	13806_13810	2	4	TRUE	shared
chr15	36870000	36900000	chr15	37090000	37140000	13809	13810	13809_13810	5	10	TRUE	shared
chr15	37980000	38020000	chr15	38350000	38420000	13813	13814	13813_13814	5	10	TRUE	shared
chr15	38430000	38470000	chr15	38670000	38690000	13815	13818	13815_13818	3	9	TRUE	shared
chr15	39150000	39190000	chr15	39570000	39600000	13821	13822	13821_13822	4	5	TRUE	shared
chr15	40900000	40930000	chr15	41020000	41040000	13831	13832	13831_13832	4	6	TRUE	shared
chr15	40900000	40930000	chr15	41170000	41200000	13831	13833	13831_13833	2	5	TRUE	shared
chr15	42700000	42730000	chr15	42920000	42950000	13839	13840	13839_13840	5	7	TRUE	shared
chr15	45290000	45310000	chr15	45390000	45410000	13850	13851	13850_13851	3	5	TRUE	shared
chr15	45430000	45470000	chr15	45600000	45620000	13852	13853	13852_13853	4	8	TRUE	shared
chr15	48350000	48380000	chr15	48780000	48820000	13864	13868	13864_13868	3	9	TRUE	shared
chr15	50660000	50700000	chr15	50870000	50900000	13880	13881	13880_13881	4	11	TRUE	shared
chr15	52250000	52280000	chr15	52720000	52740000	13890	13893	13890_13893	4	5	TRUE	shared
chr15	55200000	55220000	chr15	55290000	55300000	13901	13902	13901_13902	1	5	TRUE	shared
chr15	56240000	56270000	chr15	56420000	56440000	13906	13907	13906_13907	1	6	TRUE	shared
chr15	56480000	56510000	chr15	57280000	57310000	13908	13917	13908_13917	2	7	TRUE	shared
chr15	56810000	56840000	chr15	57280000	57310000	13909	13917	13909_13917	0	3	TRUE	shared
chr15	56900000	56930000	chr15	57120000	57160000	13911	13913	13911_13913	2	3	TRUE	shared
chr15	57340000	57370000	chr15	57510000	57540000	13919	13920	13919_13920	5	12	TRUE	shared
chr15	57860000	57880000	chr15	58050000	58080000	13923	13924	13923_13924	3	8	TRUE	shared
chr15	58200000	58270000	chr15	58750000	58770000	13926	13931	13926_13931	3	6	TRUE	shared
chr15	58200000	58270000	chr15	58840000	58870000	13926	13934	13926_13934	2	4	TRUE	shared
chr15	58200000	58270000	chr15	58900000	58930000	13926	13935	13926_13935	3	4	TRUE	shared
chr15	58200000	58270000	chr15	58940000	58990000	13926	13936	13926_13936	1	3	TRUE	shared
chr15	58200000	58270000	chr15	59480000	59540000	13926	13941	13926_13941	1	4	TRUE	shared
chr15	58940000	58990000	chr15	59480000	59540000	13936	13941	13936_13941	5	11	TRUE	shared
chr15	59120000	59180000	chr15	59480000	59540000	13938	13941	13938_13941	5	5	TRUE	shared
chr15	60340000	60370000	chr15	60500000	60530000	13947	13950	13947_13950	0	3	TRUE	shared
chr1	218300000	218360000	chr1	219040000	219080000	1394	1399	1394_1399	3	4	TRUE	shared
chr1	218300000	218360000	chr1	219380000	219420000	1394	1404	1394_1404	2	8	TRUE	shared
chr1	218300000	218360000	chr1	219650000	219670000	1394	1407	1394_1407	4	7	TRUE	shared
chr1	218300000	218360000	chr1	219790000	219810000	1394	1408	1394_1408	1	6	TRUE	shared
chr15	60580000	60610000	chr15	60900000	60930000	13952	13953	13952_13953	3	9	TRUE	shared
chr15	60580000	60610000	chr15	61030000	61070000	13952	13954	13952_13954	3	8	TRUE	shared
chr15	61150000	61200000	chr15	61820000	61880000	13956	13961	13956_13961	3	8	TRUE	shared
chr15	61220000	61240000	chr15	61820000	61880000	13957	13961	13957_13961	0	3	TRUE	shared
chr15	62360000	62400000	chr15	62720000	62750000	13965	13968	13965_13968	2	3	TRUE	shared
chr15	62770000	62790000	chr15	63080000	63100000	13969	13971	13969_13971	5	6	TRUE	shared
chr15	63280000	63300000	chr15	63390000	63410000	13972	13973	13972_13973	3	4	TRUE	shared
chr15	63740000	63760000	chr15	63880000	63910000	13980	13981	13980_13981	2	3	TRUE	shared
chr15	64170000	64230000	chr15	64350000	64380000	13985	13987	13985_13987	3	4	TRUE	shared
chr15	64170000	64230000	chr15	64650000	64690000	13985	13989	13985_13989	2	5	TRUE	shared
chr15	64410000	64450000	chr15	64650000	64690000	13988	13989	13988_13989	5	10	TRUE	shared
chr15	64720000	64740000	chr15	64800000	64820000	13990	13991	13990_13991	0	3	TRUE	shared
chr1	2810000	2840000	chr1	3400000	3430000	13	21	13_21	4	7	TRUE	shared
chr15	66370000	66390000	chr15	66490000	66500000	14003	14004	14003_14004	0	3	TRUE	shared
chr15	66590000	66620000	chr15	66840000	66860000	14006	14009	14006_14009	5	10	TRUE	shared
chr15	66920000	66970000	chr15	67300000	67320000	14011	14014	14011_14014	5	10	TRUE	shared
chr15	66920000	66970000	chr15	67420000	67490000	14011	14015	14011_14015	5	7	TRUE	shared
chr15	67850000	67880000	chr15	68040000	68060000	14020	14021	14020_14021	1	4	TRUE	shared
chr15	68540000	68570000	chr15	68850000	68900000	14028	14032	14028_14032	4	8	TRUE	shared
chr15	68720000	68750000	chr15	68850000	68900000	14031	14032	14031_14032	4	7	TRUE	shared
chr15	69050000	69070000	chr15	69250000	69280000	14034	14035	14034_14035	4	6	TRUE	shared
chr15	69050000	69070000	chr15	69390000	69410000	14034	14036	14034_14036	5	9	TRUE	shared
chr15	69460000	69500000	chr15	70060000	70120000	14037	14043	14037_14043	3	7	TRUE	shared
chr15	69460000	69500000	chr15	70320000	70370000	14037	14045	14037_14045	1	3	TRUE	shared
chr15	69460000	69500000	chr15	70440000	70500000	14037	14046	14037_14046	4	11	TRUE	shared
chr15	69560000	69600000	chr15	70060000	70120000	14039	14043	14039_14043	3	7	TRUE	shared
chr15	69560000	69600000	chr15	70440000	70500000	14039	14046	14039_14046	3	7	TRUE	shared
chr15	70060000	70120000	chr15	70440000	70500000	14043	14046	14043_14046	5	7	TRUE	shared
chr15	71750000	71780000	chr15	72150000	72170000	14057	14060	14057_14060	3	3	TRUE	shared
chr15	72750000	72810000	chr15	73060000	73100000	14065	14066	14065_14066	5	11	TRUE	shared
chr15	72750000	72810000	chr15	73240000	73280000	14065	14067	14065_14067	1	4	TRUE	shared
chr15	73550000	73570000	chr15	73690000	73720000	14070	14071	14070_14071	4	9	TRUE	shared
chr15	73960000	73980000	chr15	74300000	74330000	14073	14075	14073_14075	3	5	TRUE	shared
chr15	74610000	74650000	chr15	74750000	74790000	14077	14079	14077_14079	5	10	TRUE	shared
chr15	74610000	74650000	chr15	74930000	74960000	14077	14081	14077_14081	3	6	TRUE	shared
chr15	75010000	75050000	chr15	75200000	75220000	14083	14085	14083_14085	5	12	TRUE	shared
chr15	75360000	75390000	chr15	75630000	75680000	14087	14088	14087_14088	3	5	TRUE	shared
chr15	76170000	76210000	chr15	76830000	76880000	14090	14094	14090_14094	4	5	TRUE	shared
chr15	77630000	77660000	chr15	77810000	77830000	14101	14102	14101_14102	4	8	TRUE	shared
chr15	79360000	79390000	chr15	79830000	79870000	14115	14119	14115_14119	5	6	TRUE	shared
chr15	80440000	80480000	chr15	80770000	80800000	14125	14128	14125_14128	4	5	TRUE	shared
chr15	80440000	80480000	chr15	80940000	80990000	14125	14129	14125_14129	5	9	TRUE	shared
chr15	80540000	80590000	chr15	80770000	80800000	14126	14128	14126_14128	5	8	TRUE	shared
chr15	80540000	80590000	chr15	80940000	80990000	14126	14129	14126_14129	5	7	TRUE	shared
chr15	80770000	80800000	chr15	80940000	80990000	14128	14129	14128_14129	5	7	TRUE	shared
chr15	81100000	81160000	chr15	81250000	81290000	14130	14131	14130_14131	4	9	TRUE	shared
chr15	81250000	81290000	chr15	81390000	81420000	14131	14132	14131_14132	5	8	TRUE	shared
chr15	82830000	82850000	chr15	82980000	83020000	14141	14142	14141_14142	3	11	TRUE	shared
chr15	85700000	85740000	chr15	85820000	85840000	14158	14159	14158_14159	4	6	TRUE	shared
chr15	86900000	86930000	chr15	88240000	88290000	14166	14170	14166_14170	4	3	TRUE	shared
chr15	87660000	87680000	chr15	88240000	88290000	14169	14170	14169_14170	4	3	TRUE	shared
chr15	88880000	88910000	chr15	89160000	89210000	14177	14181	14177_14181	5	5	TRUE	shared
chr15	89030000	89070000	chr15	89160000	89210000	14180	14181	14180_14181	5	9	TRUE	shared
chr15	89740000	89760000	chr15	89870000	89910000	14186	14187	14186_14187	5	9	TRUE	shared
chr15	89740000	89760000	chr15	90070000	90090000	14186	14188	14186_14188	1	3	TRUE	shared
chr15	89870000	89910000	chr15	90070000	90090000	14187	14188	14187_14188	5	9	TRUE	shared
chr1	220860000	220910000	chr1	221190000	221230000	1418	1419	1418_1419	0	6	TRUE	shared
chr1	220860000	220910000	chr1	221400000	221450000	1418	1421	1418_1421	4	7	TRUE	shared
chr15	90260000	90300000	chr15	90880000	90920000	14191	14198	14191_14198	3	5	TRUE	shared
chr15	90610000	90670000	chr15	90880000	90920000	14196	14198	14196_14198	5	12	TRUE	shared
chr15	91290000	91330000	chr15	92060000	92110000	14203	14207	14203_14207	5	12	TRUE	shared
chr15	91820000	91860000	chr15	92060000	92110000	14205	14207	14205_14207	5	3	TRUE	shared
chr15	92510000	92530000	chr15	92680000	92720000	14210	14211	14210_14211	4	12	TRUE	shared
chr15	92790000	92820000	chr15	92890000	92950000	14212	14213	14212_14213	5	11	TRUE	shared
chr15	93020000	93100000	chr15	93960000	94000000	14216	14222	14216_14222	6	11	TRUE	shared
chr15	93020000	93100000	chr15	94110000	94130000	14216	14224	14216_14224	6	14	TRUE	shared
chr15	94150000	94180000	chr15	94310000	94330000	14225	14227	14225_14227	5	12	TRUE	shared
chr15	95220000	95280000	chr15	96320000	96390000	14230	14240	14230_14240	6	11	TRUE	shared
chr15	95220000	95280000	chr15	96870000	96910000	14230	14241	14230_14241	1	3	TRUE	shared
chr15	96320000	96390000	chr15	96870000	96910000	14240	14241	14240_14241	2	7	TRUE	shared
chr15	97890000	97920000	chr15	98070000	98100000	14244	14245	14244_14245	4	8	TRUE	shared
chr15	98300000	98320000	chr15	98410000	98470000	14248	14249	14248_14249	4	7	TRUE	shared
chr15	98410000	98470000	chr15	99060000	99110000	14249	14254	14249_14254	5	8	TRUE	shared
chr15	98510000	98540000	chr15	99060000	99110000	14250	14254	14250_14254	5	12	TRUE	shared
chr15	98630000	98660000	chr15	98850000	98890000	14251	14253	14251_14253	4	7	TRUE	shared
chr15	99060000	99110000	chr15	99200000	99230000	14254	14255	14254_14255	2	10	TRUE	shared
chr15	99270000	99290000	chr15	99690000	99740000	14256	14258	14256_14258	5	11	TRUE	shared
chr15	99400000	99430000	chr15	99690000	99740000	14257	14258	14257_14258	3	5	TRUE	shared
chr15	100620000	100650000	chr15	100860000	100910000	14264	14265	14264_14265	5	7	TRUE	shared
chr15	100620000	100650000	chr15	101000000	101030000	14264	14267	14264_14267	5	8	TRUE	shared
chr15	101000000	101030000	chr15	101250000	101280000	14267	14269	14267_14269	3	9	TRUE	shared
chr15	101080000	101100000	chr15	101250000	101280000	14268	14269	14268_14269	5	8	TRUE	shared
chr15	101290000	101310000	chr15	101610000	101650000	14270	14273	14270_14273	5	12	TRUE	shared
chr16	800000	840000	chr16	1040000	1090000	14279	14280	14279_14280	3	10	TRUE	shared
chr16	3680000	3720000	chr16	3870000	3890000	14290	14292	14290_14292	3	6	TRUE	shared
chr16	3960000	4000000	chr16	4250000	4270000	14293	14296	14293_14296	4	3	TRUE	shared
chr16	3960000	4000000	chr16	4310000	4350000	14293	14298	14293_14298	1	4	TRUE	shared
chr16	8560000	8580000	chr16	8860000	8900000	14323	14327	14323_14327	0	4	TRUE	shared
chr16	8640000	8680000	chr16	8780000	8800000	14324	14325	14324_14325	4	8	TRUE	shared
chr16	8640000	8680000	chr16	8860000	8900000	14324	14327	14324_14327	3	11	TRUE	shared
chr16	9140000	9190000	chr16	10490000	10540000	14331	14343	14331_14343	0	4	TRUE	shared
chr16	10240000	10270000	chr16	10490000	10540000	14342	14343	14342_14343	3	4	TRUE	shared
chr16	10490000	10540000	chr16	10900000	10930000	14343	14345	14343_14345	2	5	TRUE	shared
chr16	10750000	10770000	chr16	10900000	10930000	14344	14345	14344_14345	5	9	TRUE	shared
chr16	10950000	10990000	chr16	11250000	11270000	14346	14350	14346_14350	5	12	TRUE	shared
chr16	10950000	10990000	chr16	11350000	11410000	14346	14352	14346_14352	5	10	TRUE	shared
chr16	10950000	10990000	chr16	11630000	11680000	14346	14355	14346_14355	3	4	TRUE	shared
chr16	10950000	10990000	chr16	11800000	11840000	14346	14357	14346_14357	3	4	TRUE	shared
chr1	222780000	222810000	chr1	223070000	223100000	1434	1437	1434_1437	5	11	TRUE	shared
chr16	11350000	11410000	chr16	11630000	11680000	14352	14355	14352_14355	3	12	TRUE	shared
chr16	11350000	11410000	chr16	11690000	11740000	14352	14356	14352_14356	5	7	TRUE	shared
chr16	11350000	11410000	chr16	11800000	11840000	14352	14357	14352_14357	4	8	TRUE	shared
chr16	13910000	13960000	chr16	14190000	14220000	14367	14369	14367_14369	1	3	TRUE	shared
chr16	13910000	13960000	chr16	14230000	14310000	14367	14370	14367_14370	6	11	TRUE	shared
chr16	13910000	13960000	chr16	14510000	14560000	14367	14371	14367_14371	3	4	TRUE	shared
chr16	14230000	14310000	chr16	14510000	14560000	14370	14371	14370_14371	3	9	TRUE	shared
chr16	15860000	15880000	chr16	16100000	16130000	14380	14382	14380_14382	2	10	TRUE	shared
chr16	19080000	19100000	chr16	19350000	19400000	14389	14392	14389_14392	1	6	TRUE	shared
chr1	223130000	223180000	chr1	223520000	223540000	1438	1441	1438_1441	0	3	TRUE	shared
chr1	223130000	223180000	chr1	223640000	223700000	1438	1442	1438_1442	4	9	TRUE	shared
chr16	19160000	19210000	chr16	19350000	19400000	14390	14392	14390_14392	4	6	TRUE	shared
chr16	19580000	19610000	chr16	20280000	20310000	14395	14404	14395_14404	0	3	TRUE	shared
chr16	19580000	19610000	chr16	20360000	20400000	14395	14406	14395_14406	1	3	TRUE	shared
chr16	19700000	19710000	chr16	19860000	19890000	14399	14401	14399_14401	2	3	TRUE	shared
chr16	19900000	19930000	chr16	20280000	20310000	14402	14404	14402_14404	4	10	TRUE	shared
chr16	19900000	19930000	chr16	20360000	20400000	14402	14406	14402_14406	5	12	TRUE	shared
chr16	20830000	20860000	chr16	21070000	21090000	14407	14408	14407_14408	4	11	TRUE	shared
chr16	21140000	21180000	chr16	21290000	21320000	14410	14411	14410_14411	4	11	TRUE	shared
chr16	21140000	21180000	chr16	21540000	21580000	14410	14412	14410_14412	2	3	TRUE	shared
chr16	21970000	22020000	chr16	22080000	22100000	14415	14416	14415_14416	1	5	TRUE	shared
chr16	21970000	22020000	chr16	22150000	22210000	14415	14418	14415_14418	4	9	TRUE	shared
chr16	21970000	22020000	chr16	22280000	22350000	14415	14419	14415_14419	2	5	TRUE	shared
chr16	22150000	22210000	chr16	22280000	22350000	14418	14419	14418_14419	5	8	TRUE	shared
chr16	23170000	23200000	chr16	23310000	23320000	14428	14429	14428_14429	0	3	TRUE	shared
chr16	23170000	23200000	chr16	23330000	23380000	14428	14430	14428_14430	2	7	TRUE	shared
chr16	23170000	23200000	chr16	23420000	23440000	14428	14431	14428_14431	5	12	TRUE	shared
chr16	23700000	23750000	chr16	24470000	24580000	14434	14444	14434_14444	2	3	TRUE	shared
chr16	23780000	23820000	chr16	24470000	24580000	14436	14444	14436_14444	1	3	TRUE	shared
chr16	24010000	24060000	chr16	24470000	24580000	14437	14444	14437_14444	4	8	TRUE	shared
chr16	24470000	24580000	chr16	24770000	24840000	14444	14445	14444_14445	5	10	TRUE	shared
chr1	224110000	224140000	chr1	224310000	224350000	1444	1445	1444_1445	4	10	TRUE	shared
chr16	25260000	25300000	chr16	25670000	25710000	14453	14459	14453_14459	0	5	TRUE	shared
chr16	25260000	25300000	chr16	27020000	27130000	14453	14478	14453_14478	0	7	TRUE	shared
chr16	25830000	25880000	chr16	27020000	27130000	14463	14478	14463_14478	5	12	TRUE	shared
chr16	27150000	27210000	chr16	27350000	27380000	14479	14482	14479_14482	5	10	TRUE	shared
chr16	27150000	27210000	chr16	27440000	27460000	14479	14483	14479_14483	2	5	TRUE	shared
chr1	224500000	224530000	chr1	224850000	224900000	1447	1451	1447_1451	3	6	TRUE	shared
chr16	27220000	27240000	chr16	27350000	27380000	14480	14482	14480_14482	2	6	TRUE	shared
chr16	27590000	27650000	chr16	28050000	28100000	14486	14492	14486_14492	3	7	TRUE	shared
chr16	27680000	27710000	chr16	28050000	28100000	14488	14492	14488_14492	1	3	TRUE	shared
chr16	29680000	29710000	chr16	30000000	30040000	14499	14503	14499_14503	4	11	TRUE	shared
chr1	17100000	17140000	chr1	17230000	17250000	144	145	144_145	4	9	TRUE	shared
chr16	29800000	29870000	chr16	30000000	30040000	14501	14503	14501_14503	4	11	TRUE	shared
chr16	30070000	30110000	chr16	30380000	30440000	14504	14505	14504_14505	3	6	TRUE	shared
chr16	30070000	30110000	chr16	30610000	30650000	14504	14507	14504_14507	1	3	TRUE	shared
chr16	30380000	30440000	chr16	30610000	30650000	14505	14507	14505_14507	3	9	TRUE	shared
chr16	30970000	31010000	chr16	31130000	31220000	14512	14514	14512_14514	3	8	TRUE	shared
chr16	30970000	31010000	chr16	31290000	31310000	14512	14516	14512_14516	0	3	TRUE	shared
chr16	30970000	31010000	chr16	31420000	31510000	14512	14519	14512_14519	5	12	TRUE	shared
chr16	30970000	31010000	chr16	31850000	31880000	14512	14524	14512_14524	1	4	TRUE	shared
chr16	31130000	31220000	chr16	31420000	31510000	14514	14519	14514_14519	3	10	TRUE	shared
chr16	31420000	31510000	chr16	31690000	31720000	14519	14522	14519_14522	3	4	TRUE	shared
chr16	46940000	46950000	chr16	48130000	48180000	14529	14536	14529_14536	2	5	TRUE	shared
chr16	47020000	47050000	chr16	48130000	48180000	14530	14536	14530_14536	4	9	TRUE	shared
chr16	48340000	48380000	chr16	48520000	48550000	14539	14540	14539_14540	2	6	TRUE	shared
chr16	48340000	48380000	chr16	48610000	48640000	14539	14541	14539_14541	5	8	TRUE	shared
chr1	225310000	225330000	chr1	225940000	225990000	1453	1463	1453_1463	2	4	TRUE	shared
chr16	50200000	50240000	chr16	50340000	50390000	14556	14558	14556_14558	0	3	TRUE	shared
chr16	50340000	50390000	chr16	50640000	50670000	14558	14559	14558_14559	4	3	TRUE	shared
chr1	225460000	225500000	chr1	225750000	225790000	1455	1458	1455_1458	2	9	TRUE	shared
chr1	225460000	225500000	chr1	225830000	225860000	1455	1460	1455_1460	4	9	TRUE	shared
chr1	225460000	225500000	chr1	225870000	225890000	1455	1461	1455_1461	0	3	TRUE	shared
chr1	225460000	225500000	chr1	225940000	225990000	1455	1463	1455_1463	5	12	TRUE	shared
chr16	52040000	52080000	chr16	53000000	53030000	14570	14574	14570_14574	2	4	TRUE	shared
chr16	53050000	53060000	chr16	53200000	53220000	14575	14577	14575_14577	2	4	TRUE	shared
chr16	53530000	53570000	chr16	54790000	54830000	14582	14595	14582_14595	0	3	TRUE	shared
chr16	53750000	53800000	chr16	54920000	54960000	14585	14597	14585_14597	4	4	TRUE	shared
chr16	54260000	54290000	chr16	54920000	54960000	14592	14597	14592_14597	3	7	TRUE	shared
chr16	55450000	55480000	chr16	55680000	55730000	14600	14602	14600_14602	5	12	TRUE	shared
chr16	55450000	55480000	chr16	55830000	55860000	14600	14603	14600_14603	4	4	TRUE	shared
chr16	55680000	55730000	chr16	55830000	55860000	14602	14603	14602_14603	5	6	TRUE	shared
chr16	57290000	57310000	chr16	57410000	57430000	14611	14612	14611_14612	4	9	TRUE	shared
chr16	57290000	57310000	chr16	57510000	57530000	14611	14613	14611_14613	1	4	TRUE	shared
chr16	57870000	57910000	chr16	57990000	58030000	14619	14620	14619_14620	4	4	TRUE	shared
chr16	58330000	58350000	chr16	58480000	58500000	14621	14622	14621_14622	5	11	TRUE	shared
chr16	66960000	66990000	chr16	67150000	67180000	14640	14642	14640_14642	5	10	TRUE	shared
chr16	67510000	67550000	chr16	67640000	67660000	14646	14647	14646_14647	2	6	TRUE	shared
chr16	68370000	68390000	chr16	68500000	68540000	14654	14655	14654_14655	1	3	TRUE	shared
chr16	68850000	68910000	chr16	69100000	69130000	14659	14660	14659_14660	5	6	TRUE	shared
chr16	69140000	69170000	chr16	69280000	69300000	14661	14662	14661_14662	5	10	TRUE	shared
chr16	69370000	69410000	chr16	69730000	69760000	14663	14665	14663_14665	2	4	TRUE	shared
chr16	72800000	72850000	chr16	73040000	73070000	14679	14681	14679_14681	4	6	TRUE	shared
chr16	72800000	72850000	chr16	73170000	73200000	14679	14682	14679_14682	5	4	TRUE	shared
chr16	72920000	72970000	chr16	73040000	73070000	14680	14681	14680_14681	0	3	TRUE	shared
chr16	74700000	74720000	chr16	74850000	74870000	14689	14690	14689_14690	2	6	TRUE	shared
chr16	74990000	75010000	chr16	75100000	75130000	14691	14692	14691_14692	5	10	TRUE	shared
chr16	75200000	75230000	chr16	75380000	75410000	14693	14694	14693_14694	5	11	TRUE	shared
chr1	226620000	226650000	chr1	226730000	226750000	1469	1470	1469_1470	1	5	TRUE	shared
chr1	226620000	226650000	chr1	226820000	226840000	1469	1471	1469_1471	5	12	TRUE	shared
chr16	78110000	78140000	chr16	78220000	78250000	14713	14714	14713_14714	2	5	TRUE	shared
chr16	79580000	79640000	chr16	80070000	80090000	14720	14725	14720_14725	1	3	TRUE	shared
chr16	80530000	80550000	chr16	80800000	80820000	14728	14729	14728_14729	0	4	TRUE	shared
chr1	226890000	226930000	chr1	227420000	227450000	1472	1475	1472_1475	5	10	TRUE	shared
chr16	81010000	81030000	chr16	81710000	81750000	14730	14738	14730_14738	3	3	TRUE	shared
chr16	81230000	81250000	chr16	81710000	81750000	14734	14738	14734_14738	0	3	TRUE	shared
chr16	81370000	81420000	chr16	81710000	81750000	14735	14738	14735_14738	5	12	TRUE	shared
chr1	227110000	227150000	chr1	227420000	227450000	1473	1475	1473_1475	2	3	TRUE	shared
chr16	84170000	84200000	chr16	84460000	84500000	14749	14751	14749_14751	1	3	TRUE	shared
chr16	84260000	84300000	chr16	84460000	84500000	14750	14751	14750_14751	5	10	TRUE	shared
chr16	85810000	85840000	chr16	86000000	86030000	14762	14763	14762_14763	5	12	TRUE	shared
