chr	start	end	width	strand	Conc	Conc_T2E	Conc_NonT2E	Fold	p.value	FDR	peak_ID
chr7	44257362	44257863	501	*	5.51	5.82	4.98	0.84	0.00944	0.0609	16922
chr1	17619061	17619562	501	*	4.7	5.09	3.99	1.1	0.00945	0.061	16930
chr1	212483779	212484280	501	*	4.32	4.72	3.59	1.13	0.00946	0.061	16939
chr18	3670831	3671332	501	*	5.04	4.64	5.43	-0.8	0.00946	0.061	16943
chr8	140100075	140101043	968	*	5.26	5.58	4.71	0.87	0.00949	0.0611	16952
chr14	31927492	31927993	501	*	5.33	5.6	4.89	0.71	0.00949	0.0612	16955
chr12	124433247	124433748	501	*	5.24	5.59	4.63	0.96	0.00951	0.0612	16961
chr9	94799328	94799829	501	*	4.94	5.25	4.42	0.84	0.00951	0.0613	16965
chr7	150446222	150446723	501	*	5.01	5.35	4.45	0.9	0.00952	0.0613	16968
chr3	42568106	42568607	501	*	3.69	2.82	4.34	-1.52	0.00952	0.0613	16973
chr7	42237152	42237653	501	*	7.14	7.39	6.76	0.63	0.00952	0.0613	16975
chr17	77880495	77880996	501	*	4.86	5.19	4.29	0.89	0.00953	0.0613	16978
chr7	23469301	23469802	501	*	4.79	5.19	4.08	1.11	0.00953	0.0613	16979
chr2	241866553	241867511	958	*	5.32	5.67	4.71	0.96	0.00955	0.0614	17000
chr11	7534452	7534953	501	*	4.27	3.75	4.73	-0.98	0.00956	0.0614	17010
chr14	24959895	24960396	501	*	4.66	4.15	5.11	-0.96	0.00957	0.0615	17015
chr5	134415865	134416366	501	*	4.25	2.6	5.14	-2.54	0.00959	0.0615	17023
chr11	128627752	128628253	501	*	5.28	5.61	4.73	0.88	0.00959	0.0615	17024
chr12	101570068	101570569	501	*	4.75	4.32	5.15	-0.83	0.0096	0.0616	17035
chr3	111980934	111981435	501	*	5.16	4.76	5.55	-0.79	0.0096	0.0616	17041
chr1	21258545	21259046	501	*	4.84	5.22	4.16	1.06	0.00962	0.0616	17047
chr12	32454455	32454956	501	*	4.45	3.81	4.99	-1.17	0.00962	0.0616	17048
chr9	95106942	95107443	501	*	5.22	5.58	4.6	0.98	0.00962	0.0616	17054
chr13	95644144	95644645	501	*	5.87	6.19	5.34	0.85	0.00963	0.0617	17056
chr11	30347919	30348420	501	*	4.9	4.4	5.34	-0.94	0.00964	0.0617	17063
chr2	215833473	215833974	501	*	4.98	5.28	4.51	0.77	0.00965	0.0617	17071
chr22	30266276	30266777	501	*	5.66	6	5.08	0.92	0.00965	0.0617	17074
chr18	61893942	61894443	501	*	7.35	7.6	6.96	0.64	0.00966	0.0618	17080
chr2	54634979	54635480	501	*	5.86	6.15	5.4	0.74	0.00966	0.0618	17082
chr1	55218146	55218647	501	*	4.31	3.8	4.76	-0.97	0.00966	0.0618	17084
chr14	90739958	90740459	501	*	4.62	4.09	5.08	-0.99	0.00969	0.0619	17097
chr21	41283347	41283848	501	*	4.26	3.66	4.77	-1.1	0.0097	0.062	17103
chr2	64608681	64609182	501	*	6.38	6.63	5.98	0.65	0.00971	0.062	17108
chr17	66904804	66905904	1100	*	5.97	6.25	5.51	0.74	0.00971	0.062	17110
chr4	8260144	8260645	501	*	5.21	5.53	4.68	0.84	0.00971	0.062	17114
chr2	171140142	171140643	501	*	4.89	4.49	5.28	-0.8	0.00972	0.062	17116
chr7	116525608	116526109	501	*	6.96	7.25	6.5	0.75	0.00972	0.062	17118
chr1	153490667	153491642	975	*	5.76	6.03	5.33	0.7	0.00972	0.062	17125
chr21	45120367	45120868	501	*	4.94	4.54	5.33	-0.79	0.00973	0.062	17135
chr15	70328855	70329356	501	*	5.17	5.47	4.67	0.81	0.00974	0.0621	17138
chr15	88908894	88909395	501	*	4.65	5	4.06	0.94	0.00975	0.0621	17152
chr12	124533006	124533507	501	*	5	5.34	4.42	0.92	0.00977	0.0622	17161
chr20	11216916	11217417	501	*	5.13	5.42	4.65	0.77	0.00977	0.0622	17162
chr9	98989161	98989662	501	*	4.7	5.13	3.88	1.25	0.00978	0.0622	17168
chr10	63722145	63722646	501	*	6.4	6.65	6.03	0.62	0.00978	0.0622	17171
chr11	8344727	8345228	501	*	4.45	4.79	3.86	0.93	0.00979	0.0623	17176
chr8	17337987	17338488	501	*	5.77	5.36	6.17	-0.81	0.00979	0.0623	17177
chr12	15571100	15571601	501	*	4.87	5.24	4.2	1.04	0.00981	0.0623	17191
chr15	85706840	85707341	501	*	6.57	6.82	6.17	0.66	0.00982	0.0624	17203
chr17	76697924	76698425	501	*	5.39	5.69	4.9	0.8	0.00982	0.0624	17204
chr11	8671733	8672234	501	*	5.36	5.69	4.82	0.87	0.00983	0.0624	17206
chr7	155190868	155191369	501	*	4.63	5.07	3.78	1.29	0.00984	0.0624	17214
chr12	56122576	56123077	501	*	5.6	5.25	5.94	-0.69	0.00985	0.0625	17219
chr3	130901506	130902007	501	*	4.8	4.34	5.22	-0.88	0.00986	0.0625	17232
chr1	199691286	199691787	501	*	4.15	4.55	3.4	1.15	0.00988	0.0626	17239
chr12	56770078	56770579	501	*	5.04	4.61	5.44	-0.83	0.00988	0.0626	17242
chr14	24339428	24339929	501	*	5.89	6.24	5.3	0.94	0.00989	0.0626	17244
chr9	38380645	38381146	501	*	4.74	5.06	4.2	0.86	0.00991	0.0627	17264
chr5	177509181	177509682	501	*	4.48	4.88	3.73	1.15	0.00992	0.0627	17267
chr14	99269804	99270305	501	*	4.11	4.54	3.27	1.27	0.00992	0.0628	17268
chr11	115497269	115497770	501	*	4.21	3.58	4.73	-1.15	0.00996	0.0629	17294
chrX	133676811	133677312	501	*	4.13	4.61	3.15	1.46	0.01	0.0631	17322
chr6	41372608	41373109	501	*	5.95	6.27	5.43	0.83	0.01	0.0631	17332
chr13	42048421	42048922	501	*	7.48	7.74	7.07	0.67	0.01	0.0631	17335
chr7	11831810	11832311	501	*	6.48	6.74	6.07	0.67	0.01	0.0632	17342
chr22	42653555	42654056	501	*	4.47	4.8	3.89	0.91	0.01	0.0632	17354
chr19	3452400	3452901	501	*	5.05	5.39	4.47	0.92	0.01	0.0632	17363
chr19	10268532	10269033	501	*	4.64	4.97	4.08	0.89	0.01	0.0632	17364
chr18	13382417	13382918	501	*	7.03	7.25	6.72	0.53	0.0101	0.0632	17365
chr1	89609015	89609516	501	*	4.33	4.77	3.47	1.31	0.0101	0.0632	17366
chr2	239881821	239882322	501	*	5.87	6.14	5.44	0.69	0.0101	0.0632	17369
chr5	67248364	67248865	501	*	5.24	5.5	4.83	0.68	0.0101	0.0633	17375
chr3	130900967	130901468	501	*	4.55	4.05	5	-0.95	0.0101	0.0633	17378
chr1	61050487	61050988	501	*	7.82	8.01	7.52	0.49	0.0101	0.0634	17392
chr11	72807495	72807996	501	*	3.29	3.84	2.01	1.83	0.0101	0.0634	17394
chr10	60035357	60035858	501	*	4.02	4.43	3.25	1.18	0.0101	0.0635	17407
chr12	14373046	14373547	501	*	4.23	3.73	4.68	-0.95	0.0101	0.0635	17419
chr10	3948681	3949182	501	*	4.56	4.91	3.97	0.94	0.0101	0.0635	17424
chr12	122947131	122947632	501	*	5.63	5.98	5.01	0.97	0.0102	0.0636	17440
chr12	76790473	76790974	501	*	3.96	2.98	4.65	-1.67	0.0102	0.0637	17451
chr10	29727730	29728231	501	*	4.73	5.05	4.21	0.83	0.0102	0.0637	17458
chr11	11811327	11811828	501	*	4.16	4.54	3.48	1.06	0.0102	0.0637	17463
chr22	45549601	45550102	501	*	5.09	5.42	4.53	0.89	0.0103	0.064	17499
chr6	139545719	139546220	501	*	4.98	4.5	5.41	-0.91	0.0103	0.0641	17515
chr6	17584610	17585111	501	*	4.45	3.93	4.91	-0.98	0.0103	0.0642	17525
chr19	17079580	17080081	501	*	6.23	6.5	5.81	0.69	0.0103	0.0642	17532
chr3	104606687	104607188	501	*	5.03	4.52	5.48	-0.96	0.0103	0.0643	17542
chr7	47939666	47940167	501	*	4.29	4.71	3.48	1.23	0.0103	0.0644	17555
chr8	133499551	133500052	501	*	6.26	6.55	5.8	0.75	0.0103	0.0644	17559
chr12	105959849	105960350	501	*	4.46	4.8	3.87	0.94	0.0103	0.0644	17561
chr7	28030093	28030594	501	*	4.9	4.5	5.29	-0.79	0.0103	0.0644	17562
chr12	6620453	6620954	501	*	4.92	5.27	4.3	0.97	0.0104	0.0645	17584
chr20	17635301	17635802	501	*	4.52	4.95	3.68	1.27	0.0104	0.0646	17590
chr9	119955712	119956213	501	*	4.66	5.07	3.87	1.2	0.0104	0.0646	17597
chr16	30902251	30902752	501	*	7.3	7.56	6.9	0.67	0.0104	0.0647	17599
chr10	124540239	124540740	501	*	5.1	5.45	4.49	0.97	0.0104	0.0647	17603
chr14	37252539	37253040	501	*	4.4	3.09	5.2	-2.11	0.0104	0.0647	17604
chr16	27628279	27628780	501	*	5.95	5.59	6.31	-0.72	0.0105	0.0649	17624
chr10	118569432	118569933	501	*	5.26	4.9	5.6	-0.69	0.0105	0.0649	17629
chr4	155426812	155427313	501	*	5.15	5.48	4.6	0.88	0.0105	0.0649	17630
chr10	79069553	79070054	501	*	7.65	7.86	7.33	0.53	0.0105	0.065	17651
chr17	41678577	41679078	501	*	5.22	5.53	4.73	0.8	0.0105	0.0651	17657
chr1	24507224	24507725	501	*	5.6	5.22	5.96	-0.74	0.0105	0.0651	17668
chr15	70478496	70478997	501	*	4.99	5.29	4.51	0.78	0.0105	0.0651	17670
chr3	194086607	194087108	501	*	3.96	4.43	3.02	1.41	0.0105	0.0651	17671
chr12	132270870	132271371	501	*	4.37	4.75	3.69	1.06	0.0106	0.0652	17686
chr16	53209387	53209888	501	*	5.43	4.99	5.85	-0.86	0.0106	0.0652	17688
chr13	108959167	108959668	501	*	5.5	5.82	4.96	0.86	0.0106	0.0652	17690
chr3	70717201	70717702	501	*	4.65	4.16	5.1	-0.94	0.0106	0.0653	17694
chr7	105652558	105653059	501	*	5.06	4.62	5.46	-0.84	0.0106	0.0653	17696
chr17	10737443	10737944	501	*	5.75	5.4	6.1	-0.7	0.0106	0.0653	17697
chr1	19630160	19630661	501	*	4.36	3.82	4.83	-1.01	0.0106	0.0654	17715
chr12	3792654	3793155	501	*	4.8	4.22	5.31	-1.09	0.0106	0.0655	17728
chr8	141059095	141059596	501	*	5.81	6.1	5.35	0.75	0.0106	0.0655	17729
chr3	40969282	40969783	501	*	4.66	5.01	4.05	0.96	0.0106	0.0655	17731
chr9	72592350	72592851	501	*	6.05	6.3	5.67	0.64	0.0106	0.0655	17736
chr22	32535480	32535981	501	*	4.74	5.07	4.19	0.88	0.0107	0.0657	17755
chr12	117022577	117023078	501	*	4.67	4.25	5.06	-0.8	0.0107	0.0657	17760
chr10	76281294	76281795	501	*	4.82	4.32	5.27	-0.95	0.0107	0.0658	17767
chr12	12561630	12562131	501	*	8.19	8.44	7.81	0.62	0.0107	0.0658	17779
chr17	31537816	31538317	501	*	6.14	6.4	5.74	0.66	0.0107	0.0659	17798
chr20	57392194	57392695	501	*	6.35	6.65	5.88	0.76	0.0107	0.0659	17800
chr7	41058907	41059408	501	*	4.71	5.07	4.06	1.01	0.0107	0.0659	17803
chr22	31259807	31260308	501	*	5.68	5.29	6.05	-0.76	0.0108	0.0659	17812
chr9	136622379	136622880	501	*	4.66	5.06	3.93	1.14	0.0108	0.066	17828
chr15	63896535	63897036	501	*	4.58	4.92	4.02	0.9	0.0108	0.066	17832
chr7	51156685	51157186	501	*	4.92	4.5	5.31	-0.81	0.0108	0.0661	17842
chr9	93127037	93127538	501	*	5.96	6.25	5.5	0.75	0.0108	0.0661	17843
chr7	768829	769330	501	*	4.81	5.38	3.5	1.88	0.0108	0.0661	17860
chr18	36112882	36113383	501	*	5.07	4.66	5.46	-0.79	0.0108	0.0662	17867
chr5	93587982	93588483	501	*	4.92	5.29	4.27	1.02	0.0108	0.0662	17868
chr3	4724747	4725248	501	*	4.69	5.06	4.03	1.03	0.0108	0.0662	17872
chr9	98861733	98862234	501	*	5.55	5.82	5.11	0.71	0.0108	0.0663	17882
chr10	132479970	132480471	501	*	4.4	4.79	3.69	1.1	0.0108	0.0663	17884
chr3	126998328	126998829	501	*	4.82	5.17	4.23	0.94	0.0109	0.0664	17892
chr15	71442964	71443465	501	*	4.92	4.49	5.32	-0.83	0.0109	0.0664	17910
chr3	52019201	52019702	501	*	5.13	5.46	4.57	0.89	0.0109	0.0665	17913
chr2	42101331	42101832	501	*	7.38	7.59	7.05	0.55	0.0109	0.0665	17923
chr8	127759415	127759916	501	*	4.43	4.81	3.75	1.06	0.0109	0.0666	17933
chr9	132244671	132245172	501	*	5.45	5.81	4.84	0.97	0.0109	0.0666	17934
chr8	133507736	133508237	501	*	4.82	5.17	4.22	0.94	0.0109	0.0666	17936
chr1	61842723	61843224	501	*	4.27	3.76	4.73	-0.97	0.0109	0.0666	17941
chr5	14702553	14703054	501	*	4.6	4.09	5.05	-0.96	0.0109	0.0666	17945
chr17	33284319	33284820	501	*	5.67	6.03	5.04	0.99	0.0109	0.0666	17949
chr12	32459626	32460127	501	*	3.73	2.75	4.42	-1.67	0.011	0.0666	17950
chr13	37106291	37106792	501	*	4.12	4.5	3.44	1.07	0.011	0.0668	17958
chr8	30089337	30089838	501	*	3.96	4.39	3.16	1.23	0.011	0.0668	17960
chr2	171141512	171142013	501	*	4.32	3.73	4.83	-1.1	0.011	0.0668	17962
chr2	20674425	20674926	501	*	4.96	5.3	4.36	0.94	0.011	0.0668	17964
chr6	110931069	110931570	501	*	5.29	4.85	5.7	-0.86	0.011	0.0668	17967
chr1	12310504	12311005	501	*	5.35	5.64	4.87	0.77	0.011	0.0669	17974
chr15	75202108	75202609	501	*	7.6	7.84	7.23	0.62	0.011	0.0669	17976
chr20	10982676	10983177	501	*	4.91	5.23	4.38	0.85	0.011	0.0669	17986
chr12	124551004	124551505	501	*	6.05	6.35	5.55	0.8	0.011	0.0669	17999
chr8	22658626	22659127	501	*	5.92	6.19	5.49	0.71	0.011	0.0669	18001
chr6	89369244	89369745	501	*	4.47	4.03	4.87	-0.84	0.011	0.0669	18004
chr13	75690373	75690874	501	*	3.91	2.91	4.61	-1.71	0.0111	0.0671	18015
chr19	47729529	47730030	501	*	5.69	5.95	5.27	0.69	0.0111	0.0671	18016
chr4	78508609	78509110	501	*	5.04	4.6	5.45	-0.84	0.0111	0.0671	18018
chr1	110634683	110635184	501	*	4.66	5.03	4.01	1.03	0.0111	0.0671	18021
chr19	4811808	4812309	501	*	4.9	5.23	4.35	0.88	0.0111	0.0672	18037
chr18	2536469	2536970	501	*	4.42	3.97	4.84	-0.88	0.0111	0.0672	18038
chr21	39005419	39005920	501	*	5.55	5.93	4.86	1.06	0.0111	0.0672	18043
chr1	239718709	239719210	501	*	5.12	5.42	4.63	0.79	0.0111	0.0672	18045
chr15	89654926	89655427	501	*	7.15	7.39	6.77	0.62	0.0111	0.0672	18046
chr3	129495361	129495862	501	*	4.83	5.16	4.29	0.87	0.0111	0.0672	18049
chr9	134645140	134645641	501	*	5.81	6.09	5.37	0.73	0.0111	0.0672	18058
chr2	241863460	241863961	501	*	5.58	5.87	5.13	0.74	0.0111	0.0673	18062
chr9	120627476	120627977	501	*	4.37	3.79	4.86	-1.07	0.0111	0.0673	18063
chr2	238569100	238569601	501	*	4.97	5.36	4.25	1.11	0.0111	0.0673	18065
chr5	42809927	42810428	501	*	4.48	3.85	5.01	-1.16	0.0111	0.0673	18068
chr19	18473079	18473580	501	*	4.96	5.3	4.4	0.9	0.0111	0.0673	18070
chr20	4136195	4136696	501	*	4.26	4.71	3.4	1.31	0.0112	0.0674	18087
chr11	12680112	12680613	501	*	5.18	4.82	5.54	-0.72	0.0112	0.0674	18088
chr6	15427448	15427949	501	*	4.92	5.23	4.42	0.82	0.0112	0.0676	18108
chr18	9066555	9067056	501	*	5.58	5.03	6.06	-1.03	0.0112	0.0676	18113
chr12	114636473	114636974	501	*	5.93	5.63	6.24	-0.61	0.0112	0.0676	18127
chr6	4016321	4016822	501	*	4.26	4.61	3.66	0.95	0.0112	0.0676	18130
chr6	47309344	47309845	501	*	7.72	7.93	7.41	0.52	0.0112	0.0677	18133
chr1	25891531	25892032	501	*	5.04	5.4	4.41	1	0.0112	0.0677	18147
chr15	86917020	86917521	501	*	4.53	4.85	3.97	0.88	0.0113	0.0677	18154
chr3	130893484	130893985	501	*	7.98	8.16	7.72	0.43	0.0113	0.0679	18170
chr14	25041999	25042500	501	*	4.82	4.38	5.24	-0.86	0.0113	0.0679	18174
chr12	52539571	52540072	501	*	4.8	5.18	4.12	1.06	0.0113	0.0679	18179
chr13	44960467	44960968	501	*	4.74	4.22	5.21	-1	0.0113	0.0679	18185
chr21	45133045	45133546	501	*	4.77	5.13	4.14	0.99	0.0113	0.0679	18188
chr14	89911175	89911676	501	*	5.44	5.1	5.78	-0.68	0.0113	0.068	18211
chr22	27785351	27785852	501	*	4.33	4.74	3.56	1.18	0.0113	0.068	18216
chr3	125440397	125441271	874	*	5.42	5.69	4.99	0.7	0.0113	0.068	18221
chr1	111399963	111400464	501	*	4.87	4.35	5.33	-0.98	0.0113	0.068	18226
chr2	150485629	150486130	501	*	7.43	7.62	7.14	0.49	0.0114	0.0682	18246
chr5	172915242	172915743	501	*	4.47	4.78	3.93	0.85	0.0114	0.0683	18265
chr17	2086685	2087186	501	*	5.67	5.94	5.25	0.68	0.0114	0.0683	18268
chr22	40022505	40023006	501	*	5.4	4.97	5.8	-0.83	0.0114	0.0684	18275
chr6	43684044	43684545	501	*	5.24	5.5	4.84	0.65	0.0115	0.0685	18291
chr2	42084651	42085152	501	*	5.63	5.89	5.21	0.68	0.0115	0.0686	18296
chr1	48052247	48053085	838	*	5.58	5.86	5.13	0.73	0.0115	0.0687	18315
chr1	15323187	15323688	501	*	5.52	5.1	5.92	-0.82	0.0115	0.0687	18323
chr2	164756764	164757265	501	*	4.54	4.11	4.94	-0.83	0.0115	0.0687	18337
chr6	28686129	28686630	501	*	4.93	4.4	5.39	-1	0.0116	0.0688	18347
chr12	101830337	101830838	501	*	7.32	7.57	6.94	0.64	0.0116	0.0688	18356
chr11	69066336	69066837	501	*	4.46	4.84	3.78	1.06	0.0116	0.0689	18366
chr2	636731	637232	501	*	5.86	6.14	5.43	0.71	0.0116	0.0689	18373
chr2	216657232	216657733	501	*	5.85	6.12	5.42	0.7	0.0116	0.069	18377
chr7	26196271	26196772	501	*	4.68	4.12	5.17	-1.05	0.0116	0.069	18381
chr8	25988969	25989470	501	*	4.09	4.49	3.34	1.15	0.0116	0.069	18388
chr8	22927460	22927961	501	*	6.95	6.69	7.22	-0.53	0.0117	0.0692	18400
chr21	33440805	33441306	501	*	4.19	4.57	3.49	1.09	0.0117	0.0692	18408
chr11	10927474	10927975	501	*	5.33	4.99	5.67	-0.68	0.0117	0.0692	18412
chr7	2471382	2471883	501	*	5.16	5.45	4.67	0.78	0.0117	0.0692	18413
chr7	155824136	155824637	501	*	5.75	6.34	4.31	2.03	0.0117	0.0693	18414
chr9	91178372	91178873	501	*	5.42	5.74	4.87	0.88	0.0117	0.0693	18420
chr10	124523295	124523796	501	*	6.16	6.43	5.72	0.71	0.0117	0.0693	18424
chr17	82233050	82233551	501	*	5.01	5.33	4.47	0.86	0.0117	0.0693	18426
chr7	142798656	142799485	829	*	4.95	5.34	4.25	1.09	0.0117	0.0693	18430
chr4	15725283	15725784	501	*	5.52	5.17	5.86	-0.69	0.0117	0.0695	18451
chr5	42808983	42809484	501	*	5.38	4.92	5.81	-0.89	0.0118	0.0695	18461
chr12	115758769	115759270	501	*	7.54	7.27	7.81	-0.53	0.0118	0.0696	18467
chr6	41200753	41201254	501	*	4.78	5.17	4.08	1.09	0.0118	0.0696	18471
chr1	110619412	110619913	501	*	4.82	5.16	4.21	0.95	0.0118	0.0696	18476
chr9	97469057	97469558	501	*	4.69	4.28	5.07	-0.79	0.0118	0.0697	18480
chr4	79598903	79599404	501	*	5.79	5.4	6.16	-0.76	0.0118	0.0698	18488
chr18	76708856	76709357	501	*	4.7	5	4.2	0.8	0.0118	0.0698	18498
chr18	58052072	58052573	501	*	5.5	5.08	5.89	-0.82	0.0119	0.0699	18517
chr17	64536187	64536688	501	*	5.27	4.85	5.67	-0.82	0.0119	0.07	18525
chr1	32904436	32904937	501	*	5.27	4.88	5.64	-0.75	0.0119	0.07	18527
chr20	44461737	44462238	501	*	4.98	5.3	4.43	0.87	0.0119	0.07	18528
chr17	17352393	17352894	501	*	4.5	4.86	3.88	0.97	0.0119	0.07	18541
chr3	156826324	156826825	501	*	8.17	8.33	7.93	0.4	0.0119	0.0701	18547
chr16	13909614	13910115	501	*	4.38	3.82	4.86	-1.05	0.0119	0.0701	18551
chr18	58050839	58051340	501	*	4.74	4.3	5.16	-0.86	0.0119	0.0701	18562
chr11	122202815	122203316	501	*	5.37	5.64	4.94	0.7	0.0119	0.0701	18563
chr4	185638152	185638653	501	*	4.58	4.9	4.04	0.86	0.0119	0.0701	18567
chr8	19409619	19410120	501	*	6.68	6.32	7.03	-0.71	0.0119	0.0702	18579
chr7	41059803	41060304	501	*	4.2	4.65	3.35	1.3	0.012	0.0703	18591
chr2	67845796	67846297	501	*	6.01	6.25	5.64	0.61	0.012	0.0703	18592
chr18	58527963	58528464	501	*	4.72	4.33	5.1	-0.77	0.012	0.0703	18596
chr17	67489578	67490079	501	*	4.75	5.09	4.17	0.92	0.012	0.0706	18615
chr10	74153759	74154260	501	*	4.74	4.37	5.1	-0.73	0.0121	0.0707	18626
chr10	33748233	33748734	501	*	4.78	5.13	4.18	0.95	0.0121	0.0708	18635
chr7	155812008	155812509	501	*	6.06	6.39	5.52	0.87	0.0121	0.0708	18636
chr4	78512659	78513160	501	*	4.57	4.08	5.02	-0.93	0.0121	0.0708	18638
chr17	28929507	28930008	501	*	4.54	4.93	3.81	1.12	0.0121	0.0708	18642
chr20	31836985	31837486	501	*	5	5.32	4.46	0.86	0.0121	0.0708	18647
chr20	5781785	5782286	501	*	5.86	5.55	6.18	-0.63	0.0121	0.0708	18648
chr1	212668430	212668931	501	*	4.86	5.21	4.27	0.94	0.0121	0.0709	18651
chr15	98875573	98876074	501	*	4.78	5.07	4.31	0.76	0.0121	0.0709	18654
chr5	76407684	76408185	501	*	5.4	5.02	5.77	-0.75	0.0121	0.0709	18655
chr10	12690046	12690547	501	*	5.55	5.84	5.09	0.74	0.0121	0.071	18671
chr7	36283091	36283592	501	*	5.24	5.51	4.82	0.69	0.0122	0.0711	18688
chr15	98884827	98885328	501	*	5.13	5.43	4.63	0.8	0.0122	0.0711	18697
chr7	38106440	38106941	501	*	4.33	3.74	4.83	-1.09	0.0122	0.0712	18701
chr1	220877174	220877675	501	*	5.14	5.49	4.54	0.95	0.0122	0.0712	18712
chr20	45335747	45336248	501	*	4.46	4.8	3.89	0.91	0.0122	0.0713	18722
chr12	103867398	103867899	501	*	4.63	4.17	5.06	-0.89	0.0122	0.0713	18723
chr18	79384010	79384871	861	*	5.29	5.63	4.68	0.95	0.0122	0.0713	18740
chr11	59157362	59157863	501	*	5.23	4.77	5.66	-0.89	0.0122	0.0713	18741
chr11	77109516	77110017	501	*	4.56	4.9	3.98	0.92	0.0122	0.0714	18745
chr7	27213112	27213613	501	*	4.94	5.25	4.4	0.85	0.0122	0.0714	18746
chr17	81119631	81120132	501	*	6.86	7.1	6.48	0.62	0.0124	0.0718	18798
chr20	57398989	57399490	501	*	5.38	5.72	4.79	0.94	0.0124	0.072	18821
chr12	2058989	2059490	501	*	5.08	5.38	4.58	0.79	0.0124	0.072	18825
chr10	44963961	44964462	501	*	6.06	6.35	5.61	0.74	0.0124	0.0721	18829
chr17	79822753	79823254	501	*	4.84	4.22	5.36	-1.14	0.0124	0.0721	18833
chr2	158189971	158190472	501	*	4.23	3.61	4.75	-1.15	0.0124	0.0721	18835
chr12	49756882	49757383	501	*	4.8	4.39	5.19	-0.8	0.0125	0.0722	18845
chr5	180867057	180867558	501	*	4.55	4.04	5	-0.96	0.0125	0.0723	18850
chr20	20823585	20824086	501	*	6.78	6.98	6.47	0.51	0.0125	0.0723	18855
chr14	89273155	89273656	501	*	4.76	4.37	5.13	-0.76	0.0125	0.0723	18863
chr13	99433561	99434062	501	*	4.7	5.07	4.05	1.01	0.0125	0.0723	18866
chr6	1575278	1575779	501	*	5.74	6.01	5.31	0.7	0.0125	0.0724	18868
chr2	216690355	216690856	501	*	5.27	5.56	4.8	0.76	0.0125	0.0724	18872
chr11	114051439	114051940	501	*	4.75	5.08	4.19	0.89	0.0125	0.0725	18881
chr9	129140271	129140772	501	*	8.11	8.27	7.89	0.38	0.0125	0.0725	18884
chr1	94796807	94797308	501	*	4.44	4.8	3.8	1	0.0126	0.0727	18900
chr20	12925912	12926413	501	*	4.23	3.4	4.86	-1.45	0.0126	0.0727	18903
chr1	235009763	235010264	501	*	5.1	5.43	4.52	0.91	0.0126	0.0727	18905
chr11	68817299	68817800	501	*	4.92	5.21	4.45	0.76	0.0126	0.0727	18911
chr11	117443649	117444150	501	*	4.38	4.78	3.63	1.15	0.0126	0.0727	18912
chr18	79524334	79525247	913	*	5.5	5.87	4.84	1.03	0.0126	0.0728	18913
chr10	3749908	3750409	501	*	5.85	6.1	5.47	0.64	0.0126	0.0728	18914
chr8	101205296	101205797	501	*	7.37	7.62	6.99	0.62	0.0126	0.0728	18921
chr2	7020359	7020860	501	*	4.89	5.25	4.24	1.01	0.0126	0.0728	18923
chr2	102160493	102160994	501	*	5.21	4.82	5.59	-0.76	0.0126	0.0728	18925
chr9	20356963	20357464	501	*	5.28	4.94	5.62	-0.68	0.0126	0.0729	18938
chr3	190708290	190708791	501	*	4.45	3.71	5.03	-1.32	0.0126	0.0729	18939
chr4	76529398	76529899	501	*	5.02	4.58	5.43	-0.85	0.0127	0.073	18944
chr3	172318069	172318570	501	*	6.48	6.71	6.12	0.59	0.0127	0.073	18949
chr1	30086065	30086566	501	*	4.62	4.97	4.01	0.97	0.0127	0.0732	18962
chr13	98427975	98428476	501	*	4.27	3.63	4.81	-1.17	0.0127	0.0732	18974
chr7	27921068	27921569	501	*	4.95	4.6	5.3	-0.7	0.0127	0.0733	18987
chr2	69384308	69384809	501	*	4.43	3.87	4.91	-1.04	0.0127	0.0733	18989
chr3	138916499	138917000	501	*	5.24	4.9	5.58	-0.68	0.0128	0.0733	18995
chr1	85259152	85259653	501	*	7.53	7.76	7.18	0.58	0.0128	0.0734	19001
chr6	11586811	11587312	501	*	4.8	4.41	5.17	-0.76	0.0128	0.0734	19002
chr5	96745946	96746447	501	*	4.92	5.21	4.46	0.75	0.0128	0.0734	19003
chr9	36327820	36328321	501	*	5.37	4.95	5.76	-0.81	0.0128	0.0734	19006
chr2	233389656	233390157	501	*	6.28	5.96	6.59	-0.63	0.0128	0.0734	19010
chr2	237594565	237595536	971	*	5.44	5.76	4.92	0.83	0.0128	0.0734	19014
chr11	62911649	62912150	501	*	4.7	4.25	5.12	-0.87	0.0128	0.0735	19024
chr3	41213967	41214468	501	*	4.22	3.67	4.69	-1.02	0.0128	0.0736	19035
chr20	3681798	3682299	501	*	6.65	6.92	6.23	0.69	0.0128	0.0736	19038
chr1	235783850	235784351	501	*	4.25	3.62	4.78	-1.15	0.0128	0.0736	19039
chr2	28413397	28413898	501	*	4.77	5.14	4.11	1.03	0.0128	0.0736	19041
chr10	5612150	5612651	501	*	4.56	4.08	5	-0.93	0.0129	0.0737	19050
chr2	64514578	64515079	501	*	5.3	4.84	5.73	-0.89	0.0129	0.0738	19061
chr2	105371755	105372256	501	*	4.77	5.07	4.28	0.79	0.0129	0.0739	19075
chr16	69394149	69394650	501	*	4.89	4.39	5.35	-0.96	0.0129	0.0739	19078
chr12	56763486	56763987	501	*	5.77	5.27	6.23	-0.96	0.0129	0.0739	19086
