chr	start	end	width	strand	Conc	Conc_T2E	Conc_NonT2E	Fold	p.value	FDR
chr21	34526346	34526847	501	*	7.09	6.84	7.34	-0.5	0.0165	0.0851
chr21	46175774	46176275	501	*	4.39	3.01	5.21	-2.2	0.0166	0.0854
chr21	37073085	37073586	501	*	7.51	7.72	7.21	0.5	0.0166	0.0854
chr21	36846191	36846692	501	*	5.55	5.12	5.95	-0.83	0.0167	0.0857
chr21	45552016	45552517	501	*	5.08	5.39	4.55	0.84	0.0168	0.086
chr21	33417275	33417776	501	*	6.2	6.43	5.85	0.59	0.0169	0.0864
chr21	41068696	41069197	501	*	4.8	4.41	5.17	-0.76	0.0169	0.0864
chr21	46092756	46093257	501	*	5.48	5.77	5.01	0.76	0.017	0.0866
chr21	43874035	43874536	501	*	4.14	3.66	4.58	-0.92	0.0177	0.0889
chr21	44709347	44709848	501	*	4.83	5.15	4.28	0.87	0.018	0.0898
chr21	44932260	44932761	501	*	6.39	6.66	5.97	0.68	0.018	0.0898
chr21	46297429	46297930	501	*	5.76	6.04	5.3	0.74	0.018	0.0899
chr21	32461026	32461527	501	*	4.43	4.79	3.78	1.01	0.0183	0.0906
chr21	38832307	38832808	501	*	4.88	5.21	4.3	0.91	0.0184	0.091
chr21	45978012	45978513	501	*	4.98	5.29	4.46	0.83	0.0185	0.0912
chr21	43728472	43728973	501	*	6.62	6.89	6.18	0.71	0.0185	0.0914
chr21	33286527	33287028	501	*	6.2	6.39	5.91	0.48	0.0186	0.0917
chr21	43318938	43319439	501	*	4.69	5.07	4.01	1.07	0.0187	0.0919
chr21	42726636	42727137	501	*	4.03	4.47	3.18	1.29	0.0187	0.092
chr21	44207776	44208277	501	*	3.22	3.74	2.08	1.66	0.0187	0.092
chr21	44305873	44306374	501	*	4.59	4.93	4.02	0.91	0.0189	0.0926
chr21	38638799	38639300	501	*	4	4.4	3.24	1.17	0.0191	0.0931
chr21	46458228	46458729	501	*	7.46	7.65	7.17	0.48	0.0191	0.0932
chr21	36989803	36990304	501	*	7.31	7.5	7.02	0.49	0.0195	0.0944
chr21	38766906	38767817	911	*	5.24	5.57	4.68	0.89	0.0197	0.0949
chr21	43335143	43335644	501	*	5.45	5.77	4.92	0.85	0.0198	0.0952
chr21	33373388	33373889	501	*	6.19	6.42	5.85	0.57	0.0199	0.0955
chr21	43290726	43291227	501	*	4.78	5.14	4.16	0.98	0.0201	0.096
chr21	33229968	33230469	501	*	7.42	7.65	7.08	0.57	0.0202	0.0964
chr21	35932388	35932889	501	*	4.91	5.2	4.44	0.76	0.0202	0.0964
chr21	42684386	42684887	501	*	5.02	5.33	4.49	0.84	0.0205	0.097
chr21	46459044	46459545	501	*	7.6	7.82	7.26	0.57	0.0208	0.0978
chr21	44592348	44592849	501	*	4.26	4.74	3.28	1.46	0.0211	0.0988
chr21	41713761	41714262	501	*	4.99	5.28	4.51	0.77	0.0213	0.0992
chr21	39104932	39105433	501	*	4.62	4.97	4.01	0.97	0.0213	0.0992
chr21	30340231	30340732	501	*	5.25	5.55	4.75	0.81	0.0213	0.0994
chr21	43712190	43712691	501	*	5.98	5.7	6.28	-0.58	0.0214	0.0994
chr21	44297498	44297999	501	*	5.66	5.92	5.27	0.65	0.0219	0.101
chr21	45420118	45420619	501	*	5.15	5.42	4.73	0.69	0.0221	0.101
chr21	45642442	45642943	501	*	5.75	6.1	5.16	0.94	0.0221	0.102
chr21	39868936	39869437	501	*	4.44	4.76	3.92	0.84	0.0224	0.102
chr21	37599785	37600286	501	*	3.58	2.45	4.32	-1.87	0.0225	0.102
chr21	43286041	43286542	501	*	5.28	5.56	4.83	0.73	0.0225	0.103
chr21	38999756	39000257	501	*	4.56	4.96	3.8	1.16	0.0226	0.103
chr21	38809409	38809910	501	*	5.31	5.61	4.83	0.78	0.0228	0.103
chr21	33215151	33215652	501	*	4.25	4.62	3.61	1.01	0.0234	0.105
chr21	45325726	45326227	501	*	4.51	4.85	3.95	0.9	0.0237	0.106
chr21	31731438	31731939	501	*	7.76	7.97	7.45	0.52	0.0237	0.106
chr21	32478582	32479083	501	*	5.52	5.8	5.08	0.72	0.024	0.106
chr21	41631471	41631972	501	*	4.07	4.51	3.22	1.29	0.024	0.106
chr21	36143784	36144285	501	*	4.95	4.6	5.28	-0.68	0.024	0.107
chr21	44299727	44300228	501	*	7.19	7.44	6.81	0.62	0.0242	0.107
chr21	42063205	42063706	501	*	5.08	5.39	4.58	0.81	0.0243	0.107
chr21	33324925	33325426	501	*	7.87	8.02	7.65	0.37	0.0243	0.107
chr21	41471132	41471633	501	*	4.49	4.05	4.9	-0.85	0.0244	0.108
chr21	32073817	32074318	501	*	4.73	5.05	4.2	0.85	0.0248	0.109
chr21	43372608	43373109	501	*	4.44	4.86	3.66	1.2	0.025	0.109
chr21	38636528	38637029	501	*	4.71	5	4.25	0.75	0.0251	0.109
chr21	35398475	35398976	501	*	5.04	5.3	4.64	0.66	0.0253	0.11
chr21	43809130	43809631	501	*	4.65	4.18	5.07	-0.89	0.0256	0.111
chr21	42721610	42722111	501	*	5.82	6.08	5.41	0.67	0.0257	0.111
chr21	45971200	45971701	501	*	5.58	5.82	5.19	0.63	0.0258	0.111
chr21	37220846	37221347	501	*	6.76	6.97	6.45	0.52	0.0259	0.112
chr21	34614796	34615297	501	*	7.01	7.27	6.61	0.66	0.0265	0.113
chr21	43363959	43364460	501	*	4.94	5.27	4.39	0.88	0.0267	0.114
chr21	37597090	37597591	501	*	3.37	2.12	4.16	-2.04	0.027	0.114
chr21	41642322	41642823	501	*	5.26	5.55	4.81	0.73	0.0271	0.114
chr21	44548462	44548963	501	*	4.5	4.87	3.87	1	0.0272	0.115
chr21	34983511	34984012	501	*	4.54	4.88	3.94	0.94	0.0274	0.115
chr21	46062683	46063184	501	*	4.63	4.94	4.1	0.84	0.028	0.117
chr21	42263354	42263855	501	*	6.47	6.67	6.17	0.5	0.028	0.117
chr21	43211570	43212071	501	*	5.18	5.45	4.74	0.71	0.028	0.117
chr21	45973828	45974329	501	*	7.27	7.48	6.96	0.52	0.0286	0.118
chr21	41512664	41513165	501	*	5.99	5.55	6.41	-0.85	0.0287	0.118
chr21	38772980	38773481	501	*	4.14	4.56	3.36	1.2	0.0291	0.119
chr21	33360017	33360518	501	*	4.42	4.71	3.96	0.75	0.0294	0.12
chr21	32474750	32475251	501	*	6.21	6.44	5.86	0.57	0.0295	0.12
chr21	42187648	42188149	501	*	4.87	5.17	4.38	0.79	0.0295	0.12
chr21	45121285	45121786	501	*	5.5	5.18	5.82	-0.64	0.0303	0.122
chr21	30440259	30440760	501	*	3.61	2.66	4.29	-1.63	0.0307	0.123
chr21	44939533	44940034	501	*	7.23	7.41	6.98	0.43	0.0308	0.124
chr21	36768529	36769030	501	*	6.7	6.92	6.37	0.55	0.0313	0.125
chr21	42812296	42812797	501	*	5.73	5.4	6.06	-0.66	0.0313	0.125
chr21	39002948	39003449	501	*	5.41	5.71	4.9	0.81	0.0314	0.125
chr21	33361598	33362099	501	*	6.65	6.83	6.38	0.45	0.0314	0.125
chr21	43911184	43911685	501	*	4.98	4.55	5.39	-0.83	0.0315	0.125
chr21	46081412	46081913	501	*	4.84	5.12	4.39	0.73	0.0317	0.126
chr21	38592897	38593398	501	*	6.16	5.88	6.45	-0.58	0.0321	0.127
chr21	43287473	43287974	501	*	6.27	6.47	5.96	0.51	0.0323	0.127
chr21	30343779	30344280	501	*	4.76	5.12	4.14	0.98	0.0325	0.128
chr21	42028570	42029071	501	*	5.4	5.65	5.01	0.65	0.0328	0.128
chr21	32418311	32418812	501	*	5.21	5.46	4.8	0.66	0.0328	0.128
chr21	45331672	45332173	501	*	4.71	5	4.24	0.76	0.0329	0.128
chr21	35339813	35340314	501	*	4.55	4.89	3.97	0.92	0.0331	0.129
chr21	45439093	45439594	501	*	6.16	6.38	5.85	0.53	0.0334	0.13
chr21	42171175	42171676	501	*	5.15	5.47	4.59	0.88	0.0337	0.13
chr21	37374459	37374960	501	*	4.4	4.71	3.88	0.83	0.0338	0.131
chr21	38743579	38744080	501	*	4.6	4.94	4.01	0.93	0.0343	0.132
chr21	37006678	37007179	501	*	6.51	6.73	6.18	0.55	0.0343	0.132
chr21	42161792	42162293	501	*	4.9	5.21	4.4	0.81	0.0344	0.132
chr21	45287800	45288301	501	*	6.98	7.2	6.64	0.56	0.0349	0.133
chr21	32463673	32464632	959	*	6.01	6.27	5.61	0.66	0.0352	0.134
chr21	43277503	43278004	501	*	5.08	5.36	4.64	0.73	0.0355	0.134
chr21	45225632	45226133	501	*	5.76	5.51	6.02	-0.51	0.0362	0.136
chr21	44836755	44837256	501	*	4.74	5.03	4.26	0.78	0.0364	0.137
chr21	31530630	31531131	501	*	5.61	5.84	5.25	0.59	0.0368	0.137
chr21	35255953	35256454	501	*	5.34	4.88	5.77	-0.89	0.0374	0.139
chr21	41482218	41482719	501	*	4.97	4.54	5.38	-0.84	0.0377	0.139
chr21	34701937	34702438	501	*	4.72	5.02	4.24	0.77	0.0381	0.14
chr21	46635451	46635952	501	*	7.54	7.7	7.31	0.39	0.0382	0.14
chr21	46622300	46622801	501	*	4.96	4.63	5.29	-0.65	0.0384	0.141
chr21	42460488	42460989	501	*	5.91	6.11	5.61	0.5	0.0389	0.142
chr21	34864306	34864807	501	*	5.59	5.28	5.91	-0.63	0.0389	0.142
chr21	39093692	39094193	501	*	4.27	4.7	3.46	1.24	0.039	0.142
chr21	42331207	42331708	501	*	6.06	5.71	6.41	-0.71	0.0394	0.143
chr21	45074064	45074565	501	*	7.12	7.36	6.76	0.6	0.0395	0.143
chr21	36182910	36183411	501	*	5.27	4.87	5.65	-0.78	0.0401	0.144
chr21	41641449	41641950	501	*	5.17	5.45	4.74	0.71	0.0409	0.146
chr21	42471875	42472376	501	*	4.94	5.25	4.42	0.84	0.041	0.146
chr21	44285562	44286063	501	*	5.12	5.42	4.64	0.78	0.041	0.147
chr21	44159240	44159741	501	*	2.1	2.61	0.99	1.62	0.0412	0.147
chr21	43190647	43191148	501	*	4.36	4.69	3.79	0.9	0.0417	0.148
chr21	42975235	42975736	501	*	7.75	7.92	7.5	0.42	0.042	0.149
chr21	32727313	32727814	501	*	7.84	8.01	7.58	0.43	0.0421	0.149
chr21	45104339	45104840	501	*	6.2	5.95	6.46	-0.51	0.0422	0.149
chr21	39010440	39010941	501	*	4.98	5.32	4.4	0.92	0.0426	0.15
chr21	39000977	39001478	501	*	4.97	5.27	4.47	0.8	0.0427	0.15
chr21	33301667	33302168	501	*	6.69	6.85	6.45	0.41	0.0428	0.15
chr21	44054609	44055110	501	*	4.71	4.36	5.06	-0.69	0.0438	0.152
chr21	44509241	44509742	501	*	4.25	4.58	3.7	0.88	0.0438	0.152
chr21	40044727	40045228	501	*	3.71	4.14	2.87	1.27	0.0439	0.153
chr21	30305807	30306308	501	*	4.22	3.6	4.74	-1.15	0.0441	0.153
chr21	42389034	42389535	501	*	6.01	6.25	5.63	0.63	0.0444	0.154
chr21	35343112	35343613	501	*	4.69	5.01	4.14	0.88	0.0447	0.154
chr21	41361623	41362124	501	*	6.26	6.03	6.5	-0.47	0.0447	0.154
chr21	45453636	45454575	939	*	5.39	5.65	4.98	0.67	0.0452	0.155
chr21	42411927	42412428	501	*	4.54	4.84	4.06	0.77	0.0459	0.157
chr21	42464278	42464779	501	*	5.64	5.83	5.37	0.46	0.0467	0.158
chr21	44600448	44600949	501	*	3.72	4.09	3.04	1.05	0.0468	0.159
chr21	39078927	39079428	501	*	4.52	4.85	3.96	0.89	0.0469	0.159
chr21	34877269	34877770	501	*	6.43	6.19	6.69	-0.51	0.0474	0.16
chr21	36162808	36163309	501	*	6.79	6.57	7.02	-0.45	0.0476	0.16
chr21	45542593	45543094	501	*	7.5	7.68	7.23	0.45	0.0482	0.161
chr21	43609476	43609977	501	*	5.38	5.65	4.95	0.69	0.0485	0.162
chr21	42024412	42024913	501	*	4.51	4.83	3.96	0.87	0.0486	0.162
chr21	41260237	41260738	501	*	5.43	5.01	5.82	-0.81	0.0487	0.162
chr21	46061116	46061617	501	*	5.41	5.66	5.02	0.64	0.0487	0.162
chr21	46063703	46064204	501	*	4.68	4.95	4.25	0.7	0.0492	0.163
chr21	38296653	38297154	501	*	4.63	4.97	4.04	0.93	0.0497	0.164
chr21	40641586	40642087	501	*	3.52	2.68	4.16	-1.48	0.0502	0.165
chr21	44339265	44339766	501	*	7.57	7.71	7.36	0.35	0.0504	0.166
chr21	41461126	41461627	501	*	5.19	4.92	5.48	-0.56	0.0508	0.166
chr21	39081354	39081855	501	*	4.55	4.87	4.02	0.85	0.051	0.167
chr21	35400543	35401044	501	*	4.8	5.04	4.42	0.62	0.051	0.167
chr21	36330059	36330560	501	*	5.3	5.01	5.6	-0.59	0.051	0.167
chr21	35323933	35324434	501	*	6.42	6.61	6.14	0.46	0.051	0.167
chr21	44510519	44511020	501	*	5.47	5.74	5.06	0.68	0.0512	0.167
chr21	34705190	34705691	501	*	4.97	5.21	4.59	0.62	0.0515	0.167
chr21	35244033	35244534	501	*	5.15	5.41	4.74	0.67	0.0518	0.168
chr21	46461627	46462128	501	*	5.06	4.73	5.39	-0.66	0.0523	0.169
chr21	43659260	43659761	501	*	7.23	7.41	6.98	0.43	0.0523	0.169
chr21	40509196	40509697	501	*	4.7	4.25	5.11	-0.85	0.0526	0.17
chr21	44153636	44154137	501	*	1.21	1.76	-0.04	1.79	0.0529	0.17
chr21	43211036	43211537	501	*	5.02	5.32	4.54	0.77	0.053	0.17
chr21	44011809	44012310	501	*	7.53	7.72	7.25	0.48	0.0538	0.172
chr21	39798067	39798568	501	*	4.29	3.82	4.72	-0.9	0.0542	0.173
chr21	41507164	41507665	501	*	7.71	7.85	7.5	0.35	0.0545	0.173
chr21	45442835	45443336	501	*	3.76	4.19	2.94	1.25	0.0546	0.173
chr21	36166339	36166840	501	*	5.6	5.35	5.86	-0.51	0.0549	0.174
chr21	42370045	42370546	501	*	5.64	5.3	5.98	-0.68	0.0569	0.178
chr21	43321195	43321696	501	*	5.18	5.43	4.78	0.65	0.057	0.178
chr21	42471198	42471699	501	*	4.72	4.98	4.31	0.68	0.057	0.178
chr21	41571963	41572464	501	*	4.79	4.39	5.17	-0.79	0.0574	0.179
chr21	33915371	33915872	501	*	7.55	7.7	7.34	0.36	0.0574	0.179
chr21	45981834	45982335	501	*	6.73	6.97	6.34	0.63	0.0576	0.179
chr21	44773103	44773604	501	*	5.27	4.88	5.64	-0.76	0.0579	0.18
chr21	36813629	36814130	501	*	4.97	5.21	4.61	0.6	0.0581	0.18
chr21	43585346	43585847	501	*	5.83	6.05	5.5	0.56	0.0584	0.181
chr21	32360259	32360760	501	*	4.92	5.17	4.53	0.64	0.0586	0.181
chr21	44209435	44209936	501	*	2.17	2.7	1.03	1.67	0.0589	0.181
chr21	44296812	44297313	501	*	4.75	4.99	4.38	0.6	0.059	0.182
chr21	41426260	41426761	501	*	6.96	7.14	6.7	0.44	0.0599	0.183
chr21	41045466	41045967	501	*	5.51	5.19	5.82	-0.63	0.06	0.183
chr21	35931872	35932373	501	*	4.53	4.79	4.1	0.69	0.0605	0.184
chr21	41577279	41577780	501	*	5.02	4.63	5.4	-0.78	0.0612	0.185
chr21	32483236	32483737	501	*	5.41	5.64	5.08	0.56	0.0614	0.186
chr21	43767423	43767924	501	*	4.35	4.66	3.84	0.82	0.0615	0.186
chr21	45977248	45977749	501	*	5.28	5.5	4.95	0.56	0.0626	0.188
chr21	36812661	36813162	501	*	4.77	5	4.41	0.59	0.0628	0.188
chr21	33292853	33293354	501	*	5.78	5.96	5.52	0.44	0.0637	0.19
chr21	36834877	36835378	501	*	5.64	5.25	6.02	-0.77	0.0637	0.19
chr21	35933593	35934094	501	*	4.68	4.98	4.2	0.78	0.0641	0.191
chr21	41985327	41985828	501	*	5.72	5.46	5.99	-0.53	0.0644	0.191
chr21	43364560	43365061	501	*	4.85	5.13	4.38	0.75	0.0647	0.192
chr21	43494770	43495271	501	*	0.68	-0.24	1.34	-1.58	0.0661	0.194
chr21	41207659	41208160	501	*	5.15	5.37	4.82	0.55	0.0662	0.194
chr21	40841591	40842092	501	*	4.94	4.6	5.28	-0.68	0.0666	0.195
chr21	42160345	42160846	501	*	4.99	5.25	4.57	0.69	0.0667	0.195
chr21	40046641	40047142	501	*	5.3	5.59	4.84	0.75	0.0669	0.196
chr21	35476507	35477008	501	*	4.48	4.76	4.04	0.73	0.0672	0.196
chr21	40509718	40510219	501	*	4.85	4.57	5.13	-0.57	0.0673	0.196
chr21	34946315	34946816	501	*	4.71	4.93	4.37	0.56	0.0674	0.196
chr21	30436557	30437058	501	*	5.39	5.1	5.68	-0.58	0.0679	0.197
chr21	34345658	34346159	501	*	4.91	5.15	4.53	0.62	0.0681	0.198
chr21	42099917	42100418	501	*	3.98	4.37	3.28	1.09	0.0681	0.198
chr21	33266381	33266882	501	*	7.7	7.83	7.5	0.33	0.0682	0.198
chr21	32256423	32257293	870	*	5.86	6.05	5.57	0.48	0.0693	0.2
chr21	32493826	32494327	501	*	4.84	5.09	4.45	0.64	0.0693	0.2
chr21	45102675	45103176	501	*	5.46	5.23	5.7	-0.47	0.0701	0.201
chr21	44548998	44549499	501	*	4.24	4.55	3.73	0.82	0.0702	0.201
chr21	32240460	32240961	501	*	5.17	5.37	4.86	0.51	0.0707	0.202
chr21	36758280	36758781	501	*	4.44	4.69	4.04	0.65	0.071	0.203
chr21	42742524	42743025	501	*	4.19	4.49	3.68	0.82	0.0715	0.203
chr21	39450622	39451123	501	*	4.69	4.34	5.03	-0.7	0.072	0.204
chr21	38507308	38507809	501	*	4.81	5.08	4.37	0.71	0.0725	0.205
chr21	42340268	42340769	501	*	5.19	4.93	5.46	-0.53	0.0727	0.206
chr21	43789145	43789646	501	*	6.97	7.12	6.75	0.36	0.0748	0.209
chr21	38994025	38994526	501	*	5.16	5.43	4.74	0.69	0.0748	0.209
chr21	33204792	33205293	501	*	4.58	4.91	4	0.91	0.0757	0.211
chr21	35329002	35329503	501	*	5.99	6.2	5.68	0.52	0.0758	0.211
chr21	43574556	43575057	501	*	5.14	5.4	4.73	0.68	0.0759	0.211
chr21	43373495	43373996	501	*	4.28	4.61	3.72	0.88	0.076	0.211
chr21	40045515	40046016	501	*	4.44	4.77	3.86	0.91	0.0781	0.215
chr21	41816340	41816841	501	*	4.93	5.19	4.52	0.67	0.0789	0.216
chr21	36496324	36496825	501	*	4.08	4.38	3.58	0.8	0.0798	0.217
chr21	44197157	44197658	501	*	2.78	3.25	1.83	1.43	0.0803	0.218
chr21	32417686	32418187	501	*	4.61	4.86	4.23	0.63	0.0809	0.219
chr21	41727904	41728405	501	*	4.92	5.23	4.43	0.8	0.0816	0.22
chr21	41953180	41953681	501	*	7.54	7.7	7.31	0.39	0.0817	0.22
chr21	43860544	43861045	501	*	6.72	6.47	6.98	-0.5	0.082	0.221
chr21	33435006	33435507	501	*	4.76	5.08	4.23	0.85	0.0826	0.222
chr21	36303652	36304153	501	*	4.01	3.53	4.45	-0.92	0.0831	0.223
chr21	43916823	43917324	501	*	5.57	5.25	5.89	-0.65	0.0833	0.223
chr21	39095171	39096139	968	*	5.57	5.82	5.18	0.64	0.0834	0.223
chr21	34795462	34795963	501	*	6.62	6.38	6.87	-0.49	0.0835	0.223
chr21	43775995	43776496	501	*	7.55	7.71	7.31	0.4	0.0835	0.223
chr21	38305833	38306334	501	*	3.75	4.17	2.94	1.23	0.0839	0.224
chr21	32374628	32375129	501	*	5.21	4.87	5.54	-0.67	0.084	0.224
chr21	35203455	35203956	501	*	4.72	4.96	4.34	0.62	0.0843	0.225
chr21	35981660	35982161	501	*	5.06	4.77	5.34	-0.57	0.0844	0.225
chr21	33588170	33588671	501	*	7.69	7.86	7.44	0.43	0.0847	0.225
chr21	41174480	41174981	501	*	4.73	4.39	5.07	-0.68	0.0851	0.226
chr21	42879409	42879910	501	*	7.13	7.27	6.92	0.34	0.0854	0.226
chr21	44024107	44024608	501	*	4.25	4.52	3.82	0.69	0.086	0.227
chr21	42992668	42993169	501	*	5.46	5.68	5.13	0.55	0.0867	0.228
chr21	41879086	41879587	501	*	7.18	7.53	6.59	0.94	0.0896	0.233
chr21	37916222	37916723	501	*	5.32	5.07	5.58	-0.51	0.0897	0.233
chr21	45032575	45033076	501	*	4.69	4.97	4.26	0.7	0.0898	0.233
chr21	32476310	32476811	501	*	5.77	5.97	5.47	0.5	0.09	0.234
chr21	41759523	41760024	501	*	4.4	4.69	3.92	0.77	0.0908	0.235
chr21	42380659	42381160	501	*	5.01	4.72	5.31	-0.6	0.0918	0.236
chr21	46667710	46668211	501	*	5.16	5.37	4.83	0.54	0.0932	0.239
chr21	37531390	37531891	501	*	5.17	5.38	4.84	0.54	0.0941	0.24
chr21	33427175	33427676	501	*	4.97	5.18	4.65	0.53	0.0942	0.24
chr21	36783800	36784679	879	*	5.37	5.56	5.1	0.46	0.0958	0.242
chr21	38989792	38990293	501	*	5.66	5.85	5.37	0.48	0.0959	0.243
chr21	41593274	41593775	501	*	5.2	4.95	5.47	-0.52	0.0959	0.243
chr21	38611292	38611793	501	*	4.6	4.82	4.25	0.57	0.0971	0.244
chr21	43611535	43612036	501	*	5.61	5.83	5.26	0.57	0.0984	0.246
chr21	36385421	36385922	501	*	7.16	7.32	6.92	0.4	0.0992	0.248
chr21	39009637	39010138	501	*	4.96	5.38	4.16	1.22	0.0997	0.248
chr21	33433318	33433819	501	*	4.3	4.58	3.84	0.75	0.1	0.249
chr21	36489534	36490035	501	*	5.6	5.82	5.27	0.55	0.101	0.25
chr21	41707650	41708151	501	*	5.73	5.9	5.48	0.42	0.101	0.25
chr21	42820849	42821350	501	*	5.16	5.36	4.87	0.49	0.102	0.253
chr21	36138031	36138532	501	*	4.37	4.02	4.71	-0.68	0.104	0.254
chr21	45482999	45483500	501	*	4.73	5.01	4.28	0.73	0.104	0.254
chr21	34686648	34687149	501	*	4.96	5.16	4.67	0.49	0.104	0.255
chr21	30337087	30337588	501	*	4.95	5.16	4.63	0.53	0.105	0.257
chr21	35337819	35338320	501	*	4.23	4.52	3.76	0.75	0.106	0.258
chr21	37267637	37268138	501	*	7.7	7.83	7.53	0.3	0.107	0.259
chr21	35732444	35732945	501	*	3.78	4.36	2.39	1.97	0.107	0.26
chr21	31659640	31660141	501	*	6.95	7.12	6.72	0.4	0.108	0.26
chr21	45433343	45433844	501	*	5.3	5.51	4.97	0.54	0.108	0.26
chr21	32569347	32569848	501	*	7.13	7.29	6.91	0.38	0.109	0.261
chr21	46500011	46500512	501	*	5.09	4.8	5.38	-0.57	0.109	0.262
chr21	43426364	43426865	501	*	0.62	1.15	-0.54	1.68	0.109	0.262
chr21	42450225	42450726	501	*	5.93	6.1	5.69	0.42	0.11	0.263
chr21	46060123	46060624	501	*	5.77	5.97	5.49	0.48	0.11	0.264
chr21	32023272	32023773	501	*	4.66	4.88	4.32	0.56	0.11	0.264
chr21	41280322	41280823	501	*	4.67	4.44	4.92	-0.48	0.11	0.264
chr21	46229369	46229870	501	*	7.3	7.46	7.08	0.37	0.111	0.265
chr21	36732143	36732644	501	*	4.42	4.67	4.03	0.63	0.111	0.265
chr21	42729808	42730309	501	*	5.69	5.91	5.35	0.56	0.111	0.265
chr21	42467371	42467872	501	*	5.77	5.96	5.5	0.46	0.112	0.267
chr21	44067164	44067665	501	*	5.53	5.77	5.15	0.63	0.112	0.267
chr21	45436028	45436529	501	*	5.19	5.39	4.9	0.49	0.113	0.268
chr21	46509084	46509585	501	*	4.68	3.99	5.24	-1.25	0.114	0.27
chr21	37380343	37380844	501	*	4.3	3.97	4.63	-0.66	0.115	0.27
chr21	43006451	43006952	501	*	5.51	5.28	5.76	-0.48	0.115	0.271
chr21	37369867	37370368	501	*	4.69	4.38	5	-0.61	0.115	0.271
chr21	30408569	30409070	501	*	5.69	5.46	5.94	-0.48	0.115	0.271
chr21	37595554	37596055	501	*	4.02	2.94	4.74	-1.8	0.115	0.271
chr21	37646273	37646774	501	*	4.43	4.16	4.71	-0.55	0.116	0.272
chr21	41473504	41474005	501	*	4.93	4.69	5.18	-0.49	0.117	0.273
chr21	42732367	42732868	501	*	6.36	6.52	6.12	0.4	0.117	0.273
chr21	32480385	32480886	501	*	4.4	4.66	4	0.67	0.117	0.274
chr21	38806064	38806565	501	*	7.75	7.91	7.52	0.38	0.118	0.275
chr21	40047597	40048098	501	*	5.41	5.64	5.04	0.6	0.12	0.278
chr21	33120974	33121475	501	*	5.07	5.25	4.83	0.42	0.121	0.279
chr21	38907264	38907765	501	*	6.21	6	6.42	-0.42	0.122	0.28
chr21	41961673	41962174	501	*	5.86	5.65	6.09	-0.44	0.122	0.281
chr21	34723389	34723890	501	*	4.49	4.81	3.95	0.86	0.123	0.282
chr21	42315461	42315962	501	*	6.28	6.05	6.52	-0.48	0.123	0.282
chr21	34878665	34879166	501	*	5.2	4.99	5.42	-0.44	0.124	0.283
chr21	42004182	42004683	501	*	4.69	4.42	4.97	-0.56	0.126	0.285
chr21	35215699	35216200	501	*	4.19	4.45	3.79	0.66	0.127	0.287
chr21	36235142	36235643	501	*	5.21	4.99	5.44	-0.46	0.127	0.287
chr21	45181591	45182092	501	*	4.81	4.58	5.05	-0.47	0.127	0.288
chr21	42948576	42949077	501	*	4.69	4.42	4.98	-0.56	0.128	0.288
chr21	42728578	42729079	501	*	4.51	4.79	4.07	0.73	0.129	0.29
chr21	38630823	38631324	501	*	4.11	4.41	3.61	0.8	0.131	0.292
chr21	45129483	45129984	501	*	5.54	5.74	5.23	0.51	0.131	0.293
chr21	42892848	42893349	501	*	7.43	7.56	7.25	0.31	0.131	0.293
chr21	45224339	45224840	501	*	4.51	4.75	4.12	0.64	0.131	0.293
chr21	36152328	36152829	501	*	4.68	4.43	4.95	-0.52	0.131	0.293
chr21	35273718	35274219	501	*	4.89	4.65	5.14	-0.49	0.133	0.296
chr21	46097976	46098477	501	*	6.79	7.08	6.34	0.73	0.135	0.298
chr21	33790636	33791137	501	*	4.62	4.34	4.9	-0.56	0.135	0.298
chr21	41605871	41606372	501	*	6.78	6.92	6.58	0.33	0.135	0.298
chr21	43382826	43383327	501	*	0.92	1.39	-0.01	1.39	0.136	0.3
chr21	33444945	33445848	903	*	5.5	5.66	5.27	0.39	0.136	0.3
chr21	39094575	39095076	501	*	4.23	4.54	3.72	0.81	0.136	0.3
chr21	35987153	35987654	501	*	4.29	3.98	4.61	-0.63	0.136	0.3
chr21	39808032	39808533	501	*	4.5	4.16	4.84	-0.68	0.136	0.3
chr21	44580315	44580816	501	*	5.3	5.69	4.58	1.11	0.136	0.3
chr21	38620533	38621034	501	*	3.99	4.32	3.42	0.9	0.138	0.302
chr21	43442002	43442503	501	*	0.48	0.98	-0.54	1.51	0.139	0.303
chr21	41576119	41576620	501	*	5.58	5.31	5.86	-0.55	0.14	0.305
chr21	32525170	32525671	501	*	4.83	5.03	4.54	0.48	0.142	0.308
chr21	43457803	43458304	501	*	0.95	1.43	0	1.43	0.142	0.308
chr21	35503860	35504361	501	*	4.49	4.75	4.09	0.66	0.142	0.309
chr21	36205004	36205505	501	*	4.58	4.32	4.84	-0.52	0.144	0.31
chr21	38830995	38831496	501	*	5.29	5.5	4.96	0.54	0.144	0.31
chr21	38631496	38631997	501	*	4.42	4.64	4.08	0.55	0.144	0.31
chr21	39798763	39799264	501	*	4.99	4.71	5.27	-0.56	0.144	0.311
chr21	41712205	41712706	501	*	5.27	5.5	4.93	0.57	0.144	0.311
chr21	42027448	42027949	501	*	5.03	5.21	4.75	0.46	0.144	0.311
chr21	41947933	41948434	501	*	5.47	5.63	5.25	0.38	0.145	0.312
chr21	36206339	36206840	501	*	4.96	4.75	5.19	-0.44	0.146	0.313
