chr	start	end	strand	gene_id	gene_name
chr2	138101878	138107178	+	ENSG00000224231.2	LINC01832
chr2	138669157	138780390	-	ENSG00000144227.5	NXPH2
chr2	140231423	142131016	-	ENSG00000168702.18	LRP1B
chr2	142854095	142855998	+	ENSG00000229781.1	AC013444.1
chr2	142877657	143055833	+	ENSG00000115919.15	KYNU
chr2	143937073	143964156	+	ENSG00000232377.1	AC016910.2
chr2	143938068	144332568	-	ENSG00000121964.14	GTDC1
chr2	144364364	144521057	-	ENSG00000169554.21	ZEB2
chr2	144517978	144521477	+	ENSG00000238057.9	ZEB2-AS1
chr2	144518447	144518574	+	ENSG00000275372.1	AC009951.2
chr2	144520456	144520555	+	ENSG00000273537.1	AC009951.1
chr2	144521039	144521116	+	ENSG00000277444.1	AC009951.3
chr2	144523552	144524651	-	ENSG00000287115.1	AC009951.6
chr2	144523912	144579434	+	ENSG00000232606.2	LINC01412
chr2	144666312	145262988	+	ENSG00000226674.11	TEX41
chr2	147844517	147930826	+	ENSG00000121989.15	ACVR2A
chr2	147899401	147902956	-	ENSG00000223911.1	AC009480.1
chr2	147930397	148021604	-	ENSG00000115947.13	ORC4
chr2	148021011	148516971	+	ENSG00000204406.13	MBD5
chr2	148644440	148787569	+	ENSG00000135999.12	EPC2
chr2	148866470	148888823	-	ENSG00000231079.7	KIF5C-AS1
chr2	148875227	149026759	+	ENSG00000168280.17	KIF5C
chr2	149038107	149215262	+	ENSG00000150556.17	LYPD6B
chr2	149320593	149321436	+	ENSG00000224337.1	FAM8A3P
chr2	149329985	149474138	+	ENSG00000187123.15	LYPD6
chr2	149569637	149587778	-	ENSG00000168288.13	MMADHC
chr2	149587196	150047447	+	ENSG00000231969.2	MMADHC-DT
chr2	149610668	149610774	-	ENSG00000207270.1	RNU6-601P
chr2	149745648	149859191	-	ENSG00000162947.5	LINC01931
chr2	150150633	150166266	-	ENSG00000286081.1	AC016682.1
chr2	150169474	150356460	+	ENSG00000230645.2	LINC01818
chr2	150468195	150539011	-	ENSG00000115963.13	RND3
chr2	150595102	150620067	-	ENSG00000232359.1	AC104777.1
chr2	150612381	150635818	+	ENSG00000224048.6	LINC02612
chr2	151001220	151048774	-	ENSG00000222031.1	AC023469.1
chr2	151247940	151261863	-	ENSG00000184898.7	RBM43
chr2	151832768	152099475	-	ENSG00000182389.19	CACNB4
chr2	152116801	152175763	-	ENSG00000115145.10	STAM2
chr2	152176020	152225211	+	ENSG00000286234.1	AC079790.2
chr2	152335174	152649826	+	ENSG00000157827.20	FMNL2
chr2	152635268	152641275	-	ENSG00000286207.1	AC012443.2
chr2	152651593	152717997	-	ENSG00000196504.17	PRPF40A
chr2	152717893	152761253	+	ENSG00000177917.10	ARL6IP6
chr2	152876820	152877767	+	ENSG00000226213.1	UBQLN4P2
chr2	153158938	153159683	+	ENSG00000214025.2	ATP5PBP4
chr2	153168399	153201762	-	ENSG00000224612.2	AC011901.1
chr2	153421616	153593288	-	ENSG00000227400.2	AC012501.2
chr2	153871922	154453979	+	ENSG00000144278.15	GALNT13
chr2	154435853	154457438	-	ENSG00000224675.1	AC009227.1
chr2	154590407	154590528	+	ENSG00000223290.1	RNA5SP107
chr2	155311023	155311409	+	ENSG00000233709.1	MTND4P28
chr2	155311697	155313427	+	ENSG00000233039.1	MTND5P30
chr2	155313440	155313958	-	ENSG00000233248.1	MTND6P9
chr2	155314066	155314368	+	ENSG00000229935.1	MTCYBP9
chr2	156324437	156342348	-	ENSG00000153234.14	NR4A2
chr2	156435290	156613735	+	ENSG00000115159.16	GPD2
chr2	156803339	156891160	+	ENSG00000286889.1	AC096589.1
chr2	157210847	157211539	-	ENSG00000213194.3	CDK7P1
chr2	157414619	157488961	-	ENSG00000115165.10	CYTIP
chr2	157736444	157876330	-	ENSG00000115170.15	ACVR1
chr2	157876702	158136154	+	ENSG00000007001.12	UPP2
chr2	157985789	157985894	-	ENSG00000212410.1	RNU6-932P
chr2	158166650	158236169	+	ENSG00000227480.2	CCDC148-AS1
chr2	158171073	158456753	-	ENSG00000153237.18	CCDC148
chr2	158456964	158682879	+	ENSG00000144283.21	PKP4
chr2	158658337	158735002	-	ENSG00000204380.4	PKP4-AS1
chr2	158685903	158753775	+	ENSG00000228586.1	AC005042.2
chr2	158968640	159232659	+	ENSG00000115183.15	TANC1
chr2	160099667	160200313	-	ENSG00000115221.12	ITGB6
chr2	160141981	160271888	-	ENSG00000285155.1	AC092153.1
chr2	160257718	160271880	-	ENSG00000285373.2	LINC02478
chr2	160272151	160493807	-	ENSG00000153250.20	RBMS1
chr2	161424332	161985282	+	ENSG00000144290.17	SLC4A10
chr2	161577192	161625752	-	ENSG00000288091.1	AC062022.2
chr2	161580072	161581350	+	ENSG00000235716.1	KRT18P46
chr2	161931199	161931466	-	ENSG00000234732.1	RPEP5
chr2	161992245	162074215	-	ENSG00000197635.10	DPP4
chr2	162142882	162152404	-	ENSG00000115263.15	GCG
chr2	162371407	162838767	-	ENSG00000184611.12	KCNH7
chr2	162768936	162797972	+	ENSG00000237750.2	KCNH7-AS1
chr2	163152251	163153307	-	ENSG00000230282.1	RPL7P61
chr2	163593396	163736012	-	ENSG00000182263.14	FIGN
chr2	163743913	164352223	-	ENSG00000237844.2	AC016766.1
chr2	164492417	164621482	-	ENSG00000115290.10	GRB14
chr2	164573741	164574054	+	ENSG00000277998.1	AC107075.1
chr2	164653624	164843679	-	ENSG00000082438.17	COBLL1
chr2	164840661	165208261	+	ENSG00000236283.5	AC019197.1
chr2	164896186	164955525	-	ENSG00000169507.9	SLC38A11
chr2	165087522	165204067	-	ENSG00000153253.18	SCN3A
chr2	165194993	165392310	+	ENSG00000136531.17	SCN2A
chr2	165433438	165436614	-	ENSG00000288089.1	AC011303.1
chr2	165469647	165689407	+	ENSG00000178662.16	CSRNP3
chr2	165794857	165846091	-	ENSG00000229195.1	AC009495.1
chr2	165833048	165839098	-	ENSG00000232411.1	AC009495.2
chr2	165857475	165953816	-	ENSG00000123607.15	TTC21B
chr2	165957188	166390771	+	ENSG00000236107.10	SCN1A-AS1
chr2	165984641	166149214	-	ENSG00000144285.21	SCN1A
chr2	166123494	166123597	-	ENSG00000238813.1	AC010127.1
chr2	166403573	166611482	-	ENSG00000136546.16	SCN7A
chr2	166888487	167259753	+	ENSG00000163092.20	XIRP2
chr2	167293171	167558333	+	ENSG00000228222.1	AC073050.1
chr2	167814757	167941180	-	ENSG00000235335.3	B3GALT1-AS1
chr2	167954020	168247595	-	ENSG00000198648.11	STK39
chr2	168455862	168775137	+	ENSG00000172292.14	CERS6
chr2	168771951	168786961	-	ENSG00000227617.9	CERS6-AS1
chr2	168834132	168913371	-	ENSG00000152253.9	SPC25
chr2	168901291	168910000	+	ENSG00000152254.11	G6PC2
chr2	168915498	169031324	-	ENSG00000073734.10	ABCB11
chr2	169064789	169096167	+	ENSG00000073737.16	DHRS9
chr2	169100743	169101210	+	ENSG00000235321.1	AC007556.1
chr2	169115195	169115680	+	ENSG00000235995.1	UBE2V1P6
chr2	169127109	169362534	-	ENSG00000081479.15	LRP2
chr2	169479480	169506655	+	ENSG00000163093.12	BBS5
chr2	169479480	169525922	+	ENSG00000251569.1	AC093899.2
chr2	169509702	169526258	+	ENSG00000239474.7	KLHL41
chr2	169528508	169573875	-	ENSG00000138399.18	FASTKD1
chr2	169694488	169776989	+	ENSG00000213160.10	KLHL23
chr2	169767185	169768799	-	ENSG00000231550.1	PTCHD3P2
chr2	169790093	169790885	+	ENSG00000214369.2	AC009967.2
chr2	169791933	169812064	+	ENSG00000138385.16	SSB
chr2	169810081	169824931	-	ENSG00000138382.15	METTL5
chr2	169827454	170084131	+	ENSG00000144357.17	UBR3
chr2	170178145	170655171	+	ENSG00000071909.18	MYO3B
chr2	170332085	170408564	-	ENSG00000231898.9	MYO3B-AS1
chr2	170700368	170813670	-	ENSG00000234350.5	AC007405.2
chr2	170783786	170798971	+	ENSG00000204334.7	ERICH2
chr2	170813213	170861151	+	ENSG00000128683.14	GAD1
chr2	170814686	170818037	-	ENSG00000235934.2	AC007405.3
chr2	170820066	170821295	-	ENSG00000286611.1	AC007405.5
chr2	170890393	170914873	-	ENSG00000286115.1	AC010092.1
chr2	170928464	170967130	+	ENSG00000115806.13	GORASP2
chr2	170990823	171231314	-	ENSG00000198586.14	TLK1
chr2	171317405	171434802	-	ENSG00000123600.19	METTL8
chr2	171434217	171485052	+	ENSG00000115827.14	DCAF17
chr2	171522247	171558129	+	ENSG00000071967.12	CYBRD1
chr2	171587093	171587259	+	ENSG00000233934.2	RPL21P38
chr2	171687409	171748420	+	ENSG00000077380.15	DYNC1I2
chr2	171783405	171999859	-	ENSG00000115840.14	SLC25A12
chr2	171922448	171983686	+	ENSG00000128708.13	HAT1
chr2	172084740	172089677	+	ENSG00000144355.15	DLX1
chr2	172099438	172102900	-	ENSG00000115844.11	DLX2
chr2	172103006	172109982	+	ENSG00000236651.1	DLX2-DT
chr2	172137345	172370401	+	ENSG00000232555.2	AC104088.1
chr2	172427354	172506459	+	ENSG00000091409.15	ITGA6
chr2	172464262	172466022	-	ENSG00000232788.1	ITGA6-AS1
chr2	172480840	172556596	-	ENSG00000225205.5	AC078883.1
chr2	172735274	173052893	+	ENSG00000091428.18	RAPGEF4
chr2	173075435	173268015	+	ENSG00000091436.17	MAP3K20
chr2	173166446	173282036	-	ENSG00000238133.6	MAP3K20-AS1
chr2	173354820	173368997	+	ENSG00000144354.14	CDCA7
chr2	173477996	173478400	-	ENSG00000236832.1	AC073465.2
chr2	173575110	173576341	-	ENSG00000237016.1	AC013410.1
chr2	173871653	173872465	-	ENSG00000234415.1	RPL5P7
chr2	173880850	173965702	-	ENSG00000172845.15	SP3
chr2	174025280	174027163	+	ENSG00000260868.1	LINC01960
chr2	174043008	174043880	+	ENSG00000235414.3	RPSAP24
chr2	174072447	174248599	-	ENSG00000138430.16	OLA1
chr2	174171891	174172725	+	ENSG00000270799.1	AC013467.3
chr2	174326027	174330643	+	ENSG00000231453.1	LINC01305
chr2	174334438	174337566	-	ENSG00000280414.1	AC018470.1
chr2	174334954	174338500	+	ENSG00000217236.2	SP9
chr2	174348022	174395712	-	ENSG00000138433.16	CIR1
chr2	174431571	174487094	-	ENSG00000163328.13	GPR155
chr2	174547141	174776720	+	ENSG00000236449.2	AC010894.3
chr2	174559572	174682916	-	ENSG00000115935.17	WIPF1
chr2	174575227	174587726	+	ENSG00000237798.1	AC010894.4
chr2	174719908	174720318	+	ENSG00000235655.3	H3P6
chr2	174747592	174787935	-	ENSG00000138435.16	CHRNA1
chr2	174799313	175005381	-	ENSG00000128656.14	CHN1
chr2	175257250	175463180	+	ENSG00000229066.2	AC093459.1
chr2	176077472	176083913	-	ENSG00000174279.4	EVX2
chr2	176092721	176095944	+	ENSG00000128714.6	HOXD13
chr2	176099795	176102489	+	ENSG00000170178.7	HOXD12
chr2	176104216	176109754	+	ENSG00000128713.14	HOXD11
chr2	176108790	176119942	+	ENSG00000128710.5	HOXD10
chr2	176121611	176137098	-	ENSG00000237380.7	HOXD-AS2
chr2	176122719	176124937	+	ENSG00000128709.13	HOXD9
chr2	176129694	176132695	+	ENSG00000175879.9	HOXD8
chr2	176136612	176173102	+	ENSG00000128652.11	HOXD3
chr2	176150303	176150412	+	ENSG00000207744.1	MIR10B
chr2	176151550	176153226	+	ENSG00000170166.6	HOXD4
chr2	176200908	176201252	-	ENSG00000218175.2	AC016739.1
chr2	176495255	176819180	+	ENSG00000224577.3	LINC01117
chr2	176629572	176637931	-	ENSG00000163364.10	LINC01116
chr2	176664676	176664766	+	ENSG00000252027.1	RNU6ATAC14P
chr2	176723614	176819310	-	ENSG00000230552.6	AC092162.2
chr2	176804987	176806337	-	ENSG00000237053.1	FUCA1P1
chr2	176809426	176809859	-	ENSG00000223777.1	AC092162.1
chr2	176822030	176823653	+	ENSG00000279205.1	AC092162.3
chr2	176830839	176849428	-	ENSG00000227098.2	AC073636.1
chr2	176929985	176930090	-	ENSG00000206866.1	RNU6-187P
chr2	176989418	177164656	-	ENSG00000236501.6	AC074286.1
chr2	177111036	177212662	-	ENSG00000229337.2	AC079305.4
chr2	177138699	177138797	+	ENSG00000251746.1	RNA5SP112
chr2	177177695	177178255	+	ENSG00000226273.2	AC079305.3
chr2	177194983	177195095	+	ENSG00000201102.1	AC079305.1
chr2	177227595	177392697	-	ENSG00000116044.16	NFE2L2
chr2	177255945	177256010	-	ENSG00000265396.1	MIR3128
chr2	177264359	177265515	+	ENSG00000222043.2	AC079305.2
chr2	177283508	177392691	-	ENSG00000213963.6	AC019080.1
chr2	177300600	177302006	+	ENSG00000271825.1	AC019080.3
chr2	177306373	177310572	+	ENSG00000271996.1	AC019080.4
chr2	177313806	177313882	-	ENSG00000278418.1	MIR6512
chr2	177317715	177318471	-	ENSG00000280374.1	AC019080.5
chr2	177344443	177344836	+	ENSG00000237178.2	H3P7
chr2	177345858	177345961	-	ENSG00000238295.1	AC019080.2
chr2	177392757	177559299	+	ENSG00000018510.16	AGPS
chr2	177623244	178072777	-	ENSG00000128655.18	PDE11A
chr2	177628069	178108339	-	ENSG00000284741.1	PDE11A
chr2	177653419	177723289	+	ENSG00000229941.6	AC012499.1
chr2	177953111	178011989	-	ENSG00000236664.1	AC011998.3
chr2	177997273	177998770	-	ENSG00000213962.2	API5P2
chr2	178105637	178105753	+	ENSG00000227241.1	AC011998.1
chr2	178112424	178139011	+	ENSG00000155636.15	RBM45
chr2	178142548	178142651	+	ENSG00000223096.1	RNU5E-9P
chr2	178194481	178402893	+	ENSG00000079156.17	OSBPL6
chr2	178413635	178440243	+	ENSG00000223960.7	CHROMR
chr2	178521183	178779963	+	ENSG00000237298.10	TTN-AS1
chr2	178525989	178830802	-	ENSG00000155657.26	TTN
chr2	178828349	179007807	+	ENSG00000287149.1	AC092640.1
chr2	178829757	179050086	-	ENSG00000163492.15	CCDC141
chr2	179101678	179264832	-	ENSG00000187231.14	SESTD1
chr2	179399728	179400875	-	ENSG00000237964.3	AC068042.1
chr2	179441982	179861612	-	ENSG00000144331.20	ZNF385B
chr2	180967248	181076585	+	ENSG00000170035.16	UBE2E3
chr2	180979427	180980090	-	ENSG00000236153.1	AC104076.1
chr2	181076051	181105968	-	ENSG00000238171.1	AC068196.1
chr2	181086076	181409321	+	ENSG00000234663.7	LINC01934
chr2	181457202	181538940	+	ENSG00000115232.14	ITGA4
chr2	181536672	181680665	-	ENSG00000188452.14	CERKL
chr2	181673088	181680876	-	ENSG00000162992.3	NEUROD1
chr2	181683113	181685707	+	ENSG00000234595.1	AC013733.2
chr2	181738606	181738715	+	ENSG00000221023.1	RNU6ATAC19P
chr2	181887851	181891663	-	ENSG00000260742.1	AC009962.1
chr2	181891730	181930738	+	ENSG00000138434.17	ITPRID2
chr2	181954241	182131398	+	ENSG00000150722.10	PPP1R1C
chr2	181961212	181962478	-	ENSG00000213958.2	KRT18P29
chr2	182140036	182523192	-	ENSG00000115252.18	PDE1A
chr2	182716041	182794464	+	ENSG00000077232.18	DNAJC10
chr2	182909115	183038858	-	ENSG00000061676.15	NCKAP1
chr2	183078559	183100008	+	ENSG00000162999.13	DUSP19
chr2	183083405	183108519	-	ENSG00000224643.5	AC064871.3
chr2	183253652	183495501	+	ENSG00000287621.1	AC021851.2
chr2	183997372	184002264	+	ENSG00000286807.1	AC093639.2
chr2	186032884	186422432	-	ENSG00000237877.7	LINC01473
chr2	186486253	186509361	+	ENSG00000065548.18	ZC3H15
chr2	186488624	186489083	-	ENSG00000224323.2	DPRXP1
chr2	186590056	186680901	+	ENSG00000138448.12	ITGAV
chr2	186641339	186695287	-	ENSG00000227227.1	AC017101.1
chr2	187003220	187556288	+	ENSG00000224063.6	AC007319.1
chr2	187341964	187448460	-	ENSG00000064989.13	CALCRL
chr2	187464230	187565760	-	ENSG00000003436.16	TFPI
chr2	187712816	188384313	-	ENSG00000231689.2	LINC01090
chr2	187825341	187826449	+	ENSG00000235616.1	ST13P2
chr2	188291669	188595931	+	ENSG00000144366.16	GULP1
chr2	188974373	189012746	+	ENSG00000168542.15	COL3A1
chr2	188978092	188978161	+	ENSG00000221502.1	MIR1245A
chr2	188978093	188978161	-	ENSG00000283238.1	MIR1245B
chr2	189031898	189225312	-	ENSG00000204262.14	COL5A2
chr2	189095063	189096158	+	ENSG00000228073.1	AC133106.1
chr2	189133036	189133111	-	ENSG00000264725.1	MIR3129
chr2	189311263	189311967	-	ENSG00000213601.3	KRT18P19
chr2	189441446	189475552	+	ENSG00000115368.10	WDR75
chr2	189625443	189626259	-	ENSG00000276828.1	AC012488.1
chr2	189674290	189761193	+	ENSG00000151687.14	ANKAR
chr2	189746660	189763227	-	ENSG00000128694.12	OSGEPL1
chr2	189762704	189765556	+	ENSG00000253559.1	OSGEPL1-AS1
chr2	189763859	189764456	-	ENSG00000273240.1	AC013468.1
chr2	189770267	189784364	-	ENSG00000128699.14	ORMDL1
chr2	189784085	189877629	+	ENSG00000064933.17	PMS1
chr2	189879609	190203484	+	ENSG00000187699.10	C2orf88
chr2	190055700	190062729	-	ENSG00000138379.5	MSTN
chr2	190189735	190344193	-	ENSG00000198130.16	HIBCH
chr2	190343570	190371665	+	ENSG00000151689.13	INPP1
chr2	190408355	190509205	+	ENSG00000151690.15	MFSD6
chr2	190504338	190534722	-	ENSG00000189362.12	NEMP2
chr2	190908460	191020960	-	ENSG00000115415.19	STAT1
chr2	191017954	191019079	+	ENSG00000230686.1	AC067945.2
chr2	191021526	191032314	+	ENSG00000231858.5	AC067945.3
chr2	191029576	191151596	-	ENSG00000138378.19	STAT4
chr2	191045458	191065345	+	ENSG00000288064.1	AC067945.4
chr2	191154118	191156070	-	ENSG00000280083.1	AC079777.1
chr2	191174233	191174835	+	ENSG00000230611.1	HMGB1P27
chr2	191229165	191246172	-	ENSG00000227542.1	AC092614.1
chr2	191245185	191425389	+	ENSG00000128641.19	MYO1B
chr2	191678068	191696664	+	ENSG00000173559.13	NABP1
chr2	191682452	191682633	+	ENSG00000274845.1	AC114778.1
chr2	191693198	191738594	+	ENSG00000288582.1	AC114778.2
chr2	191792797	191820257	+	ENSG00000225884.3	AC098872.1
chr2	191834310	191847088	-	ENSG00000168497.5	CAVIN2
chr2	191949043	192194933	-	ENSG00000144339.12	TMEFF2
chr2	192749845	192776899	+	ENSG00000227418.6	PCGEM1
chr2	194344190	194576578	+	ENSG00000225539.7	LINC01821
chr2	195575977	195737702	+	ENSG00000196950.14	SLC39A10
chr2	195670372	195670474	-	ENSG00000201813.1	RNU6-915P
chr2	195737703	196068837	-	ENSG00000118997.14	DNAH7
chr2	196063312	196063963	-	ENSG00000227878.2	AC114760.1
chr2	196189099	196593684	-	ENSG00000138411.13	HECW2
chr2	196289409	196289707	+	ENSG00000276200.1	RN7SL820P
chr2	196763035	196799725	-	ENSG00000119041.11	GTF3C3
chr2	196804415	196810276	-	ENSG00000187944.3	C2orf66
chr2	196967017	197311173	-	ENSG00000065413.20	ANKRD44
chr2	197014990	197016015	+	ENSG00000225636.1	HNRNPA3P15
chr2	197028711	197030143	-	ENSG00000224442.1	AC017035.1
chr2	197197991	197199273	+	ENSG00000231621.1	ANKRD44-AS1
chr2	197311393	197312740	+	ENSG00000225979.1	AC010746.2
chr2	197379701	197380892	-	ENSG00000213104.3	NPM1P46
chr2	197388515	197435091	-	ENSG00000115524.16	SF3B1
chr2	197404718	197404854	+	ENSG00000202434.1	AC010746.1
chr2	197726879	197786762	-	ENSG00000152430.17	BOLL
chr2	197804593	198572581	+	ENSG00000115896.16	PLCL1
chr2	197817423	197836326	-	ENSG00000286020.1	AC011997.2
chr2	198299276	198375490	-	ENSG00000236653.3	LINC01923
chr2	199269500	199471266	-	ENSG00000119042.17	SATB2
chr2	199457700	199476935	+	ENSG00000225953.3	SATB2-AS1
chr2	199608068	199750341	+	ENSG00000238217.6	LINC01877
chr2	199760544	199851173	-	ENSG00000226124.7	FTCDNL1
chr2	199867396	199911159	-	ENSG00000232732.11	AC097717.1
chr2	199872172	199872378	+	ENSG00000227004.2	AC108032.1
chr2	199911293	199955935	+	ENSG00000178074.6	C2orf69
chr2	199928913	199955736	-	ENSG00000162971.11	TYW5
chr2	199955317	200008540	+	ENSG00000162972.10	MAIP1
chr2	200305881	200482264	+	ENSG00000196141.14	SPATS2L
chr2	200390666	200478018	-	ENSG00000287299.1	AC012459.1
chr2	200488958	200519784	-	ENSG00000155729.13	KCTD18
chr2	200510008	200584096	+	ENSG00000163535.18	SGO2
chr2	200586014	200677064	+	ENSG00000138356.14	AOX1
chr2	200678233	200734109	+	ENSG00000244301.6	AOX3P
chr2	200695723	200748040	+	ENSG00000284084.1	AOX3P-AOX2P
chr2	200711535	200735186	-	ENSG00000237166.2	LINC01792
chr2	200780495	200812170	-	ENSG00000230408.3	BZW1-AS1
chr2	200810594	200827338	+	ENSG00000082153.18	BZW1
chr2	200844240	200845461	+	ENSG00000224346.1	BICD1P1
chr2	200849038	200849144	-	ENSG00000223092.1	RNA5SP115
chr2	200853009	200864744	-	ENSG00000013441.16	CLK1
chr2	200863152	200863247	-	ENSG00000252759.1	AC005037.2
chr2	200870907	200889303	-	ENSG00000240344.9	PPIL3
chr2	200889327	200903938	+	ENSG00000196290.15	NIF3L1
chr2	200899020	200899121	+	ENSG00000252916.1	RNU6-762P
chr2	200908977	200963680	-	ENSG00000115942.9	ORC2
chr2	200963263	201009102	+	ENSG00000183308.6	AC005037.1
chr2	200973718	201071671	-	ENSG00000155744.9	FAM126B
chr2	201063089	201064051	+	ENSG00000225695.1	HNRNPA1P35
chr2	201066691	201067191	+	ENSG00000226658.1	RPL23AP30
chr2	201071433	201085750	+	ENSG00000119013.9	NDUFB3
chr2	201079842	201079944	+	ENSG00000252148.1	RNU6-1206P
chr2	201116154	201176687	+	ENSG00000003402.20	CFLAR
chr2	201140278	201157823	-	ENSG00000226312.7	CFLAR-AS1
chr2	201162484	201162680	-	ENSG00000235579.1	AC007283.2
chr2	201166965	201167546	+	ENSG00000234431.2	AC007283.1
chr2	201182898	201229406	+	ENSG00000003400.15	CASP10
chr2	201233443	201287711	+	ENSG00000064012.22	CASP8
chr2	201288271	201357398	-	ENSG00000155749.12	FLACC1
chr2	201487421	201619178	-	ENSG00000155754.15	C2CD6
chr2	201620184	201643570	-	ENSG00000155755.19	TMEM237
chr2	201621646	201623430	-	ENSG00000241790.2	ENO1P4
chr2	201643398	201645990	+	ENSG00000287133.1	AC007279.2
chr2	201644870	201698694	-	ENSG00000082126.18	MPP4
chr2	201790461	201895550	+	ENSG00000138395.16	CDK15
chr2	201808681	201808782	+	ENSG00000202137.1	AC007242.1
chr2	202073255	202205188	+	ENSG00000182329.14	KIAA2012
chr2	202178660	202179391	-	ENSG00000231903.1	AC079354.2
chr2	202179297	202179971	+	ENSG00000227890.1	PSMA2P3
chr2	202265736	202303661	+	ENSG00000055044.11	NOP58
chr2	202276431	202276518	+	ENSG00000212534.1	SNORD70
chr2	202278108	202278192	+	ENSG00000212309.1	SNORD70B
chr2	202291332	202291421	+	ENSG00000271852.1	SNORD11B
chr2	202293051	202293134	+	ENSG00000238317.2	SNORD11
chr2	202302122	202303614	-	ENSG00000286223.1	AC064836.4
chr2	202333439	202333728	+	ENSG00000264275.1	RN7SL753P
chr2	202336024	202336727	-	ENSG00000226261.1	AC064836.1
chr2	202336739	202337200	+	ENSG00000272966.1	AC064836.2
chr2	202376327	202567751	+	ENSG00000204217.15	BMPR2
chr2	202634969	202769757	+	ENSG00000138439.12	FAM117B
chr2	202773150	202871985	-	ENSG00000163596.16	ICA1L
chr2	202874782	203014798	-	ENSG00000138442.9	WDR12
chr2	202912214	202988263	+	ENSG00000138380.18	CARF
chr2	202924609	202925904	+	ENSG00000232479.2	AC010900.1
chr2	203014879	203226378	+	ENSG00000144426.18	NBEAL1
chr2	203074685	203075142	-	ENSG00000225124.1	RPL23AP36
chr2	203238977	203306026	+	ENSG00000119004.16	CYP20A1
chr2	203328239	203447728	+	ENSG00000138443.16	ABI2
chr2	203394345	203535335	-	ENSG00000173166.18	RAPH1
chr2	203634577	203636016	-	ENSG00000233459.1	AC125238.2
chr2	204306842	204307364	+	ENSG00000236681.1	DSTNP5
chr2	204545475	205620162	+	ENSG00000116117.18	PARD3B
chr2	204668863	204678698	-	ENSG00000287524.1	AC007736.1
chr2	205681990	205798133	+	ENSG00000118257.16	NRP2
chr2	205756469	205764006	-	ENSG00000225216.6	AC007362.1
chr2	205900630	205900958	+	ENSG00000201875.1	RN7SKP178
chr2	205949091	205950145	+	ENSG00000213739.3	PPIAP68
chr2	205989585	206000858	+	ENSG00000225610.1	AC007679.2
chr2	205993721	206086303	-	ENSG00000114933.16	INO80D
chr2	206007880	206007974	-	ENSG00000252485.1	AC007679.4
chr2	206114817	206159509	-	ENSG00000023228.14	NDUFS1
chr2	206651621	206718396	-	ENSG00000232125.4	DYTN
chr2	206686517	206687362	-	ENSG00000213083.3	AC010731.2
chr2	206701065	206701185	-	ENSG00000207319.1	AC010731.1
chr2	206737763	206765328	-	ENSG00000138400.13	MDH1B
chr2	206765357	206796189	+	ENSG00000118246.14	FASTKD2
chr2	206783234	206783308	-	ENSG00000283469.1	MIR3130-1
chr2	206783234	206783308	+	ENSG00000263468.1	MIR3130-2
chr2	206798325	206926876	+	ENSG00000229321.2	AC008269.1
chr2	206821190	206822294	-	ENSG00000260171.1	AC008269.2
chr2	206939518	206969474	+	ENSG00000144410.5	CPO
chr2	207074137	207167267	-	ENSG00000118263.15	KLF7
chr2	207166120	207248668	+	ENSG00000229647.2	MYOSLID
chr2	207166400	207166498	+	ENSG00000277590.1	MIR7845
chr2	207173634	207222790	+	ENSG00000224342.1	AC007879.1
chr2	207239864	207529795	-	ENSG00000223725.6	AC009226.1
chr2	207711540	207761839	+	ENSG00000163249.12	CCNYL1
chr2	207753872	207754435	-	ENSG00000272851.1	AC096772.2
chr2	207754807	207754881	+	ENSG00000284079.1	MIR4775
chr2	207762598	207769906	-	ENSG00000163251.4	FZD5
chr2	207821288	208025527	-	ENSG00000178385.15	PLEKHM3
chr2	208019638	208019741	-	ENSG00000212246.1	RNU6-360P
chr2	208031383	208031953	-	ENSG00000185078.3	AC093698.1
chr2	208054161	208054258	-	ENSG00000251941.1	RNA5SP116
chr2	208057248	208057745	-	ENSG00000224839.1	RPL12P17
chr2	208359714	208854503	+	ENSG00000144407.9	PTH2R
chr2	208466238	208466626	-	ENSG00000227430.1	H3P9
chr2	208469850	208540413	+	ENSG00000231896.1	AC019185.1
chr2	209353977	209387322	-	ENSG00000286249.1	AC016743.1
chr2	209424058	209734118	+	ENSG00000078018.20	MAP2
chr2	209771832	209999300	+	ENSG00000144406.19	UNC80
chr2	210002565	210022260	+	ENSG00000197713.15	RPE
chr2	210021421	210171409	-	ENSG00000144445.17	KANSL1L
chr2	210030572	210064356	+	ENSG00000229127.2	KANSL1L-AS1
chr2	210171518	210233976	+	ENSG00000279317.2	AC006994.2
chr2	210187126	210225447	-	ENSG00000115361.8	ACADL
chr2	210324759	210469246	+	ENSG00000234281.5	LANCL1-AS1
chr2	211375717	212538841	-	ENSG00000178568.15	ERBB4
chr2	212581357	213021545	-	ENSG00000273118.1	AC093865.1
chr2	212795300	212819264	+	ENSG00000234308.3	LINC01878
chr2	212999691	213152427	-	ENSG00000030419.16	IKZF2
chr2	213152970	213153659	+	ENSG00000270659.1	AC079610.1
chr2	213155806	213167712	-	ENSG00000236193.3	LINC01953
chr2	213284379	214410501	+	ENSG00000144451.19	SPAG16
chr2	214810181	214963575	+	ENSG00000229267.3	SNHG31
chr2	214931542	215138626	-	ENSG00000144452.15	ABCA12
chr2	215004782	215085488	+	ENSG00000227769.7	AC072062.1
chr2	215178791	215310947	-	ENSG00000286836.1	AC092844.1
