anchor_chr	anchor_start	anchor_end	anchor_anchor_ID	peak_chr	peak_start	peak_end	peak_Conc_T2E	peak_Conc_NonT2E	peak_Fold	peak_p.value	peak_FDR
chr17	72390000	72430000	15371	chr17	72427063	72427564	5.69	4.56	1.13	0.00106	0.015
chr7	98390000	98410000	7984	chr7	98406848	98407349	4.36	5.41	-1.05	0.00106	0.015
chr16	78220000	78250000	14714	chr16	78222107	78222608	3.13	4.61	-1.48	0.00106	0.015
chr20	41940000	41980000	16557	chr20	41969757	41970258	4.46	2.74	1.72	0.00107	0.0151
chr10	7660000	7700000	9959	chr10	7667232	7667733	5	3.56	1.44	0.00107	0.0151
chr18	8360000	8410000	15550	chr18	8374205	8374706	3.47	4.98	-1.51	0.00107	0.0151
chr17	58980000	59020000	15263	chr17	59004573	59005074	3.81	5.1	-1.29	0.00108	0.0152
chr9	93290000	93320000	9521	chr9	93312635	93313136	5.58	6.28	-0.71	0.00108	0.0152
chr1	210300000	210320000	1340	chr1	210311246	210311747	6.33	5.39	0.95	0.00108	0.0152
chr1	77520000	77540000	641	chr1	77533600	77534101	4.61	5.5	-0.89	0.00108	0.0152
chr17	73690000	73740000	15383	chr17	73706510	73707011	6.52	5.65	0.87	0.00108	0.0152
chr19	5550000	5590000	15934	chr19	5575680	5576181	2.72	4.46	-1.74	0.00108	0.0152
chr22	23100000	23140000	17023	chr22	23138105	23138606	5.18	4.06	1.12	0.00108	0.0152
chr2	159110000	159130000	2493	chr2	159129948	159130449	5.12	4.09	1.03	0.00108	0.0152
chr17	64260000	64320000	15301	chr17	64282329	64282830	6.63	5.81	0.82	0.00108	0.0152
chr20	34500000	34590000	16478	chr20	34549807	34550308	5.32	6.28	-0.96	0.00108	0.0152
chr3	183110000	183130000	4180	chr3	183110863	183111364	3.16	4.69	-1.53	0.00108	0.0152
chr4	94400000	94430000	4764	chr4	94412884	94413385	4.78	5.75	-0.97	0.00109	0.0152
chr9	113570000	113600000	9684	chr9	113596802	113597303	5.47	4.55	0.92	0.00109	0.0152
chr2	24400000	24420000	1768	chr2	24402707	24403208	6.21	5.23	0.98	0.00109	0.0153
chr17	7030000	7060000	14855	chr17	7044960	7045461	3.73	4.96	-1.22	0.00109	0.0153
chr16	78220000	78250000	14714	chr16	78235696	78236197	4.14	5.25	-1.11	0.00109	0.0153
chr22	32500000	32540000	17116	chr22	32531186	32531687	5.23	4.08	1.14	0.00109	0.0153
chr15	75630000	75680000	14088	chr15	75661117	75661618	5.68	4.76	0.92	0.00109	0.0153
chr2	28380000	28460000	1799	chr2	28436573	28437074	5.84	4.68	1.16	0.0011	0.0153
chr2	69700000	69740000	2075	chr2	69715565	69716066	3.47	4.88	-1.41	0.0011	0.0154
chr6	167470000	167510000	7287	chr6	167496300	167496801	4.9	6.07	-1.17	0.00111	0.0155
chr13	24210000	24250000	12767	chr13	24220122	24220623	4.56	5.48	-0.92	0.00111	0.0155
chr7	47790000	47840000	7652	chr7	47807062	47807563	5.49	4.45	1.04	0.00111	0.0155
chr12	121770000	121820000	12672	chr12	121789404	121789905	5.68	4.41	1.27	0.00111	0.0155
chr16	31420000	31510000	14519	chr16	31427545	31428455	6.15	5	1.14	0.00112	0.0155
chr14	76860000	76910000	13553	chr14	76863872	76864373	4.84	3.49	1.35	0.00112	0.0156
chr20	51580000	51660000	16667	chr20	51651950	51652451	5.3	4.29	1	0.00112	0.0156
chr14	22820000	22880000	13176	chr14	22822516	22823017	5.86	4.9	0.96	0.00112	0.0156
chr11	11750000	11820000	10958	chr11	11814570	11815071	6.27	4.33	1.94	0.00113	0.0156
chr2	105340000	105380000	2267	chr2	105373954	105374455	6.06	5.08	0.98	0.00113	0.0157
chr6	33580000	33610000	6469	chr6	33590195	33590696	6.13	5.2	0.93	0.00114	0.0157
chr1	184800000	184820000	1207	chr1	184803919	184804420	4.58	5.73	-1.14	0.00114	0.0157
chr10	75900000	75930000	10466	chr10	75906589	75907090	4.16	5.39	-1.23	0.00114	0.0157
chr20	37370000	37400000	16516	chr20	37384206	37384707	6.31	5.32	0.99	0.00114	0.0157
chr6	134130000	134190000	7039	chr6	134175188	134175689	8.12	7.47	0.65	0.00114	0.0157
chr1	184970000	185000000	1208	chr1	184982005	184982506	4.29	5.33	-1.04	0.00114	0.0158
chr1	53670000	53700000	490	chr1	53684517	53685018	5.26	4.09	1.17	0.00115	0.0158
chr11	10390000	10420000	10937	chr11	10414609	10415110	5.35	4.22	1.13	0.00116	0.0159
chr20	44070000	44100000	16583	chr20	44082570	44083071	5.04	3.65	1.38	0.00116	0.0159
chr12	57260000	57310000	12219	chr12	57306973	57307474	3.42	5.01	-1.6	0.00116	0.0159
chr6	46830000	46860000	6590	chr6	46835226	46835727	5.45	4.37	1.08	0.00116	0.0159
chr4	99390000	99440000	4775	chr4	99436899	99437400	3.98	5.33	-1.36	0.00116	0.0159
chr6	168370000	168390000	7293	chr6	168374290	168374791	4.77	3.4	1.37	0.00117	0.016
chr20	4070000	4120000	16279	chr20	4119783	4120284	4.89	3.57	1.32	0.00117	0.016
chr8	22560000	22590000	8475	chr8	22585002	22585503	5.73	4.72	1.02	0.00117	0.016
chr8	27310000	27330000	8514	chr8	27315450	27315951	4.52	5.6	-1.08	0.00117	0.0161
chr8	26310000	26340000	8508	chr8	26330678	26331179	4.88	5.99	-1.11	0.00117	0.0161
chr20	44070000	44100000	16583	chr20	44081461	44081962	4.97	3.49	1.48	0.00118	0.0161
chr2	1570000	1610000	1635	chr2	1588972	1589473	4.93	3.61	1.31	0.00118	0.0161
chr2	31320000	31350000	1824	chr2	31334715	31335216	5.12	3.76	1.36	0.00118	0.0161
chr6	37170000	37220000	6500	chr6	37209866	37210367	5.9	5.05	0.85	0.00118	0.0162
chr11	34560000	34600000	11111	chr11	34585912	34586413	4.44	5.6	-1.16	0.00118	0.0162
chr11	17370000	17390000	11013	chr11	17386244	17386745	6.54	5.73	0.81	0.00118	0.0162
chr5	174720000	174740000	6116	chr5	174735509	174736010	5.81	3.72	2.08	0.00118	0.0162
chr6	167470000	167510000	7287	chr6	167476342	167476843	1.92	4.37	-2.44	0.00119	0.0162
chr11	73230000	73270000	11401	chr11	73269139	73269640	5.11	3.67	1.45	0.00119	0.0162
chr10	17410000	17440000	10050	chr10	17427618	17428119	2.75	4.73	-1.98	0.00119	0.0162
chr9	113640000	113670000	9685	chr9	113647846	113648347	4.91	3.72	1.19	0.00119	0.0162
chr2	24800000	24850000	1771	chr2	24826074	24826575	5.21	3.88	1.33	0.0012	0.0163
chr9	18990000	19030000	9264	chr9	19012839	19013340	3.7	5.19	-1.49	0.0012	0.0163
chr22	18050000	18100000	16995	chr22	18049983	18050484	5.95	6.67	-0.72	0.0012	0.0163
chr14	92670000	92710000	13640	chr14	92690503	92691004	5.17	4.06	1.11	0.0012	0.0163
chr11	111420000	111460000	11600	chr11	111440489	111440990	5.55	4.48	1.07	0.0012	0.0163
chr1	113120000	113160000	817	chr1	113153103	113153604	2.59	4.47	-1.88	0.0012	0.0163
chr1	52280000	52310000	478	chr1	52306357	52306858	4.26	5.46	-1.2	0.00121	0.0164
chr14	56460000	56520000	13362	chr14	56512941	56513442	2.43	4.54	-2.12	0.00121	0.0164
chr2	239120000	239160000	3056	chr2	239159250	239159751	6.09	3.82	2.27	0.00121	0.0164
chr16	87770000	87790000	14779	chr16	87778775	87779276	5.9	4.84	1.06	0.00121	0.0164
chr17	57110000	57150000	15237	chr17	57130462	57130963	4.19	5.27	-1.08	0.00121	0.0164
chr11	118380000	118400000	11657	chr11	118398922	118399423	4.56	5.53	-0.97	0.00121	0.0164
chr10	71690000	71710000	10427	chr10	71706568	71707069	4.85	3.11	1.75	0.00121	0.0164
chr11	61770000	61810000	11292	chr11	61792485	61792986	8.25	7.72	0.53	0.00121	0.0164
chr17	72700000	72740000	15375	chr17	72717252	72717753	4.9	3.39	1.51	0.00122	0.0164
chr5	93570000	93600000	5636	chr5	93597048	93597549	6.01	3.98	2.03	0.00122	0.0165
chr5	170610000	170640000	6076	chr5	170633070	170633571	5.92	4.94	0.98	0.00122	0.0165
chr8	80470000	80500000	8807	chr8	80492653	80493154	4.46	5.45	-0.99	0.00122	0.0165
chr2	28380000	28460000	1799	chr2	28448690	28449191	5.44	4.11	1.32	0.00122	0.0165
chr2	28380000	28460000	1799	chr2	28450143	28450644	5.42	4.23	1.19	0.00122	0.0165
chrX	72120000	72140000	17476	chrX	72123884	72124385	5.86	4.98	0.87	0.00122	0.0165
chr10	86350000	86380000	10527	chr10	86355389	86355890	5.04	3.82	1.22	0.00122	0.0165
chr13	100220000	100250000	13091	chr13	100232107	100232608	3.6	5.07	-1.47	0.00123	0.0165
chr12	95100000	95140000	12429	chr12	95123738	95124239	4.81	3.31	1.5	0.00124	0.0166
chr2	105340000	105380000	2267	chr2	105375493	105375994	5.51	4.31	1.2	0.00124	0.0166
chr6	37170000	37220000	6500	chr6	37187185	37187686	5.42	4.35	1.07	0.00124	0.0167
chr7	36110000	36170000	7549	chr7	36137770	36138271	5.6	4.28	1.32	0.00125	0.0167
chr6	167470000	167510000	7287	chr6	167487678	167488179	3.4	4.81	-1.41	0.00125	0.0167
chr10	11970000	11990000	10000	chr10	11989431	11989932	4.32	5.36	-1.04	0.00125	0.0167
chr21	14840000	14880000	16787	chr21	14874182	14874683	3.72	4.92	-1.19	0.00125	0.0167
chr19	3450000	3480000	15915	chr19	3468022	3468523	5.05	3.8	1.25	0.00126	0.0168
chr10	123120000	123150000	10783	chr10	123139943	123140444	5.44	4	1.44	0.00127	0.017
chr6	37170000	37220000	6500	chr6	37190971	37191472	4.78	3.6	1.18	0.00128	0.017
chr13	44410000	44510000	12930	chr13	44428301	44428802	4.7	3.1	1.61	0.00128	0.017
chr10	128000000	128050000	10816	chr10	128005750	128006251	5.09	3.88	1.21	0.00128	0.017
chr16	86550000	86580000	14767	chr16	86577546	86578047	4.95	3.18	1.77	0.00129	0.0171
chr4	76720000	76790000	4635	chr4	76747987	76748488	4.64	5.65	-1.01	0.0013	0.0172
chr16	78110000	78140000	14713	chr16	78134918	78135419	4.51	5.54	-1.03	0.0013	0.0172
chr6	89940000	89970000	6805	chr6	89969960	89970461	4.57	5.6	-1.03	0.0013	0.0172
chr10	76280000	76320000	10468	chr10	76283602	76284103	3.64	4.95	-1.31	0.00131	0.0173
chr13	110920000	110950000	13142	chr13	110920462	110920963	5.19	3.88	1.3	0.00131	0.0173
chr6	31840000	31880000	6455	chr6	31861233	31861734	3.64	4.98	-1.33	0.00131	0.0173
chr13	43860000	43880000	12922	chr13	43879143	43879644	8.42	7.89	0.53	0.00131	0.0173
chr12	93380000	93410000	12407	chr12	93404958	93405459	4.32	5.36	-1.03	0.00131	0.0173
chr12	56750000	56780000	12215	chr12	56765740	56766241	4.57	5.85	-1.28	0.00131	0.0173
chr16	84170000	84200000	14749	chr16	84199020	84199521	5.2	3.7	1.51	0.00131	0.0173
chr2	8670000	8720000	1677	chr2	8679086	8679587	8.3	7.76	0.54	0.00132	0.0173
chr2	239120000	239160000	3056	chr2	239144214	239144715	5.67	4.3	1.37	0.00132	0.0173
chr8	125630000	125670000	9063	chr8	125641290	125641791	6.47	5.51	0.95	0.00132	0.0174
chr17	64260000	64320000	15301	chr17	64278179	64278680	5.6	4.55	1.05	0.00132	0.0174
chr12	92560000	92620000	12401	chr12	92593294	92593795	5.7	4.58	1.13	0.00132	0.0174
chr9	95090000	95160000	9534	chr9	95094335	95094836	4.43	2.88	1.55	0.00133	0.0174
chr5	61620000	61680000	5430	chr5	61638049	61638550	5.61	4.61	1	0.00133	0.0175
chr1	225830000	225860000	1460	chr1	225848463	225849457	5.75	4.75	0.99	0.00133	0.0175
chr2	64470000	64520000	2027	chr2	64482590	64483091	5.38	6.25	-0.88	0.00133	0.0175
chr19	18440000	18480000	16039	chr19	18476496	18476997	4.99	3.68	1.31	0.00134	0.0175
chr1	58720000	58810000	534	chr1	58802951	58803452	2.83	4.48	-1.66	0.00134	0.0176
chr2	149540000	149570000	2453	chr2	149562330	149562831	4.67	5.58	-0.92	0.00135	0.0176
chr3	130880000	130910000	3868	chr3	130903486	130903987	3.83	5.06	-1.22	0.00135	0.0176
chr12	56750000	56780000	12215	chr12	56779183	56779684	2.5	4.51	-2.01	0.00135	0.0176
chr12	124550000	124590000	12698	chr12	124582057	124582558	5.66	4.58	1.07	0.00135	0.0176
chr22	19610000	19640000	17002	chr22	19612950	19613451	4.82	3.41	1.4	0.00135	0.0177
chr6	47030000	47070000	6592	chr6	47047200	47048173	6.39	5.7	0.69	0.00136	0.0177
chr10	29120000	29140000	10132	chr10	29125703	29126204	3.07	4.79	-1.71	0.00137	0.0178
chr8	42160000	42190000	8607	chr8	42186140	42186641	5.41	4.27	1.14	0.00138	0.0179
chr2	226620000	226670000	2935	chr2	226628253	226628754	5.15	4.04	1.12	0.00138	0.0179
chr1	94790000	94830000	732	chr1	94802041	94802542	6.75	6.1	0.66	0.00138	0.0179
chr20	48780000	48800000	16637	chr20	48788243	48788744	5.07	4.02	1.05	0.00138	0.0179
chr12	92980000	93020000	12405	chr12	93002127	93002628	5.31	6.21	-0.9	0.00138	0.0179
chr14	94680000	94710000	13660	chr14	94680860	94681361	4.66	3.32	1.34	0.00138	0.0179
chr7	134940000	135000000	8207	chr7	134970829	134971330	3.97	5	-1.03	0.00139	0.018
chr1	21560000	21580000	196	chr1	21568469	21568970	4.9	3.55	1.35	0.0014	0.0181
chr20	57580000	57660000	16719	chr20	57582916	57583417	6.02	4.93	1.1	0.00141	0.0181
chr10	17410000	17440000	10050	chr10	17435029	17435530	2.55	4.42	-1.87	0.00141	0.0182
chr7	27120000	27180000	7487	chr7	27122580	27123081	4.36	6.26	-1.89	0.00141	0.0182
chr11	110700000	110720000	11591	chr11	110711485	110711986	7.36	6.44	0.92	0.00141	0.0182
chr10	11970000	11990000	10000	chr10	11988579	11989080	5.18	6	-0.82	0.00142	0.0182
chr8	42130000	42150000	8606	chr8	42140431	42140932	7.5	6.82	0.68	0.00142	0.0182
chr3	138680000	138710000	3931	chr3	138681346	138681847	3.61	4.83	-1.23	0.00142	0.0182
chr12	114630000	114700000	12601	chr12	114698129	114698630	6	6.82	-0.82	0.00142	0.0183
chr8	30550000	30610000	8541	chr8	30604779	30605280	4.13	5.17	-1.05	0.00142	0.0183
chr8	19340000	19420000	8444	chr8	19397072	19397573	4.39	5.42	-1.03	0.00142	0.0183
chr22	45960000	46020000	17246	chr22	46001650	46002151	6.04	5.04	1	0.00142	0.0183
chr10	129950000	129990000	10829	chr10	129963510	129964011	6.44	5.17	1.26	0.00143	0.0183
chr22	39150000	39180000	17182	chr22	39179649	39180150	5.38	4.16	1.22	0.00143	0.0183
chr12	131100000	131120000	12723	chr12	131104835	131105336	5.55	4.46	1.09	0.00144	0.0184
chr9	95430000	95480000	9538	chr9	95462949	95463450	5.15	4.08	1.07	0.00144	0.0184
chr5	87770000	87800000	5611	chr5	87776333	87776834	2.09	4.15	-2.06	0.00144	0.0184
chr22	37280000	37330000	17165	chr22	37304185	37304686	4.97	3.81	1.16	0.00145	0.0185
chr12	103860000	103890000	12503	chr12	103884224	103884725	3.16	4.89	-1.73	0.00146	0.0186
chr6	63570000	63620000	6677	chr6	63572771	63573272	8.59	8	0.59	0.00146	0.0186
chr9	128020000	128050000	9821	chr9	128022213	128022714	5.51	4.54	0.98	0.00146	0.0186
chr7	131050000	131110000	8185	chr7	131056874	131057375	6.8	6.16	0.63	0.00146	0.0186
chr2	46870000	46930000	1917	chr2	46882064	46882565	5.5	4.45	1.05	0.00146	0.0186
chr3	126240000	126270000	3825	chr3	126267478	126267979	6.22	5.4	0.82	0.00146	0.0186
chr6	149010000	149090000	7169	chr6	149031940	149032441	6.86	6.05	0.81	0.00147	0.0187
chr7	26640000	26700000	7483	chr7	26662750	26663251	5.69	4.5	1.19	0.00147	0.0187
chr14	92670000	92710000	13640	chr14	92694250	92694751	5.02	3.68	1.33	0.00147	0.0187
chr10	110520000	110570000	10673	chr10	110530108	110530609	5.51	4.56	0.94	0.00147	0.0187
chr2	205750000	205780000	2778	chr2	205771621	205772122	4.85	5.76	-0.92	0.00148	0.0187
chr7	152680000	152720000	8300	chr7	152711574	152712075	4.43	2.38	2.05	0.00148	0.0187
chr5	178270000	178290000	6137	chr5	178288579	178289080	5.36	4.4	0.96	0.00148	0.0187
chr1	159880000	159910000	996	chr1	159881626	159882127	5.48	4.55	0.93	0.00148	0.0187
chr21	39770000	39800000	16923	chr21	39788590	39789091	4.95	6.02	-1.07	0.00148	0.0187
chr10	4810000	4850000	9930	chr10	4826201	4826702	7.17	6.14	1.02	0.00148	0.0187
chr11	15780000	15850000	11001	chr11	15826309	15826810	4.81	3.69	1.13	0.00148	0.0188
chr11	62070000	62120000	11295	chr11	62095945	62096446	4.51	2.58	1.94	0.00148	0.0188
chr4	26990000	27030000	4471	chr4	27001002	27001970	5.26	6.02	-0.76	0.00148	0.0188
chr5	73210000	73230000	5518	chr5	73216137	73216638	6.65	5.82	0.83	0.00149	0.0188
chr12	107120000	107150000	12534	chr12	107131910	107132411	4.48	5.62	-1.14	0.00149	0.0188
chr2	20930000	20970000	1756	chr2	20940887	20941388	5.73	4.82	0.91	0.00149	0.0188
chr14	37220000	37260000	13289	chr14	37246531	37247032	4.31	5.6	-1.29	0.00149	0.0188
chr21	32390000	32420000	16864	chr21	32405301	32405802	4.75	3.55	1.2	0.0015	0.0189
chr3	183450000	183490000	4183	chr3	183479601	183480102	4.65	5.51	-0.86	0.0015	0.0189
chr18	8360000	8410000	15550	chr18	8378299	8378800	2.05	4.43	-2.38	0.00152	0.0191
chr9	98060000	98090000	9565	chr9	98063368	98063869	5.41	6.42	-1.01	0.00152	0.0191
chr7	155790000	155830000	8311	chr7	155818503	155819004	4.8	3.16	1.64	0.00152	0.0191
chr12	64790000	64820000	12254	chr12	64795835	64796336	2.67	4.62	-1.95	0.00152	0.0191
chr13	30780000	30820000	12809	chr13	30806342	30806843	4.64	3.2	1.44	0.00153	0.0192
chr7	131410000	131430000	8187	chr7	131424649	131425150	4.95	5.83	-0.88	0.00153	0.0192
chr2	127460000	127500000	2372	chr2	127487366	127487867	4.29	5.29	-1	0.00153	0.0192
chr21	45270000	45310000	16974	chr21	45293419	45293920	6.67	5.79	0.88	0.00153	0.0192
chr9	123340000	123370000	9766	chr9	123339676	123340177	5.33	4.04	1.29	0.00154	0.0192
chr1	182580000	182610000	1189	chr1	182601617	182602118	6.43	5.57	0.86	0.00154	0.0193
chr10	35610000	35660000	10194	chr10	35614476	35614977	3.9	5.14	-1.24	0.00154	0.0193
chr13	44410000	44510000	12930	chr13	44425515	44426016	4.78	3.17	1.61	0.00155	0.0193
chr13	110400000	110430000	13138	chr13	110407900	110408401	6.03	5.05	0.98	0.00155	0.0194
chr14	99210000	99290000	13694	chr14	99273233	99273734	5.79	4.64	1.15	0.00155	0.0194
chr13	50070000	50130000	12976	chr13	50124602	50125103	8.09	7.53	0.56	0.00156	0.0194
chr7	36110000	36170000	7549	chr7	36134051	36134552	4.99	3.75	1.24	0.00156	0.0195
chrX	133650000	133680000	17578	chrX	133675686	133676187	4.93	3.39	1.54	0.00157	0.0195
chr6	1300000	1450000	6163	chr6	1395905	1396406	3.48	4.83	-1.35	0.00157	0.0195
chr14	99210000	99290000	13694	chr14	99246350	99246851	5.17	3.62	1.55	0.00157	0.0196
chr2	9330000	9370000	1682	chr2	9335360	9335861	5.18	4.01	1.17	0.00158	0.0196
chr8	18900000	18930000	8437	chr8	18923949	18924450	3.72	5.13	-1.41	0.00158	0.0197
chr13	51420000	51460000	12986	chr13	51453388	51453889	8.05	7.43	0.62	0.00158	0.0197
chr22	39150000	39180000	17182	chr22	39174919	39175420	7.09	6.29	0.8	0.00159	0.0197
chr18	13610000	13650000	15601	chr18	13627633	13628134	5.31	4.32	0.99	0.00159	0.0197
chr1	94030000	94070000	726	chr1	94050808	94051309	5.38	4.52	0.86	0.00159	0.0197
chr12	106120000	106180000	12525	chr12	106123039	106123540	5.01	3.77	1.24	0.0016	0.0197
chr9	98060000	98090000	9565	chr9	98087238	98087739	6.11	5.01	1.1	0.0016	0.0197
chr2	134980000	135010000	2408	chr2	135004679	135005180	3.31	4.6	-1.29	0.0016	0.0198
chr2	102150000	102180000	2248	chr2	102149614	102150115	4.81	5.85	-1.05	0.00161	0.0198
chr3	178430000	178460000	4158	chr3	178458743	178459244	4.14	5.43	-1.29	0.00161	0.0198
chr20	17880000	17940000	16363	chr20	17922271	17922772	4.66	5.54	-0.88	0.00161	0.0198
chr3	9290000	9320000	3123	chr3	9314727	9315228	6	5.11	0.9	0.00161	0.0198
chr19	14040000	14080000	15998	chr19	14042452	14042953	5.06	3.9	1.16	0.00161	0.0198
chr7	50640000	50690000	7671	chr7	50654060	50654561	5.64	4.64	1	0.00161	0.0198
chr9	120340000	120360000	9737	chr9	120353529	120354030	5.87	4.76	1.11	0.00162	0.0199
chr6	26260000	26350000	6420	chr6	26273040	26273541	6.78	5.85	0.93	0.00162	0.0199
chr19	18440000	18480000	16039	chr19	18478893	18479394	6.17	5.18	1	0.00163	0.0199
chr1	235510000	235540000	1546	chr1	235516247	235516748	2.66	4.66	-2	0.00163	0.0199
chr11	44710000	44740000	11193	chr11	44726446	44726947	5.89	4.92	0.97	0.00163	0.02
chr2	38720000	38740000	1858	chr2	38737793	38738294	5.46	4.27	1.2	0.00163	0.02
chr14	68780000	68850000	13495	chr14	68782463	68782964	6.05	5.21	0.84	0.00163	0.02
chr14	75110000	75150000	13542	chr14	75147218	75147719	6.08	5.1	0.98	0.00164	0.02
chr19	18440000	18480000	16039	chr19	18477322	18477823	5.13	3.82	1.31	0.00164	0.0201
chr10	17410000	17440000	10050	chr10	17430908	17431409	4.72	5.67	-0.95	0.00165	0.0201
chr8	123680000	123780000	9050	chr8	123748858	123749359	5.16	3.89	1.28	0.00165	0.0201
chr20	10650000	10710000	16325	chr20	10650162	10650663	5.1	3.6	1.5	0.00165	0.0202
chr11	129720000	129770000	11768	chr11	129763665	129764166	5.6	4.48	1.12	0.00166	0.0202
chr14	93120000	93160000	13647	chr14	93135632	93136133	4.4	5.51	-1.11	0.00166	0.0202
chr19	30210000	30240000	16066	chr19	30227676	30228177	6.15	5.28	0.88	0.00166	0.0202
chr20	8020000	8060000	16305	chr20	8045152	8045653	4.48	5.46	-0.97	0.00167	0.0203
chr8	9800000	9850000	8384	chr8	9829041	9829542	3.51	4.96	-1.44	0.00167	0.0203
chr13	99900000	99930000	13089	chr13	99911321	99911822	5.67	4.53	1.14	0.00168	0.0204
chr1	228670000	228740000	1480	chr1	228692225	228692726	3.76	4.95	-1.19	0.00168	0.0204
chr12	89540000	89570000	12381	chr12	89549887	89550388	4.33	2.24	2.08	0.00168	0.0204
chr2	232500000	232530000	2989	chr2	232503223	232503724	7.01	6.02	0.99	0.00169	0.0204
chr5	168670000	168730000	6064	chr5	168697649	168698150	4.64	5.63	-0.99	0.0017	0.0206
chr22	38560000	38620000	17178	chr22	38615045	38615546	3.68	6.15	-2.47	0.00171	0.0206
chr6	36990000	37050000	6499	chr6	37048945	37049446	5.37	4.35	1.01	0.00171	0.0206
chr15	41020000	41040000	13832	chr15	41025144	41025645	4.61	5.54	-0.94	0.00171	0.0206
chr9	119950000	119990000	9736	chr9	119967338	119967839	5.06	5.95	-0.89	0.00171	0.0206
chr12	93100000	93170000	12406	chr12	93146237	93146738	5.85	6.61	-0.76	0.00171	0.0207
chr3	188150000	188220000	4230	chr3	188153799	188154300	8.05	7.45	0.6	0.00172	0.0207
chr1	112870000	112890000	815	chr1	112881807	112882308	5.65	6.48	-0.83	0.00172	0.0207
chr8	141320000	141360000	9152	chr8	141338391	141338892	4.09	5.25	-1.15	0.00172	0.0207
chr4	79560000	79600000	4661	chr4	79577819	79578320	3.9	4.96	-1.06	0.00173	0.0208
chr2	231210000	231250000	2979	chr2	231247836	231248337	4.62	3.32	1.3	0.00173	0.0208
chr7	138720000	138770000	8228	chr7	138752297	138752798	4.87	3.54	1.33	0.00173	0.0208
chr8	65820000	65840000	8733	chr8	65838562	65839063	4.32	5.29	-0.96	0.00174	0.0209
chr15	90610000	90670000	14196	chr15	90665180	90665681	8.34	7.75	0.59	0.00175	0.0209
chr4	81000000	81090000	4675	chr4	81021938	81022439	5.2	4.17	1.03	0.00175	0.021
chr17	77880000	77910000	15420	chr17	77882932	77883433	5.69	4.62	1.07	0.00175	0.021
chr22	30230000	30280000	17096	chr22	30241014	30241515	5.4	4.34	1.05	0.00176	0.021
chr13	26050000	26080000	12770	chr13	26051354	26051855	7.2	6.15	1.05	0.00176	0.021
chr16	89300000	89350000	14791	chr16	89315614	89316115	4.81	3.54	1.26	0.00176	0.0211
chr1	110180000	110220000	787	chr1	110209702	110210203	7.12	6.31	0.8	0.00177	0.0211
chr11	11750000	11820000	10958	chr11	11813357	11813858	4.66	2.69	1.97	0.00177	0.0211
chr7	26340000	26390000	7480	chr7	26376372	26376873	7.44	5.58	1.86	0.00177	0.0211
chr8	22680000	22720000	8477	chr8	22702626	22703127	4.9	3.69	1.21	0.00177	0.0211
chr4	107750000	107770000	4802	chr4	107751956	107752457	4.05	5.3	-1.25	0.00177	0.0211
chr3	129470000	129510000	3856	chr3	129482235	129482736	5.09	4.03	1.06	0.00178	0.0211
chr6	6660000	6740000	6226	chr6	6683295	6683796	4.88	5.78	-0.9	0.00178	0.0211
chr1	184800000	184820000	1207	chr1	184810878	184811379	4.75	5.57	-0.81	0.00178	0.0212
chr9	126380000	126410000	9803	chr9	126392334	126392835	5.35	4.04	1.31	0.00178	0.0212
chr11	57800000	57840000	11257	chr11	57801551	57802052	5.08	4.03	1.05	0.00178	0.0212
chr5	95960000	95990000	5646	chr5	95987892	95988393	5.2	6.17	-0.97	0.00178	0.0212
chr20	32450000	32490000	16450	chr20	32466721	32467222	5.16	4.1	1.06	0.00179	0.0212
chr15	64040000	64070000	13983	chr15	64044369	64044870	4.81	3.47	1.34	0.0018	0.0213
chr4	41250000	41290000	4503	chr4	41257277	41257778	6.59	5.79	0.79	0.0018	0.0214
chr1	52280000	52310000	478	chr1	52309088	52309589	2.48	4.7	-2.22	0.00181	0.0214
chr13	43770000	43840000	12921	chr13	43799509	43800010	4.56	5.83	-1.28	0.00182	0.0215
chr1	203500000	203520000	1286	chr1	203513397	203513898	5.62	4.64	0.98	0.00183	0.0216
chr3	53350000	53390000	3444	chr3	53383772	53384273	4.1	1.79	2.31	0.00184	0.0216
chr12	6930000	6960000	11869	chr12	6955762	6956263	4.87	3.67	1.2	0.00184	0.0216
chrX	12940000	12990000	17330	chrX	12955993	12956494	6.02	5.06	0.96	0.00185	0.0217
chr5	134170000	134200000	5812	chr5	134176765	134177266	8.17	7.63	0.54	0.00185	0.0217
chr2	42650000	42670000	1884	chr2	42665370	42665871	5.32	4.33	1	0.00186	0.0218
chr15	89160000	89210000	14181	chr15	89173554	89174055	4.72	5.54	-0.81	0.00186	0.0218
chr11	33660000	33710000	11101	chr11	33691223	33691724	6.45	5.26	1.19	0.00186	0.0218
chr12	14820000	14860000	11938	chr12	14826595	14827096	3.84	4.98	-1.14	0.00187	0.0218
chr1	150600000	150630000	896	chr1	150604280	150604781	5.56	4.32	1.24	0.00187	0.0218
chr6	158050000	158090000	7237	chr6	158069210	158069711	5.22	4.05	1.17	0.00187	0.0218
chr20	10650000	10710000	16325	chr20	10654620	10655121	6.12	5.24	0.88	0.00187	0.0219
chr1	31650000	31680000	289	chr1	31672409	31672910	5.22	4.17	1.05	0.00187	0.0219
chr9	98060000	98090000	9565	chr9	98081227	98081728	7.24	6.59	0.65	0.00188	0.0219
chr13	29820000	29860000	12799	chr13	29850013	29850514	8.31	7.75	0.56	0.00188	0.0219
