chr	start	end	width	strand	Conc	Conc_T2E	Conc_NonT2E	Fold	p.value	FDR	peak_ID
chr15	71442964	71443465	501	*	4.92	4.49	5.32	-0.83	0.0109	0.0664	17910
chr3	52019201	52019702	501	*	5.13	5.46	4.57	0.89	0.0109	0.0665	17913
chr12	6853621	6854122	501	*	4.42	3.99	4.83	-0.84	0.0109	0.0665	17915
chr2	42101331	42101832	501	*	7.38	7.59	7.05	0.55	0.0109	0.0665	17923
chr3	4303278	4303779	501	*	7.55	7.73	7.29	0.45	0.0109	0.0666	17932
chr8	127759415	127759916	501	*	4.43	4.81	3.75	1.06	0.0109	0.0666	17933
chr9	132244671	132245172	501	*	5.45	5.81	4.84	0.97	0.0109	0.0666	17934
chr8	133507736	133508237	501	*	4.82	5.17	4.22	0.94	0.0109	0.0666	17936
chr11	66281986	66282487	501	*	5.09	5.42	4.53	0.89	0.0109	0.0666	17938
chr1	61842723	61843224	501	*	4.27	3.76	4.73	-0.97	0.0109	0.0666	17941
chr5	172381214	172381715	501	*	6.58	6.82	6.2	0.62	0.0109	0.0666	17943
chr5	14702553	14703054	501	*	4.6	4.09	5.05	-0.96	0.0109	0.0666	17945
chr17	33284319	33284820	501	*	5.67	6.03	5.04	0.99	0.0109	0.0666	17949
chr12	32459626	32460127	501	*	3.73	2.75	4.42	-1.67	0.011	0.0666	17950
chr7	99829116	99829617	501	*	4.36	3.57	4.96	-1.39	0.011	0.0667	17951
chr3	27483617	27484118	501	*	7.72	7.96	7.36	0.6	0.011	0.0667	17956
chr13	37106291	37106792	501	*	4.12	4.5	3.44	1.07	0.011	0.0668	17958
chr8	30089337	30089838	501	*	3.96	4.39	3.16	1.23	0.011	0.0668	17960
chr2	171141512	171142013	501	*	4.32	3.73	4.83	-1.1	0.011	0.0668	17962
chr2	20674425	20674926	501	*	4.96	5.3	4.36	0.94	0.011	0.0668	17964
chr1	92298710	92299211	501	*	8.01	8.2	7.74	0.46	0.011	0.0668	17965
chr6	110931069	110931570	501	*	5.29	4.85	5.7	-0.86	0.011	0.0668	17967
chr18	75455482	75455983	501	*	5.62	5.94	5.1	0.84	0.011	0.0668	17970
chr16	234846	235347	501	*	8	8.19	7.72	0.47	0.011	0.0669	17971
chr14	60637462	60637963	501	*	6.2	6.48	5.73	0.76	0.011	0.0669	17973
chr1	12310504	12311005	501	*	5.35	5.64	4.87	0.77	0.011	0.0669	17974
chr15	75202108	75202609	501	*	7.6	7.84	7.23	0.62	0.011	0.0669	17976
chr19	11622823	11623324	501	*	4.19	3.57	4.71	-1.14	0.011	0.0669	17982
chr18	77080162	77080663	501	*	4.88	5.21	4.33	0.88	0.011	0.0669	17985
chr20	10982676	10983177	501	*	4.91	5.23	4.38	0.85	0.011	0.0669	17986
chr9	33068569	33069070	501	*	4.68	4.19	5.12	-0.93	0.011	0.0669	17994
chr3	72444744	72445245	501	*	3.96	2.89	4.69	-1.8	0.011	0.0669	17996
chr12	124551004	124551505	501	*	6.05	6.35	5.55	0.8	0.011	0.0669	17999
chr8	22658626	22659127	501	*	5.92	6.19	5.49	0.71	0.011	0.0669	18001
chr6	89369244	89369745	501	*	4.47	4.03	4.87	-0.84	0.011	0.0669	18004
chr5	42878869	42879370	501	*	5.34	4.9	5.74	-0.84	0.011	0.067	18007
chr4	13547408	13547909	501	*	6.33	6.57	5.95	0.63	0.0111	0.067	18012
chr13	75690373	75690874	501	*	3.91	2.91	4.61	-1.71	0.0111	0.0671	18015
chr19	47729529	47730030	501	*	5.69	5.95	5.27	0.69	0.0111	0.0671	18016
chr4	78508609	78509110	501	*	5.04	4.6	5.45	-0.84	0.0111	0.0671	18018
chr1	110634683	110635184	501	*	4.66	5.03	4.01	1.03	0.0111	0.0671	18021
chr21	31873284	31873785	501	*	6.81	7.25	5.94	1.31	0.0111	0.0671	18022
chr19	4811808	4812309	501	*	4.9	5.23	4.35	0.88	0.0111	0.0672	18037
chr18	2536469	2536970	501	*	4.42	3.97	4.84	-0.88	0.0111	0.0672	18038
chr21	39005419	39005920	501	*	5.55	5.93	4.86	1.06	0.0111	0.0672	18043
chr1	239718709	239719210	501	*	5.12	5.42	4.63	0.79	0.0111	0.0672	18045
chr15	89654926	89655427	501	*	7.15	7.39	6.77	0.62	0.0111	0.0672	18046
chr3	129495361	129495862	501	*	4.83	5.16	4.29	0.87	0.0111	0.0672	18049
chr20	9597155	9597656	501	*	4.13	3.23	4.79	-1.56	0.0111	0.0672	18050
chr14	100376063	100376564	501	*	7.03	7.27	6.66	0.62	0.0111	0.0672	18057
chr9	134645140	134645641	501	*	5.81	6.09	5.37	0.73	0.0111	0.0672	18058
chr6	45675788	45676289	501	*	4.7	5.04	4.1	0.95	0.0111	0.0673	18060
chr2	241863460	241863961	501	*	5.58	5.87	5.13	0.74	0.0111	0.0673	18062
chr9	120627476	120627977	501	*	4.37	3.79	4.86	-1.07	0.0111	0.0673	18063
chr2	238569100	238569601	501	*	4.97	5.36	4.25	1.11	0.0111	0.0673	18065
chr5	42809927	42810428	501	*	4.48	3.85	5.01	-1.16	0.0111	0.0673	18068
chr19	18473079	18473580	501	*	4.96	5.3	4.4	0.9	0.0111	0.0673	18070
chr20	35277501	35278002	501	*	7.54	7.78	7.16	0.62	0.0111	0.0673	18071
chr5	74214900	74215401	501	*	4.6	4.95	4.01	0.94	0.0111	0.0673	18072
chr20	4136195	4136696	501	*	4.26	4.71	3.4	1.31	0.0112	0.0674	18087
chr11	12680112	12680613	501	*	5.18	4.82	5.54	-0.72	0.0112	0.0674	18088
chr15	57198476	57198977	501	*	4.75	4.35	5.14	-0.78	0.0112	0.0674	18089
chr9	93954785	93955286	501	*	4.43	4.88	3.55	1.33	0.0112	0.0675	18094
chr2	1602019	1602520	501	*	5.02	5.33	4.53	0.8	0.0112	0.0675	18095
chr2	118013626	118014127	501	*	7.52	7.74	7.18	0.56	0.0112	0.0675	18097
chr12	3931233	3931734	501	*	4.76	5.08	4.23	0.84	0.0112	0.0675	18098
chr2	54664353	54664854	501	*	4.65	4.96	4.13	0.83	0.0112	0.0675	18099
chr6	15427448	15427949	501	*	4.92	5.23	4.42	0.82	0.0112	0.0676	18108
chr2	28738064	28738565	501	*	3.86	3.23	4.39	-1.15	0.0112	0.0676	18112
chr18	9066555	9067056	501	*	5.58	5.03	6.06	-1.03	0.0112	0.0676	18113
chr17	39000476	39000977	501	*	4.89	5.21	4.35	0.86	0.0112	0.0676	18123
chr12	114636473	114636974	501	*	5.93	5.63	6.24	-0.61	0.0112	0.0676	18127
chr6	4016321	4016822	501	*	4.26	4.61	3.66	0.95	0.0112	0.0676	18130
chr6	47309344	47309845	501	*	7.72	7.93	7.41	0.52	0.0112	0.0677	18133
chr3	119809761	119810262	501	*	6.41	6.66	6.03	0.63	0.0112	0.0677	18136
chr19	3094663	3095164	501	*	7.72	7.95	7.35	0.6	0.0112	0.0677	18137
chr2	10407262	10407763	501	*	4.76	5.14	4.1	1.04	0.0112	0.0677	18138
chr5	127838687	127839188	501	*	4.92	4.45	5.35	-0.91	0.0112	0.0677	18142
chr1	116224989	116225490	501	*	4.42	4.79	3.77	1.01	0.0112	0.0677	18145
chr1	25891531	25892032	501	*	5.04	5.4	4.41	1	0.0112	0.0677	18147
chr9	137266164	137266665	501	*	5.23	4.84	5.61	-0.78	0.0112	0.0677	18148
chr17	62059319	62059820	501	*	4.87	4.49	5.23	-0.75	0.0113	0.0677	18149
chr3	41932943	41933444	501	*	4.13	4.5	3.45	1.05	0.0113	0.0677	18152
chr15	86917020	86917521	501	*	4.53	4.85	3.97	0.88	0.0113	0.0677	18154
chr10	97918471	97918972	501	*	3.79	4.27	2.83	1.44	0.0113	0.0678	18159
chr3	130893484	130893985	501	*	7.98	8.16	7.72	0.43	0.0113	0.0679	18170
chr2	156330382	156330883	501	*	4.73	5.08	4.12	0.95	0.0113	0.0679	18173
chr14	25041999	25042500	501	*	4.82	4.38	5.24	-0.86	0.0113	0.0679	18174
chr12	52539571	52540072	501	*	4.8	5.18	4.12	1.06	0.0113	0.0679	18179
chr7	27096330	27096831	501	*	7.92	8.1	7.66	0.44	0.0113	0.0679	18182
chr13	44960467	44960968	501	*	4.74	4.22	5.21	-1	0.0113	0.0679	18185
chr5	143128401	143128902	501	*	5.79	6.05	5.39	0.66	0.0113	0.0679	18187
chr21	45133045	45133546	501	*	4.77	5.13	4.14	0.99	0.0113	0.0679	18188
chr2	176122721	176123222	501	*	4.65	5.04	3.96	1.08	0.0113	0.0679	18199
chr17	74203753	74204254	501	*	7.64	7.82	7.37	0.45	0.0113	0.0679	18200
chr1	203693585	203694086	501	*	5.16	5.47	4.66	0.8	0.0113	0.0679	18202
chr14	95156870	95157371	501	*	7.83	8.07	7.45	0.61	0.0113	0.068	18207
chr14	89911175	89911676	501	*	5.44	5.1	5.78	-0.68	0.0113	0.068	18211
chr22	27785351	27785852	501	*	4.33	4.74	3.56	1.18	0.0113	0.068	18216
chr3	125440397	125441271	874	*	5.42	5.69	4.99	0.7	0.0113	0.068	18221
chr9	93116255	93116756	501	*	4.88	5.23	4.26	0.97	0.0113	0.068	18222
chr11	2840924	2841425	501	*	4.86	3.79	5.59	-1.8	0.0113	0.068	18223
chr22	42640728	42641229	501	*	3.88	4.35	2.96	1.39	0.0113	0.068	18224
chr1	111399963	111400464	501	*	4.87	4.35	5.33	-0.98	0.0113	0.068	18226
chr1	20507754	20508255	501	*	7.7	7.89	7.42	0.48	0.0113	0.068	18227
chr2	11465532	11466033	501	*	7.19	7.39	6.89	0.5	0.0114	0.0681	18237
chr18	46066876	46067377	501	*	4.4	3.84	4.89	-1.05	0.0114	0.0682	18238
chr3	46695434	46695935	501	*	4.68	5.06	4.03	1.03	0.0114	0.0682	18240
chr2	150485629	150486130	501	*	7.43	7.62	7.14	0.49	0.0114	0.0682	18246
chr1	19770699	19771200	501	*	6.47	6.09	6.83	-0.74	0.0114	0.0683	18252
chr11	76823889	76824390	501	*	4.58	4.94	3.94	1	0.0114	0.0683	18253
chr10	61458209	61458710	501	*	5.3	5.65	4.72	0.93	0.0114	0.0683	18255
chr10	25113268	25113769	501	*	4.88	4.45	5.28	-0.83	0.0114	0.0683	18259
chr11	126283032	126283533	501	*	7.73	7.94	7.44	0.5	0.0114	0.0683	18262
chr5	172915242	172915743	501	*	4.47	4.78	3.93	0.85	0.0114	0.0683	18265
chr17	2086685	2087186	501	*	5.67	5.94	5.25	0.68	0.0114	0.0683	18268
chr22	40022505	40023006	501	*	5.4	4.97	5.8	-0.83	0.0114	0.0684	18275
chr1	205477506	205478007	501	*	6.73	7.02	6.28	0.73	0.0115	0.0685	18282
chr3	64267722	64268223	501	*	6.46	6.71	6.07	0.64	0.0115	0.0685	18288
chr9	88745773	88746274	501	*	4.57	4.92	3.98	0.93	0.0115	0.0685	18289
chr6	43684044	43684545	501	*	5.24	5.5	4.84	0.65	0.0115	0.0685	18291
chr2	42084651	42085152	501	*	5.63	5.89	5.21	0.68	0.0115	0.0686	18296
chr3	124886738	124887239	501	*	7.5	7.77	7.08	0.69	0.0115	0.0686	18303
chr14	89416616	89417117	501	*	7.41	7.63	7.07	0.55	0.0115	0.0686	18304
chr1	167518016	167518517	501	*	4.06	4.57	2.96	1.62	0.0115	0.0686	18305
chr6	45444237	45444738	501	*	4.6	5.03	3.78	1.25	0.0115	0.0687	18314
chr1	48052247	48053085	838	*	5.58	5.86	5.13	0.73	0.0115	0.0687	18315
chr22	24423916	24424417	501	*	6.86	7.13	6.44	0.68	0.0115	0.0687	18318
chr17	80415083	80415584	501	*	7.81	8.01	7.52	0.49	0.0115	0.0687	18319
chr1	15323187	15323688	501	*	5.52	5.1	5.92	-0.82	0.0115	0.0687	18323
chr6	18387841	18388342	501	*	6.86	6.51	7.2	-0.69	0.0115	0.0687	18325
chr1	233295132	233295633	501	*	6.67	6.89	6.34	0.55	0.0115	0.0687	18326
chr19	55634969	55635470	501	*	8.13	8.3	7.88	0.42	0.0115	0.0687	18329
chr1	229271170	229271671	501	*	7.56	7.79	7.22	0.57	0.0115	0.0687	18334
chr2	164756764	164757265	501	*	4.54	4.11	4.94	-0.83	0.0115	0.0687	18337
chr2	241743839	241744340	501	*	5.31	5.69	4.65	1.04	0.0115	0.0687	18338
chr6	42899170	42899671	501	*	4.79	4.31	5.22	-0.91	0.0115	0.0687	18339
chr7	38340189	38340690	501	*	4.52	4.02	4.98	-0.96	0.0115	0.0688	18345
chr6	28686129	28686630	501	*	4.93	4.4	5.39	-1	0.0116	0.0688	18347
chr3	64685409	64685910	501	*	7.28	7.49	6.96	0.53	0.0116	0.0688	18351
chr3	127002208	127002709	501	*	5.39	5.7	4.87	0.82	0.0116	0.0688	18354
chr4	80184030	80184531	501	*	7.23	7.45	6.91	0.54	0.0116	0.0688	18355
chr12	101830337	101830838	501	*	7.32	7.57	6.94	0.64	0.0116	0.0688	18356
chr11	69066336	69066837	501	*	4.46	4.84	3.78	1.06	0.0116	0.0689	18366
chr2	230828023	230828524	501	*	6.32	6.65	5.75	0.9	0.0116	0.0689	18367
chr2	636731	637232	501	*	5.86	6.14	5.43	0.71	0.0116	0.0689	18373
chr2	216657232	216657733	501	*	5.85	6.12	5.42	0.7	0.0116	0.069	18377
chr2	215794780	215795281	501	*	4.38	4.81	3.58	1.23	0.0116	0.069	18379
chr7	26196271	26196772	501	*	4.68	4.12	5.17	-1.05	0.0116	0.069	18381
chr21	36429726	36430227	501	*	5.28	5.55	4.85	0.7	0.0116	0.069	18383
chr1	243850639	243851140	501	*	7.98	8.18	7.67	0.52	0.0116	0.069	18384
chr8	25988969	25989470	501	*	4.09	4.49	3.34	1.15	0.0116	0.069	18388
chr12	57310715	57311216	501	*	4.69	4.25	5.1	-0.85	0.0116	0.0691	18398
chr21	32411870	32412371	501	*	8.01	8.19	7.75	0.43	0.0116	0.0691	18399
chr8	22927460	22927961	501	*	6.95	6.69	7.22	-0.53	0.0117	0.0692	18400
chr21	33440805	33441306	501	*	4.19	4.57	3.49	1.09	0.0117	0.0692	18408
chr11	10927474	10927975	501	*	5.33	4.99	5.67	-0.68	0.0117	0.0692	18412
chr7	2471382	2471883	501	*	5.16	5.45	4.67	0.78	0.0117	0.0692	18413
chr7	155824136	155824637	501	*	5.75	6.34	4.31	2.03	0.0117	0.0693	18414
chr8	27334698	27335199	501	*	5.25	4.88	5.62	-0.74	0.0117	0.0693	18417
chr12	64222095	64222596	501	*	7.71	7.9	7.44	0.46	0.0117	0.0693	18418
chr9	91178372	91178873	501	*	5.42	5.74	4.87	0.88	0.0117	0.0693	18420
chr10	124523295	124523796	501	*	6.16	6.43	5.72	0.71	0.0117	0.0693	18424
chr17	82233050	82233551	501	*	5.01	5.33	4.47	0.86	0.0117	0.0693	18426
chr9	93945627	93946128	501	*	5.07	5.41	4.49	0.92	0.0117	0.0693	18428
chr7	142798656	142799485	829	*	4.95	5.34	4.25	1.09	0.0117	0.0693	18430
chr17	47205138	47205639	501	*	5.43	5.76	4.89	0.87	0.0117	0.0693	18436
chr2	28739393	28739894	501	*	4.91	4.49	5.3	-0.8	0.0117	0.0694	18439
chr2	131105298	131105799	501	*	8	8.19	7.72	0.47	0.0117	0.0694	18440
chr6	26234204	26234705	501	*	6.97	7.23	6.55	0.68	0.0117	0.0694	18443
chr4	15725283	15725784	501	*	5.52	5.17	5.86	-0.69	0.0117	0.0695	18451
chr5	42808983	42809484	501	*	5.38	4.92	5.81	-0.89	0.0118	0.0695	18461
chr1	23902831	23903332	501	*	5.81	6.1	5.35	0.75	0.0118	0.0695	18462
chr2	102250992	102251493	501	*	6.64	6.91	6.22	0.7	0.0118	0.0695	18464
chr12	115758769	115759270	501	*	7.54	7.27	7.81	-0.53	0.0118	0.0696	18467
chr6	41200753	41201254	501	*	4.78	5.17	4.08	1.09	0.0118	0.0696	18471
chr17	77088572	77089073	501	*	7.58	7.77	7.32	0.45	0.0118	0.0696	18474
chr1	110619412	110619913	501	*	4.82	5.16	4.21	0.95	0.0118	0.0696	18476
chr9	97469057	97469558	501	*	4.69	4.28	5.07	-0.79	0.0118	0.0697	18480
chr4	79598903	79599404	501	*	5.79	5.4	6.16	-0.76	0.0118	0.0698	18488
chr3	4741864	4742365	501	*	7.19	7.39	6.89	0.5	0.0118	0.0698	18490
chr3	121561878	121562379	501	*	3.78	2.66	4.53	-1.87	0.0118	0.0698	18495
chr18	76708856	76709357	501	*	4.7	5	4.2	0.8	0.0118	0.0698	18498
chr11	122100667	122101168	501	*	5.52	5.8	5.08	0.71	0.0118	0.0698	18499
chr18	58052072	58052573	501	*	5.5	5.08	5.89	-0.82	0.0119	0.0699	18517
chr17	69339510	69340011	501	*	4.07	3.23	4.7	-1.48	0.0119	0.0699	18519
chr17	64536187	64536688	501	*	5.27	4.85	5.67	-0.82	0.0119	0.07	18525
chr1	32904436	32904937	501	*	5.27	4.88	5.64	-0.75	0.0119	0.07	18527
chr20	44461737	44462238	501	*	4.98	5.3	4.43	0.87	0.0119	0.07	18528
chr12	116521095	116521596	501	*	5.19	5.48	4.72	0.76	0.0119	0.07	18532
chr3	64490723	64491224	501	*	4.63	4.16	5.06	-0.9	0.0119	0.07	18536
chr14	45115796	45116297	501	*	5.05	4.62	5.46	-0.83	0.0119	0.07	18538
chr17	17352393	17352894	501	*	4.5	4.86	3.88	0.97	0.0119	0.07	18541
chr17	6598533	6599034	501	*	5.61	5.19	6.01	-0.82	0.0119	0.0701	18543
chr3	156826324	156826825	501	*	8.17	8.33	7.93	0.4	0.0119	0.0701	18547
chr16	13909614	13910115	501	*	4.38	3.82	4.86	-1.05	0.0119	0.0701	18551
chr2	176107582	176108083	501	*	4.65	5.09	3.82	1.27	0.0119	0.0701	18555
chr4	16226615	16227116	501	*	7.5	7.76	7.09	0.67	0.0119	0.0701	18561
chr18	58050839	58051340	501	*	4.74	4.3	5.16	-0.86	0.0119	0.0701	18562
chr11	122202815	122203316	501	*	5.37	5.64	4.94	0.7	0.0119	0.0701	18563
chr8	129685318	129685819	501	*	5.12	5.41	4.66	0.75	0.0119	0.0701	18564
chr4	185638152	185638653	501	*	4.58	4.9	4.04	0.86	0.0119	0.0701	18567
chr5	1384552	1385053	501	*	4.32	3.8	4.79	-0.99	0.0119	0.0701	18568
chr19	10236232	10236733	501	*	5.61	5.9	5.15	0.75	0.0119	0.0702	18570
chr15	70794566	70795067	501	*	5.18	5.49	4.66	0.84	0.0119	0.0702	18571
chr8	19409619	19410120	501	*	6.68	6.32	7.03	-0.71	0.0119	0.0702	18579
chr9	123111860	123112361	501	*	4.96	5.33	4.29	1.05	0.0119	0.0702	18583
chr7	41059803	41060304	501	*	4.2	4.65	3.35	1.3	0.012	0.0703	18591
chr2	67845796	67846297	501	*	6.01	6.25	5.64	0.61	0.012	0.0703	18592
chr3	128430495	128430996	501	*	4.93	4.5	5.33	-0.83	0.012	0.0703	18593
chr18	58527963	58528464	501	*	4.72	4.33	5.1	-0.77	0.012	0.0703	18596
chr10	102817227	102817728	501	*	4.57	4.93	3.91	1.02	0.012	0.0704	18603
chr6	15280246	15280747	501	*	4.99	4.59	5.38	-0.79	0.012	0.0704	18605
chr17	67489578	67490079	501	*	4.75	5.09	4.17	0.92	0.012	0.0706	18615
chr22	39184635	39185136	501	*	4.83	5.17	4.24	0.93	0.0121	0.0707	18623
chr10	74153759	74154260	501	*	4.74	4.37	5.1	-0.73	0.0121	0.0707	18626
chr19	49500527	49501028	501	*	5.91	6.23	5.39	0.83	0.0121	0.0707	18629
chr10	33748233	33748734	501	*	4.78	5.13	4.18	0.95	0.0121	0.0708	18635
chr7	155812008	155812509	501	*	6.06	6.39	5.52	0.87	0.0121	0.0708	18636
chr4	78512659	78513160	501	*	4.57	4.08	5.02	-0.93	0.0121	0.0708	18638
chr17	28929507	28930008	501	*	4.54	4.93	3.81	1.12	0.0121	0.0708	18642
chr6	44353096	44353597	501	*	5.4	5.06	5.75	-0.69	0.0121	0.0708	18646
chr20	31836985	31837486	501	*	5	5.32	4.46	0.86	0.0121	0.0708	18647
chr20	5781785	5782286	501	*	5.86	5.55	6.18	-0.63	0.0121	0.0708	18648
chr1	212668430	212668931	501	*	4.86	5.21	4.27	0.94	0.0121	0.0709	18651
chr15	98875573	98876074	501	*	4.78	5.07	4.31	0.76	0.0121	0.0709	18654
chr5	76407684	76408185	501	*	5.4	5.02	5.77	-0.75	0.0121	0.0709	18655
chr9	128927668	128928169	501	*	5.84	5.53	6.16	-0.62	0.0121	0.071	18660
chr7	42874323	42874824	501	*	3.5	4	2.45	1.56	0.0121	0.071	18669
chr10	12690046	12690547	501	*	5.55	5.84	5.09	0.74	0.0121	0.071	18671
chr15	66293401	66293902	501	*	7.39	7.64	7.02	0.62	0.0121	0.071	18675
chr1	232664374	232664875	501	*	4.55	4	5.04	-1.04	0.0122	0.071	18684
chr7	36283091	36283592	501	*	5.24	5.51	4.82	0.69	0.0122	0.0711	18688
chr5	55391106	55391607	501	*	5.64	5.1	6.12	-1.02	0.0122	0.0711	18691
chr15	98884827	98885328	501	*	5.13	5.43	4.63	0.8	0.0122	0.0711	18697
chr15	80403748	80404249	501	*	7.16	7.38	6.83	0.55	0.0122	0.0712	18698
chr7	38106440	38106941	501	*	4.33	3.74	4.83	-1.09	0.0122	0.0712	18701
chr1	220877174	220877675	501	*	5.14	5.49	4.54	0.95	0.0122	0.0712	18712
chr6	145205536	145206037	501	*	4.7	4.23	5.13	-0.89	0.0122	0.0712	18714
chr4	6855655	6856156	501	*	4.94	4.59	5.29	-0.7	0.0122	0.0712	18715
chr20	45335747	45336248	501	*	4.46	4.8	3.89	0.91	0.0122	0.0713	18722
chr12	103867398	103867899	501	*	4.63	4.17	5.06	-0.89	0.0122	0.0713	18723
chr3	61561379	61561880	501	*	7.32	7.53	7	0.53	0.0122	0.0713	18727
chr5	136809068	136809569	501	*	4.44	4.79	3.82	0.97	0.0122	0.0713	18730
chr8	21262091	21262592	501	*	5.29	4.87	5.69	-0.82	0.0122	0.0713	18731
chr18	79384010	79384871	861	*	5.29	5.63	4.68	0.95	0.0122	0.0713	18740
chr11	59157362	59157863	501	*	5.23	4.77	5.66	-0.89	0.0122	0.0713	18741
chr11	77109516	77110017	501	*	4.56	4.9	3.98	0.92	0.0122	0.0714	18745
chr7	27213112	27213613	501	*	4.94	5.25	4.4	0.85	0.0122	0.0714	18746
chr1	33470510	33471011	501	*	5.43	5.69	5.03	0.66	0.0123	0.0714	18748
chr16	31129114	31129615	501	*	7.11	7.3	6.83	0.48	0.0123	0.0715	18761
chr11	58905260	58905761	501	*	5.92	5.55	6.28	-0.74	0.0123	0.0716	18768
chr14	50531975	50532476	501	*	8.07	8.27	7.77	0.49	0.0123	0.0717	18785
chr15	88648812	88649313	501	*	6.16	6.4	5.79	0.61	0.0123	0.0717	18789
chr11	7665441	7665942	501	*	4.88	4.41	5.3	-0.89	0.0123	0.0717	18792
chr2	85727872	85728373	501	*	4.84	5.18	4.25	0.93	0.0123	0.0717	18794
chr17	81119631	81120132	501	*	6.86	7.1	6.48	0.62	0.0124	0.0718	18798
chr2	236663318	236663819	501	*	4.74	5.05	4.21	0.84	0.0124	0.0719	18801
chrX	38804202	38804703	501	*	7.3	7.5	6.98	0.52	0.0124	0.0719	18808
chr3	177482752	177483253	501	*	5.47	5.03	5.89	-0.86	0.0124	0.0719	18810
chr1	22711272	22711773	501	*	6.33	6.66	5.76	0.91	0.0124	0.0719	18813
chr4	140296775	140297276	501	*	5.17	4.74	5.57	-0.83	0.0124	0.0719	18814
chr17	7572890	7573391	501	*	7.99	8.17	7.74	0.43	0.0124	0.072	18819
chr20	57398989	57399490	501	*	5.38	5.72	4.79	0.94	0.0124	0.072	18821
chr1	116570550	116571051	501	*	7.78	7.98	7.49	0.49	0.0124	0.072	18822
chr12	2058989	2059490	501	*	5.08	5.38	4.58	0.79	0.0124	0.072	18825
chr13	44232387	44232888	501	*	6.65	6.9	6.26	0.64	0.0124	0.072	18826
chr10	44963961	44964462	501	*	6.06	6.35	5.61	0.74	0.0124	0.0721	18829
chr17	79822753	79823254	501	*	4.84	4.22	5.36	-1.14	0.0124	0.0721	18833
chr2	158189971	158190472	501	*	4.23	3.61	4.75	-1.15	0.0124	0.0721	18835
chr8	37784004	37784505	501	*	5.55	5.84	5.09	0.75	0.0124	0.0721	18836
chr12	49756882	49757383	501	*	4.8	4.39	5.19	-0.8	0.0125	0.0722	18845
chr3	127694731	127695232	501	*	4.76	5.11	4.15	0.96	0.0125	0.0722	18847
chr18	77072339	77072840	501	*	5.66	5.93	5.23	0.7	0.0125	0.0723	18849
chr5	180867057	180867558	501	*	4.55	4.04	5	-0.96	0.0125	0.0723	18850
chr20	20823585	20824086	501	*	6.78	6.98	6.47	0.51	0.0125	0.0723	18855
chr20	58113581	58114082	501	*	5.04	5.36	4.52	0.85	0.0125	0.0723	18857
chr2	150166215	150166716	501	*	4.33	4.74	3.59	1.15	0.0125	0.0723	18859
chr14	89273155	89273656	501	*	4.76	4.37	5.13	-0.76	0.0125	0.0723	18863
chr20	10572758	10573259	501	*	4.75	5.07	4.23	0.85	0.0125	0.0723	18864
chr13	99433561	99434062	501	*	4.7	5.07	4.05	1.01	0.0125	0.0723	18866
chr6	1575278	1575779	501	*	5.74	6.01	5.31	0.7	0.0125	0.0724	18868
chr20	62595787	62596288	501	*	4.4	4.78	3.7	1.08	0.0125	0.0724	18869
chr6	119095919	119096420	501	*	4.36	4.72	3.71	1.01	0.0125	0.0724	18870
chr2	216690355	216690856	501	*	5.27	5.56	4.8	0.76	0.0125	0.0724	18872
chr11	114051439	114051940	501	*	4.75	5.08	4.19	0.89	0.0125	0.0725	18881
chr9	129140271	129140772	501	*	8.11	8.27	7.89	0.38	0.0125	0.0725	18884
chr2	128321913	128322414	501	*	7.36	7.61	6.99	0.62	0.0126	0.0726	18894
chr16	23201702	23202203	501	*	4.93	4.59	5.27	-0.67	0.0126	0.0726	18896
chr17	859028	859529	501	*	5.76	6.05	5.28	0.77	0.0126	0.0727	18898
chr1	94796807	94797308	501	*	4.44	4.8	3.8	1	0.0126	0.0727	18900
chr20	12925912	12926413	501	*	4.23	3.4	4.86	-1.45	0.0126	0.0727	18903
chr1	235009763	235010264	501	*	5.1	5.43	4.52	0.91	0.0126	0.0727	18905
chr4	74365037	74365538	501	*	4.96	5.29	4.4	0.89	0.0126	0.0727	18910
chr11	68817299	68817800	501	*	4.92	5.21	4.45	0.76	0.0126	0.0727	18911
chr11	117443649	117444150	501	*	4.38	4.78	3.63	1.15	0.0126	0.0727	18912
chr18	79524334	79525247	913	*	5.5	5.87	4.84	1.03	0.0126	0.0728	18913
chr10	3749908	3750409	501	*	5.85	6.1	5.47	0.64	0.0126	0.0728	18914
chr11	62899299	62899800	501	*	4.94	5.25	4.41	0.84	0.0126	0.0728	18917
chr8	101205296	101205797	501	*	7.37	7.62	6.99	0.62	0.0126	0.0728	18921
chr2	7020359	7020860	501	*	4.89	5.25	4.24	1.01	0.0126	0.0728	18923
chrX	11757531	11758032	501	*	6.53	6.79	6.14	0.65	0.0126	0.0728	18924
chr2	102160493	102160994	501	*	5.21	4.82	5.59	-0.76	0.0126	0.0728	18925
chr22	17890714	17891215	501	*	4.72	4.25	5.16	-0.91	0.0126	0.0728	18926
chr9	20356963	20357464	501	*	5.28	4.94	5.62	-0.68	0.0126	0.0729	18938
chr3	190708290	190708791	501	*	4.45	3.71	5.03	-1.32	0.0126	0.0729	18939
chr4	76529398	76529899	501	*	5.02	4.58	5.43	-0.85	0.0127	0.073	18944
chr3	172318069	172318570	501	*	6.48	6.71	6.12	0.59	0.0127	0.073	18949
chr9	14466377	14466878	501	*	5	4.52	5.45	-0.93	0.0127	0.073	18951
chr5	36876757	36877258	501	*	7.51	7.75	7.13	0.62	0.0127	0.0731	18955
